,time,P_min,W10_max,div200,div300,div400,div500,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt850,eqt925,sh850_200,sh850_250,sh925_200,sh925_250,ws,wstrss10m,u10,v10,2mdewtmp,2mtmp,conv_ppt,tot_cld_ice,tot_cldwtr,tot_cld_rain,vi_div_cld_froz_wtr,vi_div_cld_liq_wtr,vi_div_gpot_flux,vi_div_ke_flux,vi_div_mass_flux,vi_div_moisture_flux,vi_div_olr_flux,vi_div_tot_enrgy_flux,vi_ke,vi_pe_inte,vi_pe_ie_latentenrgy,vi_temp,vi_olr,vi_tot_enrgy,vi_moisture_div,cape,inst_10m_wnd_gst,inst_moisture_flux,inst_ssh_flux,surfmean_swr_flux,surfmean_lhf,surfmean_lwr_flux,surfmean_shf,dwnwrdmean_swr_flux,topmean_lwr_flux,topmean_swr_flux,vimean_moisture_div,surf_lhf,surf_shf,tot_suprcool_liqwtr,tot_wtr_vpr,mslp,conv_rrate,ls_rrate,mn_conv_prate,mn_ls_prate,mn_tot_prate,sst,vort_10,vort_20,vort_30,vort_50,vort_70,vort_100,vort_150,vort_200,vort_250,vort_300,vort_400,vort_500,vort_600,vort_700,vort_800,vort_850,vort_900,vort_925,vort_950,vort_975,vort_1000,rhum_10,rhum_20,rhum_30,rhum_50,rhum_70,rhum_100,rhum_150,rhum_200,rhum_250,rhum_300,rhum_400,rhum_500,rhum_600,rhum_700,rhum_800,rhum_850,rhum_900,rhum_925,rhum_950,rhum_975,rhum_1000,pvor_10,pvor_20,pvor_30,pvor_50,pvor_70,pvor_100,pvor_150,pvor_200,pvor_250,pvor_300,pvor_400,pvor_500,pvor_600,pvor_700,pvor_850,pvor_925,pvor_975,pvor_1000,gpot_10,gpot_20,gpot_30,gpot_50,gpot_70,gpot_100,gpot_150,gpot_200,gpot_250,gpot_300,gpot_400,gpot_500,gpot_600,gpot_700,gpot_800,gpot_850,gpot_900,gpot_925,gpot_950,gpot_975,gpot_1000,temp_10,temp_20,temp_30,temp_50,temp_70,temp_100,temp_150,temp_200,temp_250,temp_300,temp_400,temp_500,temp_600,temp_700,temp_800,temp_850,temp_900,temp_925,temp_950,temp_975,temp_1000,vvel_10,vvel_20,vvel_30,vvel_50,vvel_70,vvel_100,vvel_150,vvel_200,vvel_250,vvel_300,vvel_400,vvel_500,vvel_600,vvel_700,vvel_850,vvel_925,vvel_975,vvel_1000
0,2020-05-31:18.00.00,1009,9,2.393569411651697e-05,-6.706189878968871e-07,2.9774064387311228e-06,-5.161862191016553e-06,332.75897216796875,354.24615478515625,352.57373046875,350.813720703125,348.5881042480469,346.4345703125,341.40673828125,340.13751220703125,333.1415405273437,330.4828491210937,11.011034965515137,10.018718719482422,10.757684707641602,9.770654678344728,5.125385761260986,0.7995601892471313,0.9856719970703125,-1.9976730346679688,298.22753143310547,301.01666259765625,0.000846358947455883,0.21477150917053223,0.23803174495697021,0.2665724754333496,3.292487235739827e-06,2.016546204686165e-06,3024.875,0.38232421875,-0.0004471242427825928,-0.0003438116982579231,-2139.73828125,16.01171875,633318.6945800781,2706737920.0,2870042752.0,2678412.125,2706727040.0,2870675584.0,-1.0347366333007812,442.8603515625,9.716112023219466,-6.250268779695034e-05,-22.68280029296875,0.0,-174.2733154296875,-37.36798095703125,-23.31378173828125,0.0,-135.85128784179688,0.0,-0.00028741173446178436,-627382.25,-83927.25,0.09328138828277588,65.30056762695312,1009.540087890625,0.00021788198500871658,0.00020667631179094315,0.000235104002058506,0.00022072019055485725,0.00045582186430692673,303.71653747558594,-1.1775409802794456e-06,-3.816530806943774e-07,5.904148565605283e-07,-1.1619951692409813e-05,4.835528670810163e-06,-7.740891305729747e-06,-9.204377420246601e-06,6.741145625710487e-06,2.2191088646650314e-06,-1.1046649888157845e-06,4.0473765693604946e-05,6.996199954301119e-05,7.811724208295345e-05,7.081474177539349e-05,5.7660858146846294e-05,5.24881761521101e-05,4.6457163989543915e-05,4.287913907319307e-05,4.008738324046135e-05,3.80912097170949e-05,3.525475040078163e-05,0.06628730772354174,0.18697619438171387,0.7088196277618408,4.868037165142596,78.4060575067997,67.9506513774395,97.35977935791016,94.07524886727333,88.34564170241356,77.00550957024097,88.70164489746094,95.66561889648438,93.12152862548828,83.811279296875,85.41184997558594,86.4098892211914,87.72330474853516,89.102294921875,91.13328552246094,91.08297729492188,84.67801666259766,9.94466245174408e-05,3.9389386074617505e-05,1.8952894606627524e-05,1.0737669072113931e-05,6.95996277499944e-06,1.767843059496954e-06,2.637825673446059e-07,1.4232409739634022e-07,2.5369354261783883e-07,1.8869195628212765e-07,6.935997589607723e-07,9.64132595981937e-07,7.016788003966212e-07,5.943729775026441e-07,4.3405452743172646e-07,3.552413545548916e-07,1.6090052668005228e-07,5.384208634495735e-10,304974.53125,259729.62109375,234044.814453125,202597.515625,183509.501953125,163832.572265625,140652.763671875,122915.421875,108214.62109375,95605.53515625,74669.728515625,57646.2861328125,43303.7099609375,30853.849609375,19811.18994140625,14720.345703125,9875.84375,7538.099609375,5253.43212890625,3018.177001953125,825.9765625,227.96479034423828,225.05646514892578,217.5049057006836,207.16740798950195,191.47869110107422,194.29402923583984,206.93351364135742,223.0937957763672,235.76368713378906,245.92925643920898,260.3089790344238,269.82946014404297,276.3239212036133,283.43482971191406,289.05191802978516,291.5484313964844,293.9355926513672,295.0275192260742,296.01922607421875,297.4215850830078,299.4187698364258,0.0029903948307037354,-0.0018811970949172974,-0.0014407187700271606,0.00871884822845459,-0.01674225926399231,0.04528099298477173,-0.03587770462036133,-0.20314359664916992,-0.26461172103881836,-0.26395606994628906,-0.2957172393798828,-0.28225231170654297,-0.25234031677246094,-0.25311851501464844,-0.1250133514404297,-0.07846355438232422,-0.023242473602294922,-0.002228260040283203
1,2020-05-31:21.00.00,1007,10,1.8398255633655936e-05,-1.819233034439094e-06,2.175011104554869e-08,1.4226891380531017e-06,332.9755859375,353.888671875,351.886474609375,349.916015625,347.94500732421875,345.91778564453125,341.595458984375,339.8408508300781,333.3433837890625,330.78662109375,10.66542625427246,8.54234790802002,10.374670028686523,8.090703964233398,4.946901321411133,0.7717165946960449,1.2709999084472656,-1.6457405090332031,297.9725875854492,300.82991790771484,0.0004870221018791199,0.14101994037628174,0.20992910861968994,0.23216772079467773,3.5553675843402743e-06,-6.818445399403572e-07,2197.8046875,1.004150390625,0.0023236125707626343,-0.00021806824952363968,-708.58203125,932.546875,564504.75,2701005184.0,2863094272.0,2672835.0,2701008256.0,2863659264.0,-0.9008941650390625,380.232421875,7.613851809874177,-6.275094347074628e-05,-23.66357421875,0.0,-159.61370849609375,-38.05889892578125,-23.35296630859375,0.0,-162.25067138671875,0.0,-0.00025025662034749985,-574610.5,-84068.0,0.11345303058624268,64.81482696533203,1008.061396484375,0.0001125093549489975,0.000220367219299078,0.0001352839171886444,0.00022618891671299934,0.0003614691086113453,303.729061126709,7.42846168577671e-07,1.823296770453453e-06,-1.0152289178222418e-06,-9.793264325708151e-06,4.261790309101343e-06,-3.160952473990619e-06,-1.7529178876429796e-05,8.065835572779179e-07,1.276086550205946e-06,-3.919936716556549e-06,3.0499068088829517e-05,6.076996214687824e-05,7.275643292814493e-05,7.289799395948648e-05,6.237358320504427e-05,5.4348958656191826e-05,4.75709093734622e-05,4.496471956372261e-05,4.271522630006075e-05,4.0554325096309185e-05,3.813521470874548e-05,0.05538228899240494,0.23970061540603638,0.6813129782676697,4.356696128845215,88.13899230957031,68.56102752685547,97.89344024658203,94.79479217529297,85.56713052093983,70.36517173051834,87.13244633376598,90.70360551774502,92.2586669921875,84.09733581542969,86.36978149414062,87.69434356689453,89.83922576904297,91.0169677734375,93.3337173461914,91.2988510131836,84.27452087402344,0.00010728964116424322,3.8643760490231216e-05,1.8171544070355594e-05,1.1631884262897074e-05,6.784175639040768e-06,1.7737947928253561e-06,1.6704962035873905e-07,1.9515573512762785e-07,2.2096992324804887e-07,1.829084794735536e-07,4.860994522459805e-07,8.636734492029063e-07,6.747286533936858e-07,5.907349986955523e-07,4.5205524656921625e-07,3.699387889355421e-07,1.36176822707057e-07,-9.080395102500916e-09,304669.39453125,259474.890625,233823.81640625,202360.15234375,183273.689453125,163649.044921875,140437.8203125,122713.533203125,108033.607421875,95442.884765625,74538.857421875,57517.349609375,43166.9013671875,30717.3671875,19677.14453125,14586.42138671875,9743.33447265625,7406.69482421875,5123.29638671875,2889.247314453125,698.01025390625,229.53228378295898,223.0302276611328,217.90374755859375,208.01803970336914,190.66152572631836,194.1621551513672,206.74925994873047,222.8765869140625,235.40327835083008,245.6115493774414,260.08810806274414,269.9883804321289,276.47010803222656,283.31011962890625,289.0079574584961,291.49078369140625,293.76317596435547,294.85338592529297,295.80030059814453,297.29127502441406,299.32645416259766,0.00208987295627594,-0.002237379550933838,-0.0048449039459228516,0.012058556079864502,-0.02745470404624939,-0.002495884895324707,-0.006413936614990234,-0.1466355323791504,-0.18256711959838867,-0.17227649688720703,-0.18015003204345703,-0.1692037582397461,-0.19301223754882812,-0.21120738983154297,-0.10929584503173828,-0.06520843505859375,-0.03535795211791992,-0.02612781524658203
2,2020-06-01:00.00.00,1007,11,2.304925146745518e-05,2.6617763069225475e-06,7.838341844035313e-06,9.540010069031268e-06,333.0744934082031,353.4026184082031,351.564208984375,349.8823547363281,348.1342163085937,345.986572265625,343.01934814453125,341.8402404785156,335.2846984863281,332.64178466796875,12.183374404907228,8.420401573181152,12.34552764892578,8.467018127441406,4.889186382293701,0.7627130746841431,0.9199790954589844,-0.5505256652832031,297.2957077026367,300.3285827636719,0.0005776099860668182,0.11149930953979492,0.20682787895202637,0.25838375091552734,2.600019797682762e-06,1.4132820069789886e-06,2847.18359375,-0.779052734375,-0.001352056860923767,-0.0004700636491179466,-2257.90625,-591.48828125,527502.75,2699598336.0,2866530944.0,2670962.625,2699597568.0,2867058816.0,-1.084381103515625,265.90234375,7.198452941142023,-6.199313793331385e-05,-23.02313232421875,0.0,-149.6048583984375,-40.62567138671875,-22.3111572265625,0.0,-166.46923828125,0.0,-0.0003012120723724365,-538572.25,-80318.5,0.11047446727752686,66.75079292058945,1007.10865234375,0.00016907043755054474,0.00021333061158657074,0.0001604459248483181,0.0002330332063138485,0.0003934684209525585,303.49565505981445,5.044072167947888e-06,-5.5315031204372644e-06,2.347136614844203e-06,-3.4762342693284154e-06,-6.329937605187297e-06,-3.2865791581571102e-06,-1.518073258921504e-05,-5.354348104447126e-06,7.908092811703682e-07,1.2922100722789764e-08,3.086694050580263e-05,5.258200690150261e-05,6.489688530564308e-05,7.010018453001976e-05,6.895943079143763e-05,6.364448927342892e-05,5.5320095270872116e-05,4.9144262447953224e-05,4.159437958151102e-05,3.690773155540228e-05,3.434519749134779e-05,0.05764701688895002,0.24593091011047363,0.640547513961792,4.23494815826416,93.83039039373398,82.1621867865324,97.8145751953125,94.12056744098663,87.55425995588303,68.61425958573818,85.59214781224728,89.7703628540039,94.94027709960938,88.83103942871094,89.84410858154297,91.78380584716797,92.1058349609375,91.7284927368164,92.24773406982422,90.42203521728516,83.45294952392578,0.00011173228267580271,3.339764953125268e-05,2.129624772351235e-05,1.3868178939446807e-05,6.677611963823438e-06,1.875854650279507e-06,2.744272933341563e-07,1.287653503823094e-07,2.068154572043568e-07,1.8816535884980112e-07,5.192323442315683e-07,7.923235898488201e-07,6.035770638845861e-07,5.95086021348834e-07,5.139881977811456e-07,3.7667632568627596e-07,8.726783562451601e-08,-1.4071702025830746e-08,304775.12109375,259498.44140625,233862.0,202398.677734375,183166.267578125,163618.412109375,140415.12890625,122696.947265625,108034.044921875,95446.234375,74519.7880859375,57481.576171875,43122.078125,30656.7919921875,19602.13720703125,14506.01220703125,9660.80810546875,7324.41650390625,5041.337890625,2807.33154296875,615.9794921875,229.08706665039062,222.75069046020508,218.20213317871094,208.06145858764648,190.15769958496094,193.35179138183594,206.74420166015625,222.59978485107422,235.20473098754883,245.70247268676758,260.3192024230957,270.1399726867676,276.7823791503906,283.5348205566406,289.2708206176758,291.5907287597656,293.72225189208984,294.7631378173828,295.8528518676758,297.32410430908203,299.38145446777344,-0.0008025504648685455,0.007374480366706848,-0.004126563668251038,0.006000787019729614,-0.0011069178581237793,-0.011317610740661621,-0.005978584289550781,-0.07042980194091797,-0.1517009735107422,-0.17023468017578125,-0.22279930114746094,-0.3148765563964844,-0.3639202117919922,-0.3144092559814453,-0.17058467864990234,-0.08201169967651367,-0.019034385681152344,0.007081508636474609
3,2020-06-01:03.00.00,1007,13,2.0552783098537475e-05,1.2072940080543049e-05,2.7242209398536943e-05,1.092380171030527e-05,333.7542419433594,353.7790222167969,351.89044189453125,349.89129638671875,348.5334167480469,346.08795166015625,343.9011535644531,341.7917175292969,334.685546875,332.563232421875,12.239155769348145,8.848210334777832,12.440274238586426,9.143526077270508,5.932003498077393,0.9253925681114196,0.8008804321289062,-0.16054916381835938,297.45218658447266,300.4914321899414,0.0009930524975061417,0.1623387336730957,0.22726011276245117,0.6982030868530273,6.770715117454529e-06,7.366761565208435e-07,6285.589874267578,0.357421875,-0.001274392008781433,-0.0010043010115623474,-4282.90625,-535.8515625,559399.1875,2705875072.0,2872194688.0,2677246.5,2705875712.0,2872754560.0,-2.4115562438964844,242.123046875,7.4900102615356445,-7.104512769728899e-05,-24.4273681640625,19.196044921875,-148.38934326171875,-38.63459777832031,-21.85638427734375,508.91943359375,-170.14732360839844,219.8905029296875,-0.0006698798388242722,-534201.75,-78682.5,0.1734161376953125,66.50653076171875,1008.242783203125,0.00026857713237404823,0.00035082269459962845,0.0002758507616817951,0.00032474007457494736,0.0006005838513374329,303.51816177368164,1.5327386790886521e-06,-8.221366442739964e-06,1.6123667592182755e-06,-1.8605205696076155e-06,-9.061666787602007e-06,-5.852634785696864e-07,-1.710590731818229e-05,-7.219263352453709e-06,4.119938239455223e-07,4.508183337748051e-06,3.411853685975075e-05,4.972901660948992e-05,6.022397428750992e-05,7.326842751353979e-05,7.469754200428724e-05,7.441837806254625e-05,6.780505646020174e-05,6.311340257525444e-05,5.762756336480379e-05,5.3545692935585976e-05,4.9722264520823956e-05,0.05916023484314792,0.20653116703033447,0.647199273109436,4.947381496429443,89.28471374511719,83.0809326171875,99.18844604492188,93.03369149565697,84.87836454808712,67.53093159198761,82.91546589136124,85.65612030029297,90.18798065185547,83.55211639404297,86.5326156616211,90.88522338867188,91.64807891845703,91.69860076904297,91.8825912475586,89.8774185180664,82.61405181884766,0.00010210543405264616,3.287424624431878e-05,2.178490103688091e-05,1.4876655768603086e-05,6.87531428411603e-06,1.857126335380599e-06,1.1017800716217607e-07,8.478673407807946e-08,2.243987182737328e-07,2.2302992874756455e-07,5.790152499685064e-07,7.270928108482622e-07,5.767251423094422e-07,6.654736353084445e-07,6.055488483980298e-07,4.4055923353880644e-07,1.2038799468427896e-07,2.6702764444053173e-08,305145.2734375,259729.3828125,234042.400390625,202626.666015625,183363.56640625,163858.44140625,140655.255859375,122919.71484375,108238.59375,95647.0078125,74710.4189453125,57654.201171875,43269.400390625,30776.1669921875,19710.58056640625,14613.81787109375,9767.40625,7429.77490234375,5144.88623046875,2908.72509765625,714.8798828125,228.93264770507812,224.23570251464844,218.11373901367188,206.8930320739746,190.57499313354492,193.26434707641602,207.1533203125,222.86138916015625,235.44798278808594,245.73397827148438,260.6501693725586,270.45723724365234,277.5407028198242,284.09349060058594,289.4573440551758,291.66150665283203,293.8580856323242,294.9642791748047,296.1007080078125,297.62618255615234,299.71573638916016,0.001333080232143402,0.0012976229190826416,0.0011478513479232788,0.011332422494888306,-0.01713469624519348,-0.04099196195602417,-0.05442619323730469,-0.1390089988708496,-0.22225189208984375,-0.2655363082885742,-0.4698982238769531,-0.6959896087646484,-0.7557392120361328,-0.708648681640625,-0.4742240905761719,-0.2638378143310547,-0.09534215927124023,-0.013255119323730469
4,2020-06-01:06.00.00,1006,15,3.934984852094203e-05,2.262748967041261e-05,1.5615223674103618e-05,-3.833974005829077e-06,334.11737060546875,354.9569091796875,353.437255859375,351.2640686035156,349.2240905761719,346.0897216796875,343.0395812988281,341.627197265625,334.6395263671875,332.50762939453125,13.547484397888184,11.262859344482422,13.376317977905272,11.062978744506836,6.465574264526367,1.008629560470581,2.1245574951171875,1.5049629211425781,297.8251647949219,300.6034164428711,0.001236099749803543,0.38016223907470703,0.33573079109191895,0.8971195220947266,1.1351949069648981e-05,-2.7400674298405647e-06,8797.3984375,4.34228515625,0.001277536153793335,-0.0011162403970956802,-5386.06640625,635.59765625,656066.4365234375,2707756928.0,2875908224.0,2678953.0,2707758080.0,2876564224.0,-2.9782028198242188,496.4970703125,8.89438247680664,-7.366167847067118e-05,-27.5335693359375,99.75201416015625,-164.353515625,-38.709320068359375,-24.1376953125,1186.4761962890625,-169.23971557617188,594.375732421875,-0.0008272835984826088,-591672.5,-86895.5,0.1726820468902588,67.2390365600586,1008.820361328125,0.00033724866807460785,0.00048025697469711304,0.0003433576785027981,0.0004942147061228752,0.0008375830948352814,303.51816177368164,1.3795215636491776e-08,-7.055961759760976e-06,4.827321390621364e-06,-1.298816641792655e-06,-8.891423931345344e-06,2.065033186227083e-06,-1.7299724277108908e-05,-9.58004966378212e-06,-1.388660166412592e-06,5.725654773414135e-06,4.2824773117899895e-05,6.34330790489912e-05,6.574229337275028e-05,7.716764230281115e-05,8.539855480194092e-05,8.765957318246365e-05,8.628168143332005e-05,8.415535558015108e-05,7.985823322087526e-05,7.286155596375465e-05,6.610958371311426e-05,0.05052979290485382,0.21656039351364598,0.6962174775544554,4.307899475097656,102.9101650416851,87.74982464313507,94.87097930908203,89.82718658447266,79.1409912109375,69.62132263183594,82.16343775391579,88.89438620209694,92.2144775390625,86.45985412597656,89.5618667602539,92.3203353881836,92.5263671875,91.98895263671875,92.9572525024414,92.05653381347656,85.41189575195312,9.374227374792099e-05,3.569477121345699e-05,2.1741987438872457e-05,1.524444087408483e-05,6.767746526747942e-06,1.5507939679082483e-06,7.411654223687947e-08,5.4467818699777126e-08,2.3798384063411504e-07,2.9616148822242394e-07,7.278686098288745e-07,9.195282473228872e-07,6.123591447249055e-07,7.124326657503843e-07,6.252666935324669e-07,5.10714016854763e-07,2.011074684560299e-07,1.6618287190794945e-08,305180.01171875,259712.37109375,234115.091796875,202586.240234375,183380.220703125,163977.916015625,140806.5390625,123011.388671875,108282.228515625,95656.341796875,74683.189453125,57637.099609375,43276.560546875,30805.646484375,19757.1611328125,14664.97607421875,9820.044921875,7481.8271484375,5196.15576171875,2959.46630859375,765.2060546875,230.2560691833496,223.87300872802734,217.5943717956543,208.01597213745117,189.58936309814453,192.42427825927734,207.80279159545898,223.53762435913086,236.4144630432129,246.37295532226562,260.9667320251465,270.1939888000488,276.9994354248047,283.6619186401367,289.07694244384766,291.4928741455078,293.8706588745117,295.06053161621094,296.1232604980469,297.63087463378906,299.67710876464844,-0.0012981854379177094,0.0026107877492904663,-0.010632529854774475,0.01787722110748291,-0.008518785238265991,-0.07660877704620361,-0.15365219116210938,-0.3361015319824219,-0.508793830871582,-0.6192779541015625,-0.8209676742553711,-0.8687047958374023,-0.8075094223022461,-0.6966743469238281,-0.44703102111816406,-0.26564693450927734,-0.11290121078491211,-0.03676748275756836
5,2020-06-01:09.00.00,1004,13,2.4109252990456295e-05,7.572813956358004e-06,5.405356205301359e-06,-3.648092842922779e-06,334.2352294921875,356.288818359375,354.680419921875,352.69488525390625,349.5249938964844,346.426025390625,341.9837646484375,341.88922119140625,334.8680725097656,332.4818420410156,13.012907028198242,12.341492652893066,12.842424392700195,12.283710479736328,7.406935691833496,1.155482053756714,2.1416854858398438,1.0133247375488281,297.99781036376953,300.76544189453125,0.0012704581022262573,0.5041320323944092,0.26051926612854004,0.8614039421081543,5.66430389881134e-06,-4.549452569335699e-06,7356.765625,4.68115234375,0.0032178163528442383,-0.0007723290473222733,-3971.2109375,1462.015625,742790.5,2701968896.0,2869716480.0,2673245.375,2701972992.0,2870459648.0,-3.025554656982422,528.4931640625,10.85727417934686,-8.404100663028657e-05,-31.498779296875,35.04559326171875,-196.1219482421875,-37.925537109375,-28.63519287109375,1237.1966552734375,-120.43429565429688,497.8031005859375,-0.0008404385298490524,-706038.25,-103083.0,0.1724604368209839,67.07725524902344,1006.695146484375,0.00033140555024147034,0.000732476357370615,0.00035290722735226154,0.0007643057033419609,0.0011172033846378326,303.5241508483887,-3.5441044019535184e-06,-7.284557796083391e-06,2.169341314584017e-06,8.475763024762273e-07,-6.147485692054033e-06,-3.93186928704381e-06,-1.7524929717183113e-05,-6.34434400126338e-06,4.1368184611201286e-07,1.7402577213943005e-05,4.53026732429862e-05,7.372337859123945e-05,7.798743899911642e-05,8.518178947269917e-05,9.491585660725832e-05,9.93519788607955e-05,0.00010004581417888403,9.842810686677694e-05,9.481515735387802e-05,8.404138498008251e-05,7.518206257373095e-05,0.05797846394125372,0.17030233144760132,0.7440390586853027,4.200514316558838,95.19915771484375,106.94297790527344,97.87590789794922,95.28939819335938,89.46299703419209,82.42323967814445,84.9511489868164,93.06090545654297,96.7291030883789,85.85892486572266,87.64985656738281,89.16717529296875,89.94715881347656,90.16080474853516,91.49464416503906,91.8824234008789,85.0475082397461,8.071854244917631e-05,3.485007619019598e-05,2.2020089090801775e-05,1.5771365724503994e-05,7.339978765230626e-06,1.1395823094062507e-06,6.57601049169898e-08,1.1689007806126028e-07,2.322567524970509e-07,4.1347993828821927e-07,7.346588972723112e-07,1.0359253792557865e-06,7.302514859475195e-07,6.646296242251992e-07,6.933987606316805e-07,6.357149686664343e-07,2.1056621335446835e-07,-3.14321368932724e-08,305024.62109375,259551.2421875,233863.5234375,202440.69140625,183217.44140625,163890.185546875,140760.052734375,122907.990234375,108141.646484375,95480.068359375,74488.6875,57444.197265625,43107.884765625,30650.2744140625,19590.11279296875,14492.86962890625,9642.18310546875,7301.6357421875,5014.31591796875,2776.530517578125,581.253173828125,229.16022109985352,225.9241065979004,217.11485290527344,208.22736358642578,189.92894744873047,191.2418212890625,208.31158447265625,224.30188751220703,236.98231506347656,246.82308197021484,260.9635581970215,270.0162048339844,276.2262649536133,283.8240661621094,289.3644714355469,291.85752868652344,294.2081832885742,295.3217468261719,296.3262252807617,297.73131561279297,299.8270797729492,-0.004121080040931702,0.0034819841384887695,-0.00381411612033844,0.009863227605819702,-0.00015661120414733887,-0.06309467554092407,-0.24983525276184082,-0.4420480728149414,-0.5183095932006836,-0.5538730621337891,-0.6497793197631836,-0.6551246643066406,-0.5856313705444336,-0.47168636322021484,-0.27741432189941406,-0.1765732765197754,-0.09141016006469727,-0.04477214813232422
6,2020-06-01:12.00.00,1003,13,2.4386958102695644e-05,2.2494396034744568e-05,5.894858986721374e-06,3.085094249399845e-06,335.4745483398437,356.0548095703125,354.65283203125,353.3443603515625,350.6135559082031,347.84539794921875,343.8309326171875,343.8973693847656,335.6527709960937,333.4016418457031,14.710005760192873,13.07122802734375,14.613840103149414,13.232131958007812,8.468420028686523,1.3210736513137815,-0.14775848388671875,-0.781768798828125,298.02464294433594,300.84156036376953,0.0008726790547370911,0.36527693271636963,0.27249574661254883,0.8457789421081543,7.917988114058971e-06,2.919812686741352e-06,7064.078125,2.693603515625,0.0006891787052154541,-0.0009042415767908096,-4433.390625,349.98828125,752832.8078613281,2699499136.0,2873686528.0,2670176.25,2699500672.0,2874439808.0,-2.1484298706054688,556.265625,11.480199890211225,-8.869273005984724e-05,-30.0892333984375,0.95806884765625,-213.26959228515625,-34.593719482421875,-29.1033935546875,637.9764404296875,-112.60165405273438,200.2154541015625,-0.0005967896431684494,-767773.5,-104772.25,0.11581265926361084,69.65280151367188,1005.269892578125,0.00025389203801751137,0.0005248095840215683,0.00024241069331765175,0.000609144102782011,0.0008515482768416405,303.56320571899414,-7.174938218668103e-06,-5.550595233216882e-06,2.294851583428681e-06,-2.788627170957625e-06,-3.581924829632044e-06,-1.7788202967494726e-05,-1.6959616914391518e-05,-7.597438525408506e-06,-1.8201535567641258e-07,1.2839329428970814e-05,3.531127003952861e-05,7.169524906203151e-05,8.896843064576387e-05,0.00010064931120723486,0.0001034917077049613,0.00010388297960162163,0.00010007002856582403,9.635451715439558e-05,9.229278657585382e-05,8.731114212423563e-05,7.909431587904692e-05,0.05536080620368011,0.1957799792289734,0.6178112626075745,3.3877835273742676,89.32521823048592,102.94651794433594,98.53594207763672,100.52379608154297,93.59098826348782,93.36880493164062,94.15284729003906,97.7542495727539,97.14375305175781,90.19158172607422,91.03601837158203,92.1419677734375,92.12206268310547,91.84162139892578,93.3055191040039,91.47822570800781,84.97706604003906,7.836963050067425e-05,3.637620829977095e-05,2.3911314201541245e-05,1.4451303286477923e-05,7.434100552927703e-06,5.729816621169448e-07,2.0938932721037418e-07,1.0562780516920611e-07,2.107863110722974e-07,3.859131538774818e-07,7.010166882537305e-07,9.754967322805896e-07,6.633563316427171e-07,8.907663868740201e-07,6.771879270672798e-07,6.09681592322886e-07,1.6069679986685514e-07,-8.990173228085041e-08,305081.28515625,259823.28125,234047.298828125,202454.03515625,183120.251953125,163830.25,140714.158203125,122874.681640625,108108.80859375,95442.8359375,74438.4072265625,57387.33203125,43024.076171875,30537.607421875,19476.04931640625,14379.4169921875,9527.39501953125,7185.3154296875,4896.0693359375,2655.776123046875,458.18017578125,229.52487182617188,224.65641021728516,218.48480987548828,209.62911224365234,190.51111602783203,190.9427719116211,208.16053009033203,224.13418579101562,236.90818405151367,246.8708839416504,260.9424057006836,270.2274971008301,276.8461685180664,284.02425384521484,289.220458984375,291.78092193603516,294.29508209228516,295.4632110595703,296.5222396850586,298.03355407714844,300.0642623901367,-0.00041942670941352844,-0.004861772060394287,-0.00027774274349212646,0.020238906145095825,0.018262475728988647,-0.06421715021133423,-0.11880731582641602,-0.2759847640991211,-0.3973970413208008,-0.5452890396118164,-0.6409187316894531,-0.6863155364990234,-0.6903543472290039,-0.6088991165161133,-0.3893470764160156,-0.2405714988708496,-0.10265159606933594,-0.02530670166015625
