,cape,inst_10m_wnd_gst,inst_moisture_flux,inst_ssh_flux,surfmean_swr_flux,surfmean_lhf,surfmean_lwr_flux,surfmean_shf,dwnwrdmean_swr_flux,topmean_lwr_flux,topmean_swr_flux,vimean_moisture_div,surf_lhf,surf_shf,tot_suprcool_liqwtr,tot_wtr_vpr
0,646.0888671875,11.115118980407715,-6.714957999065518e-05,-16.263671875,178.1640625,-169.92633056640625,-38.105133056640625,-14.19610595703125,1270.68408203125,-170.90228271484375,749.030517578125,-0.0002708118408918381,-611733.75,-51103.0,0.049723029136657715,59.475059509277344
1,611.435546875,10.917523374781013,-6.382363790180534e-05,-18.82098388671875,173.28399658203125,-162.7135009765625,-38.465576171875,-14.0338134765625,1171.064697265625,-169.9654541015625,699.3927001953125,-0.00036710314452648163,-585767.0,-50524.5,0.06995677947998047,60.31633377075195
2,598.0244140625,11.32608413696289,-6.149978435132653e-05,-21.62261962890625,28.041015625,-162.07122802734375,-35.98162841796875,-16.79266357421875,435.9791259765625,-164.30935668945312,192.223388671875,-0.0005586026236414909,-583456.0,-60453.0,0.11462187767028809,60.99518585205078
3,537.2705078125,10.476079940795898,-6.178035982884467e-05,-25.05657958984375,0.0,-153.50799560546875,-35.049835205078125,-24.2525634765625,0.0,-177.61468505859375,0.0,-0.0005831606686115265,-552626.25,-87307.0,0.1553250551223755,61.930809020996094
4,479.806640625,10.560995066538453,-5.8392470236867666e-05,-25.45574951171875,0.0,-151.7064208984375,-35.68084716796875,-25.4532470703125,0.0,-170.48861694335938,0.0,-0.0005226656794548035,-546147.25,-91633.0,0.18137681484222412,61.74333190917969
5,468.095703125,10.094795309007168,-6.037313141860068e-05,-28.43426513671875,0.0,-147.8621826171875,-36.084014892578125,-26.57025146484375,0.0,-166.722900390625,0.0,-0.000445779412984848,-532308.0,-95657.25,0.18439173698425293,61.60207748413086
6,474.466796875,10.0807217489928,-6.216895417310297e-05,-27.2183837890625,0.0,-148.74432373046875,-38.449310302734375,-24.3651123046875,0.0,-170.32791137695312,0.0,-0.0004087323322892189,-535479.0,-87710.5,0.19333815574645996,61.41364669799805
7,480.11328125,9.771661607548594,-5.910152685828507e-05,-22.09716796875,17.5555419921875,-149.71600341796875,-38.434600830078125,-23.07354736328125,564.034912109375,-177.47152709960938,227.95263671875,-0.00033463723957538605,-538976.0,-83064.25,0.1608257293701172,61.600257873535156
8,532.32421875,9.975896704941988,-5.772791337221861e-05,-20.28948974609375,65.9610595703125,-150.733642578125,-34.68620300292969,-21.6507568359375,1230.587890625,-178.916748046875,566.6751708984375,-0.00043066777288913727,-542641.75,-77944.25,0.16136980056762695,61.61192321777344
9,509.40625,9.879921095445752,-5.7422585086897016e-05,-23.911376953125,62.98394775390625,-150.7313232421875,-35.83128356933594,-24.58856201171875,1230.406005859375,-173.37091064453125,552.101806640625,-0.0004789121448993683,-542633.5,-88515.25,0.2032623291015625,61.70208403468132
10,453.8095703125,9.760519973002374,-6.046533235348761e-05,-26.9859619140625,12.6881103515625,-150.29498291015625,-36.761932373046875,-25.78875732421875,564.22607421875,-169.98822021484375,206.16650390625,-0.0005892328917980194,-541059.25,-92843.5,0.24671244621276855,62.476234436035156
11,472.0146484375,9.848234173841774,-6.185448728501797e-05,-26.21075439453125,0.0,-153.02587890625,-36.176513671875,-25.97607421875,0.0,-163.74459838867188,0.0,-0.0006215404719114304,-550891.5,-93515.0,0.2818012237548828,62.95677947998047
12,434.8720703125,10.355795694515109,-6.026081973686814e-05,-24.6298828125,0.0,-155.591796875,-36.1761474609375,-25.64544677734375,0.0,-160.95510864257812,0.0,-0.0007077455520629883,-560133.25,-92323.5,0.308785080909729,62.796140015125275
13,458.7744140625,10.585332870483398,-6.783497519791126e-05,-27.6634521484375,0.0,-167.60931396484375,-36.456451416015625,-28.40960693359375,0.0,-152.8038330078125,0.0,-0.0006686411798000336,-603395.25,-102275.75,0.28039324283599854,62.4875003695488
14,477.4423828125,10.861748680472374,-7.319016731344163e-05,-29.3524169921875,0.0,-177.28692626953125,-38.7515869140625,-29.48468017578125,0.0,-150.97775268554688,0.0,-0.0006691049784421921,-638230.0,-106146.0,0.24750924110412598,62.06734171509743
15,495.71875,11.988164870068431,-8.01808200776577e-05,-30.169921875,10.3372802734375,-197.99188232421875,-37.78839111328125,-30.44482421875,472.0384521484375,-136.21676635742188,155.404541015625,-0.0008518816903233528,-712770.0,-109599.5,0.28282439708709717,62.38798001408577
16,342.5009765625,12.76126778125763,-9.11915412871167e-05,-27.37811279296875,73.25921630859375,-216.69940185546875,-36.92808532714844,-29.19970703125,1194.5548095703125,-137.9913330078125,506.0592041015625,-0.0007121991366147995,-780115.75,-105120.5,0.2567617893218994,62.40351104736328
17,355.6044921875,12.811864852905273,-9.67317319009453e-05,-30.6719970703125,101.3299560546875,-224.083740234375,-39.00752258300781,-29.87738037109375,1261.9849853515625,-140.69195556640625,551.6749267578125,-0.0006595645099878311,-806702.0,-107560.75,0.24500548839569092,62.42407989501953
18,390.12890625,13.201794430613518,-9.894893446471542e-05,-33.39654541015625,23.63299560546875,-230.06866455078125,-39.235687255859375,-32.5291748046875,637.5628662109375,-136.33963012695312,246.056640625,-0.0004395376890897751,-828248.0,-117102.5,0.18539226055145264,62.731536865234375
19,502.625,14.360088348388672,-9.417309775017202e-05,-31.990234375,0.0,-243.8135986328125,-38.184906005859375,-31.1309814453125,0.0,-141.48910522460938,0.0,-0.0006791539490222931,-877731.0,-112070.5,0.17971551418304443,63.17854309082031
20,343.90673828125,14.53431317023933,-0.00010024892981164157,-33.05413818359375,0.0,-240.06878662109375,-35.588836669921875,-33.07427978515625,0.0,-124.89144897460938,0.0,-0.0005371440201997757,-864247.25,-119067.5,0.17785382270812988,63.33172607421875
21,327.5439453125,13.621999741531909,-0.00010193148045800626,-31.1756591796875,0.0,-233.54107666015625,-39.23382568359375,-27.4241943359375,0.0,-132.16094970703125,0.0,-0.00015699490904808044,-840747.5,-98726.5,0.06832945346832275,62.25963592529297
22,446.595703125,13.499425129964948,-9.616074385121465e-05,-35.11376953125,0.0,-226.3978271484375,-41.84857177734375,-23.83001708984375,0.0,-136.7730712890625,0.0,-0.00034222472459077835,-815031.0,-85788.75,0.04872119426727295,62.96296454966068
23,498.142578125,15.61382339708507,-9.68047243077308e-05,-33.7340087890625,26.717529296875,-245.5166015625,-39.505523681640625,-36.067626953125,393.3079833984375,-137.83203125,173.521240234375,-0.0005203578621149063,-883859.25,-129841.5,0.07981407642364502,63.281534537673
24,553.41015625,15.617206593975425,-9.677943307906389e-05,-26.72320556640625,157.907958984375,-248.61065673828125,-37.722503662109375,-27.9405517578125,1151.578857421875,-138.02105712890625,629.9007568359375,-0.00039429590106010437,-895002.25,-100584.75,0.08418643474578857,61.02581787109375
25,625.130859375,15.636032599955797,-9.330394095741212e-05,-28.38909912109375,186.54644775390625,-236.7740478515625,-38.0272216796875,-24.968994140625,1287.70263671875,-141.5623321533203,726.4444580078125,-0.0003643929958343506,-852386.0,-89886.75,0.08438599109649658,60.8931929320097
26,618.3740234375,15.550958620384336,-9.51489491853863e-05,-32.3756103515625,63.5919189453125,-239.61474609375,-36.582305908203125,-20.37432861328125,724.8316650390625,-131.66534423828125,358.2938232421875,-0.00015453994274139404,-862613.0,-73346.5,0.040898799896240234,60.841655030846596
27,632.47265625,16.18921050429344,-9.685885743238032e-05,-31.31781005859375,0.0,-244.10357666015625,-37.68890380859375,-31.96673583984375,0.0003662109375,-160.18161010742188,0.0003662109375,-0.0004112217575311661,-878774.0,-115078.75,0.08780062198638916,61.315528869628906
28,487.8896484375,16.849048936739564,-0.00011085101868957281,-34.26617431640625,0.0,-256.16070556640625,-39.2213134765625,-32.85662841796875,0.0,-158.78817749023438,0.0,-0.0004436355084180832,-922177.25,-118283.0,0.09300410747528076,60.20539855957031
29,669.3583984375,17.06876022554934,-0.0001067147240974009,-28.5487060546875,0.0,-256.1474609375,-38.28802490234375,-28.30548095703125,0.0,-164.94744873046875,0.0,-0.0003798380494117737,-922131.5,-101900.5,0.0786895751953125,60.40731506049633
30,779.0478515625,17.02000999916345,-0.00010668847244232893,-28.85546875,0.0,-257.15576171875,-38.619842529296875,-26.03961181640625,0.0,-152.03250122070312,0.0,-0.00021090544760227203,-925763.5,-93741.0,0.06467890739440918,60.87505006790161
31,893.8447265625,17.827385164797306,-0.0001033088774420321,-26.318115234375,34.56475830078125,-267.741455078125,-35.006072998046875,-28.96685791015625,295.2520751953125,-168.04916381835938,155.90234375,-0.0003455672413110733,-963869.5,-104280.75,0.05678665637969971,61.74694061279297
32,744.556640625,18.000110425055027,-0.00011224806075915694,-28.6964111328125,283.3985595703125,-264.1815185546875,-38.194549560546875,-29.64990234375,1095.865478515625,-193.09100341796875,720.7786865234375,-0.00035204924643039703,-951055.0,-106743.25,0.08783543109893799,61.36422999203205
33,946.5947265625,18.825685501098633,-0.00011193120735697448,-30.689208984375,312.2117919921875,-274.7265625,-36.33622741699219,-31.16888427734375,1308.554443359375,-192.137939453125,823.7667236328125,-0.0005597248673439026,-989016.75,-112203.75,0.1336756944656372,63.5516357421875
34,963.8369140625,19.490356519818306,-0.00011621360317803919,-39.66265869140625,114.9083251953125,-293.76776123046875,-35.2779541015625,-36.52020263671875,818.804931640625,-159.29385375976562,408.31640625,-0.0007801922038197517,-1057565.25,-131472.5,0.12438070774078369,64.69448852539062
35,1039.3359375,19.32779873162508,-0.00011572451330721378,-36.5242919921875,0.00482177734375,-288.53912353515625,-37.4638671875,-36.79833984375,7.667724609375,-113.95330810546875,2.6234130859375,-0.000928620807826519,-1038740.25,-132472.75,0.07134497165679932,65.04495103657246
36,1124.9765625,19.74730491824448,-0.00012176783639006317,-39.86114501953125,0.0,-290.33746337890625,-32.70416259765625,-36.19903564453125,0.0,-102.9193115234375,0.0,-0.0012857308611273766,-1045210.75,-130319.5,0.11536681652069092,65.91275869309902
37,1122.81640625,20.54674339108169,-0.00012628681724891067,-39.71649169921875,0.0,-299.99981689453125,-33.689788818359375,-38.822265625,0.0,-92.54940795898438,0.0,-0.0011649783700704575,-1079998.25,-139759.0,0.12228047847747803,65.02905887365341
38,1078.666015625,19.927167888730764,-0.00012257907656021416,-37.06231689453125,0.0,-287.74835205078125,-31.876373291015625,-37.8154296875,0.0,-91.01312255859375,0.0,-0.0011793915182352066,-1035895.75,-136135.5,0.1469719409942627,64.15620577335358
