,outu10,outv10,out2mdewtmp,out2mtmp,outconv_ppt,outtot_cld_ice,outtot_cldwtr,outtot_cld_rain,outvi_div_cld_froz_wtr,outvi_div_cld_liq_wtr,outvi_div_gpot_flux,outvi_div_ke_flux,outvi_div_mass_flux,outvi_div_moisture_flux,outvi_div_olr_flux,outvi_div_tot_enrgy_flux,outvi_ke,outvi_pe_inte,outvi_pe_ie_latentenrgy,outvi_temp,outvi_olr,outvi_tot_enrgy,outvi_moisture_div
0,-5.892691802978516,0.7523180643717448,297.257394917806,300.13211822509766,0.00031841062009334563,0.03829564253489177,0.05847883224487305,0.025979010264078777,-9.557309870918592e-08,-3.095871458450953e-08,98.31953125,-0.0962158203125,-0.00036514401435852053,-4.5676218966643016e-05,-149.91901041666668,-165.08463541666666,609127.1460530598,2695478860.8,2817522141.866667,2671061.283333333,2695475089.0666666,2818131498.6666665,-0.23756510416666668
1,-6.086256917317709,0.7839914957682291,297.2984181722005,300.22145029703773,0.00030362866818904876,0.03493651549021403,0.05906036694844564,0.021559969584147135,-7.695440823833147e-08,-2.9041742285092672e-08,321.71015625,-0.5526692708333333,-0.0015108287334442139,-9.34883952140808e-05,-671.0018229166667,-579.1119791666666,623610.2214680989,2699924915.2,2820752768.0,2675597.183333333,2699922517.3333335,2821376187.733333,-0.2957166035970052
2,-5.981254577636719,1.0859970092773437,297.3259882609049,300.37181396484374,0.0002758095661799113,0.036922399202982584,0.06070785522460938,0.023031202952067058,-4.350886835406224e-07,-2.6991280416647593e-07,403.365625,-0.25399576822916664,0.00013995766639709472,-7.320716977119446e-05,-194.21119791666666,28.908072916666665,630834.6542073567,2702063872.0,2822463445.3333335,2677772.775,2702061815.4666667,2823093939.2,-0.38642552693684895
3,-5.757372538248698,1.2967992146809897,297.3105834960937,300.47356974283855,0.00025135151421030365,0.034080187479654946,0.06293848355611166,0.018569533030192056,-4.023041886587938e-07,-1.4896504580974578e-07,471.8151041666667,-0.3841634114583333,0.0009469946225484212,-6.830046574274699e-05,8.746354166666666,302.22369791666665,585192.1258748373,2699564970.6666665,2819719859.2,2675305.8,2699563997.866667,2820305288.5333333,-0.32946802775065104
4,-5.634982045491537,1.1128392537434897,297.31331227620444,300.5488026936849,0.00025130429615577063,0.039394466082255046,0.062222592035929364,0.025939369201660158,-4.5306514948606493e-07,-9.382298837105433e-08,184.29375,-0.7712239583333333,0.00038643876711527507,-3.9759278297424314e-05,11.4015625,99.48697916666667,557840.3347493489,2698916352.0,2819090978.133333,2674654.1083333334,2698915046.4,2819648981.3333335,-0.2097094217936198
5,-5.586686452229817,1.156073760986328,297.41475474039714,300.58951161702475,0.00019925211866696677,0.03922508557637532,0.064946715037028,0.027239640553792317,-3.9613029609123863e-07,-2.0895774165789287e-07,60.626041666666666,-1.36904296875,-0.0015367050965627036,-6.72356535991033e-05,-500.26666666666665,-617.2638020833333,570655.969140625,2702574745.6,2821529582.9333334,2678404.408333333,2702573235.2,2822100326.4,-0.18625284830729166
6,-5.426082356770833,1.7452311197916666,297.46400146484376,300.45836283365884,0.00022829845547676087,0.03544839223225912,0.048183957735697426,0.01871007283528646,-3.713008482009172e-07,3.046200921138128e-08,153.9171875,-0.9453776041666667,0.0002960324287414551,-3.821259985367457e-05,-25.890625,35.901041666666664,604141.9682373047,2705925418.6666665,2824175598.9333334,2681802.408333333,2705924078.9333334,2824779886.9333334,-0.1770757039388021
7,-4.7951505025227865,1.9838455200195313,297.5051549275716,300.2007298787435,0.0002458547552426656,0.03938570022583008,0.0592557430267334,0.024039014180501302,-6.430830884103974e-07,-2.267692858974139e-07,369.0580729166667,-0.25711263020833336,0.0010451744000116983,-6.194530675808588e-05,72.64427083333334,286.26536458333334,580429.2383626302,2702261956.266667,2820012313.6,2678207.7916666665,2702260206.9333334,2820592622.9333334,-0.17751312255859375
8,-4.44382807413737,1.7033663431803385,297.4984619140625,300.07048848470055,0.0002519937853018443,0.04774262110392253,0.0638952891031901,0.04003149668375651,-9.959330782294273e-07,-3.5228052486975987e-07,453.4067708333333,-0.4412434895833333,-1.0577837626139323e-05,-9.98426228761673e-05,-314.5026041666667,-109.10755208333333,562077.5837890625,2699986141.866667,2817357934.9333334,2675983.183333333,2699985134.9333334,2817920059.733333,-0.26140950520833334
9,-4.521185811360677,1.6036542256673176,297.43741302490236,300.09524993896486,0.0002840987096230189,0.048427549997965495,0.060991096496582034,0.033992067972819014,-1.247964488963286e-06,-6.014403576652209e-07,565.2625,-0.20709635416666666,-0.00078412393728892,-0.0001320920263727506,-661.7080729166667,-425.46901041666666,564023.1099039713,2702809207.4666667,2820045090.133333,2678806.55,2702808712.5333333,2820608520.5333333,-0.47705256144205727
10,-4.392439778645834,2.0171002705891925,297.4147252400716,300.350857035319,0.00021181249370177586,0.04859259128570557,0.047887357076009114,0.024192619323730468,-1.0633065054814021e-06,-4.77077749868234e-07,415.88567708333335,0.014168294270833333,-0.0002523889144261678,-9.406991302967072e-05,-390.97083333333336,-210.37369791666666,593637.0610188802,2704142250.6666665,2821733350.4,2680100.158333333,2704141960.5333333,2822326562.133333,-0.3683733622233073
11,-4.184474690755208,2.140575917561849,297.3906677246094,300.5660919189453,0.0001772012561559677,0.051392308870951336,0.04720942179361979,0.020959854125976562,-1.0222312994301319e-06,-3.185433646043142e-07,566.5411458333333,0.850537109375,0.0014027764399846395,-8.780180166165033e-05,22.606510416666666,370.04296875,572948.9760416667,2703226606.9333334,2821362807.4666667,2679130.5,2703226154.6666665,2821935872.0,-0.3323773701985677
12,-3.8689702351888022,2.022912089029948,297.4114323933919,300.6423060099284,0.0001838066925605138,0.045230674743652347,0.04646031061808268,0.015135892232259114,-8.217485932012399e-07,-1.8227923040588697e-07,285.33177083333334,1.2001546223958333,0.00022922058900197347,-7.358100265264511e-05,-164.22291666666666,-63.6375,549207.1068929037,2702849476.266667,2820814054.4,2678765.2916666665,2702849237.3333335,2821362688.0,-0.37874526977539064
