,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,shear_850_200,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,2.781888664079209e-06,5.379552021622658e-07,8.167093619704247e-06,3.4734082873910664e-06,-7.207971066236496e-07,-5.126581527292728e-07,-3.4276900502542657e-06,-6.727874279022217e-07,-2.2457757343848545e-06,-3.045797348022461e-06,-2.6936720435818037e-06,-1.7294349769751231e-06,-2.035809059937795e-06
1,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,4.213614738546312e-06,-1.4035962522029876e-06,8.316943421959877e-06,5.507275151709715e-06,-1.3300140077869098e-06,-1.901636521021525e-06,-4.181987605988979e-06,-1.367480338861545e-06,-9.490021814902624e-07,-1.3803442319234213e-06,-1.8089311197400094e-06,-1.5294722591837248e-06,-1.2941115225354831e-06
2,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,12.894532820892831,3.510305153516432e-06,-4.0976873909433685e-06,7.876818805622558e-06,4.843459464609623e-06,-2.3948649565378825e-06,-2.9986646647254625e-06,-3.7699433354039986e-06,-6.623604955772559e-07,6.236446400483449e-07,-5.680291603008906e-07,-8.787882203857104e-07,-2.6526395231485366e-07,-3.222376108169556e-08
3,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,5.212709462891023e-06,-3.4687536147733527e-06,5.319931854804357e-06,2.362051357825597e-06,-2.053934925546249e-06,-2.5005079805850984e-06,-3.6510600087543327e-06,-9.118036056558291e-08,1.1537262859443823e-06,2.566569795211156e-07,2.1808470288912454e-07,1.0057430093487103e-06,7.23020639270544e-07
4,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,-8.961001488690575e-07,-4.1165583146115145e-06,6.9049730276068056e-06,1.1214210341374078e-06,-1.9375157232085866e-06,-4.213671976079543e-06,-2.561823930591345e-06,-5.66733069717884e-07,1.0639584312836329e-07,-2.2179447114467621e-07,-3.614230081439018e-07,-4.276089991132418e-07,-3.7375915174682934e-07
5,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,11.350758709344275,-4.015546680117647e-06,-3.926161055763563e-06,7.337774150073528e-06,2.068654672863583e-06,-1.8833554349839687e-06,-4.958491384362181e-06,-2.382330906887849e-06,-4.443456418812275e-07,6.211611131827037e-07,-1.0933571805556615e-06,-2.333894371986389e-07,6.080527479449908e-07,-7.58333286891381e-07
6,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,-2.3785745725035667e-06,-3.4564950813849766e-06,6.7253519470493e-06,2.519933817287286e-06,-1.4659056129554907e-06,-3.052658090988795e-06,1.2467343670626482e-06,1.2385309673845768e-06,1.165197075655063e-06,-1.6011840974291167e-06,-1.417465197543303e-06,-5.923211574554443e-07,-1.7852367212375006e-06
7,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,-2.2756362644334633e-06,-2.623516290138165e-06,5.421748695274194e-06,2.934178337454796e-06,-2.7708010748028754e-07,-1.5224912203848362e-06,2.2792257368564607e-06,1.0684171381096045e-06,2.0177879681189855e-07,-2.063663365940253e-06,-2.673237274090449e-06,-2.9312912374734877e-06,-2.7467884744207065e-06
8,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,-6.101372612950703e-06,-9.911212449272473e-07,6.205689472456773e-06,2.933650587995847e-06,-2.2093881852924823e-07,1.6530975699424744e-07,2.498389221727848e-07,1.6129342839121819e-07,-1.7688532049457233e-07,-2.0979127536217373e-06,-3.144183817009131e-06,-3.994298943628868e-06,-4.166283179074526e-06
9,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,-7.811987112897137e-06,3.477946544686953e-07,6.320117972791195e-06,3.9119506254792215e-06,1.2974953278899192e-06,1.7214566469192506e-06,1.0074387925366561e-06,4.83038214345773e-07,-7.863971404731274e-07,-3.3426952237884203e-06,-4.381244070827961e-06,-5.190237425267697e-06,-5.011726170778275e-06
10,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,14.885185880733964,-6.332553069417675e-06,3.5595653268198173e-06,6.618203284839789e-06,5.93534205108881e-06,2.8863694448470293e-06,1.9838102161884307e-06,3.0989758670330046e-08,5.802178444961707e-07,-2.031835416952769e-06,-3.723509144037962e-06,-4.110687101880709e-06,-4.4103479012846945e-06,-3.498342509071032e-06
11,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,14.056375473357427,-3.21916692579786e-06,7.143616676330566e-06,8.234862859050433e-06,6.027818502237399e-06,2.4742019983629386e-06,1.0835084443291028e-06,-1.8226720082263152e-06,5.418357128898302e-07,-2.8244762991865475e-06,-4.377441170314948e-06,-4.4977835689981776e-06,-4.925671964883804e-06,-3.1997449696063994e-06
12,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,13.20343764340505,-1.7856461151192586e-06,9.053053023914496e-06,9.898437807957331e-06,4.732026718556881e-06,1.377441609899203e-06,-5.016336217522621e-07,-1.4421879313886165e-06,1.551040137807528e-08,-4.347374973197778e-06,-4.5219087041914465e-06,-3.884561980764071e-06,-3.30926850438118e-06,-2.2612124060591063e-06
