,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt800,eqt850,eqt925
0,347.32130791335135,352.549975425928,351.9223099115299,350.56091604189356,346.95865536015106,344.0089756585277,339.4790866807057,341.35003150773963,344.4257865660552,344.8143526652943,345.4153248117725
1,347.5894002085068,352.8985488766779,352.11833279056697,350.5189144261907,347.2148296725185,344.84415022835844,339.6589355690793,341.2661290227779,344.5784879745765,345.0385341024361,345.90832632918267
2,347.32284691404357,352.87382225325047,351.9574261461472,350.5164754739951,347.6324869714433,345.36062979713347,339.88084209092455,340.6401819804423,344.3695784463956,345.0280655321952,345.8960894092246
3,347.9697774321846,352.44408377269576,351.72780804239744,350.6229163755951,348.15937928942884,345.7123934666427,340.0727967970689,339.6797590442837,343.4758256349538,344.58393774674573,346.2698123764503
4,348.11749907646,353.29500297003534,352.3948321979317,351.79381195750614,349.82883799401026,347.42390015837304,340.71177502693405,340.2122713336138,343.8166020629325,344.443262179258,346.43445081793516
5,347.86858530060323,353.9937911724705,352.97788548861195,352.5282804212638,350.1620240230919,348.1731562587629,340.61995090655967,340.46036604984744,344.0582942465111,345.1079189614227,346.65940174759135
6,347.89151787616686,354.54374459969347,353.6080517525787,353.08850293020873,350.3097711585143,348.2241515586302,341.20000534433666,340.44181292451145,344.2967288357361,345.53233614957594,346.949920922666
7,347.90217441371607,354.12052400108973,353.7911631007705,353.37832898132876,350.3484136749802,348.5480249317334,341.1869501564781,340.76055593711965,343.8777063093293,345.21569752481406,346.99866005253097
8,348.50002628497725,354.2083780426894,354.13633587837955,353.7912214406373,351.1307406598861,349.8298302747568,342.0000901990753,341.54627672689617,345.1339962898587,346.5094021601985,347.9663050376907
9,348.8002787347084,353.92128047118274,353.78948610718714,353.42509195336055,351.26955767884397,349.65645264428633,342.7913585722695,341.8803898602175,344.93058338504693,346.4682080178818,347.9199979375757
10,349.2667090479093,353.4659778699069,353.4343765693055,353.34350578642056,350.6720882569377,348.8721753332219,343.5233295283575,342.09826645642556,345.0542441003838,346.6457975598514,347.9472104697171
11,349.3754910147411,353.44158917938387,352.94503045811206,352.81856788792356,350.973732244585,348.71857736076487,343.6767468060775,342.4014374222277,344.932833721969,346.56340118432786,348.01359873751926
12,349.4765280594993,354.63688018004916,353.79042099784897,353.3931666160239,351.76536481279385,350.1948627826391,345.03008125750983,344.0724316052351,345.99089426567696,347.41605095223,349.2195296278669
13,350.34429653123,354.8793303047929,354.12652821396944,354.02883295329025,352.56820584129156,350.9096130480381,345.2475473965866,344.7482037279144,346.153741306503,347.4872167138549,349.0393932285981
14,351.0919375243151,355.71969149921733,354.9596385156795,354.4553443173336,352.79185054687264,351.02697734982763,344.8690480555159,345.0896736714513,346.4364485987263,347.449215081459,349.22872828934817
15,351.49168610437147,356.1092506605331,354.8827517268942,354.30669464863576,352.57647054976405,350.90016012071766,344.98406962615354,344.91107794929803,347.03228915387933,348.08551277202866,349.3770895729891
16,351.7923357735094,356.7740057923994,355.3441762603075,354.4756839085399,352.8111607500458,350.9941147794104,345.48537059769046,346.4983543493559,349.78424666688295,350.35161987875307,350.8756148337526
17,352.3148727001347,356.91215757705186,355.92526646408305,355.03040352339815,353.3225933211492,351.04844346214827,345.22858254935136,346.62164723092417,349.39881317991563,350.25931558714007,351.4385653783402
18,352.6336896908865,357.29786750645167,356.31016165090415,355.2176451026413,353.43160547948423,351.61008526148066,345.6200055926911,346.36074589828985,349.13211538837135,350.13238142286343,351.26183695445695
19,352.4546753238625,357.37394366563467,356.3900646916083,355.4830423752628,353.7166947766798,351.6796661496343,345.71046704856536,345.97517686166066,349.05590722911035,349.93573947487323,351.06407165150665
20,352.5941832535833,358.1719595278045,357.1712782755309,355.8235921012709,352.92418308721216,351.3114003786924,345.67361449396964,347.448142153721,350.23078690337104,351.02109072623597,351.5062005846135
21,353.1928723652078,359.3813236766069,357.6029077426698,356.43316962342897,353.41339759478876,351.9189491286471,345.5074798637606,347.0669648890325,349.90505100502435,351.04289356380434,351.82821372027837
22,353.37864961176047,359.18983141108004,357.5662408222328,356.68408874208683,355.0976376394276,352.8754554227347,346.2345554127246,346.9248368184889,349.6706444720314,350.80184691067143,351.6542240034535
23,353.4138111090376,358.50967805322443,357.717582706635,357.47958301838264,355.4299174667909,352.3275464910162,346.14146248088605,347.07490803837777,349.4965717187166,350.68484904648227,351.5362548114855
24,353.6730397948976,358.7706971826699,358.3258035172252,357.9156434182117,355.185700696719,352.3676632969539,347.7098561798158,348.58112414987454,350.9499642383164,352.15196961279526,352.20369454640945
25,354.6375584320648,359.06347813390005,358.5992303051229,357.82515354909873,355.3152173599402,352.6200238083645,347.9106026901561,348.3791101344368,350.95736973954786,352.10996593029813,352.40148537115584
26,354.62986810247963,359.2090381904459,358.44669861157314,357.89927558345414,355.81290514777703,352.82924340715124,347.5912187787842,348.312778529125,350.9363978806276,351.8973107365347,352.19789565255536
27,355.0532927364781,359.29443719082934,358.6200362669613,357.7897519429484,355.95996360181886,353.0983377579341,347.80439504705606,348.83093894972933,351.1022223504535,351.90207534412207,352.26893293016985
28,354.95666876195423,360.51367937997554,359.12988453867644,358.03265722920014,356.7090623902561,353.19065033032007,349.167847832915,351.1210998291749,352.3106212748879,353.1257214002276,353.29343301821723
29,356.2891127130992,361.3613996107198,360.18480981520537,359.0553538598922,357.116762480233,353.6789945883967,349.2652418651229,351.332703643234,352.58207731961846,353.3103540990872,353.57559249057726
30,356.61261231646074,362.2263515989587,360.6769889354928,359.12291880540954,357.46316287808554,353.9614381078203,348.8404809494365,351.48732206549226,353.0199715520712,353.59687859347616,353.9774747146891
31,357.23362823978664,362.3246511651109,360.4035674228718,359.18491912705684,357.8653247332893,353.8990796486879,348.89644550903137,350.81020687602097,353.1525799806513,353.66384072034725,354.18638043876444
