,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt800,eqt850,eqt925
0,344.8505413100137,350.2758986823245,348.92446992152077,346.53750358609733,342.9083300708435,339.85776961937347,335.5646660621341,337.1418964269702,340.9037870294393,342.0551158647729,344.093156163209
1,345.15026185553415,350.2591980984049,349.1201845518719,346.49736758961706,343.3243167824136,340.47027478131224,336.07713442294994,336.818083278848,340.60835554709,341.8231003168588,344.1965215455929
2,344.7576353113451,350.8908467165177,350.0714452633756,347.6186314692326,343.56774209342313,340.0588576880806,335.0931041149404,337.4422348632446,342.0954697664011,343.1796962535416,344.8929901708622
3,345.10390047674196,351.8615421727784,350.93079919748607,348.03068110358674,343.9878492848627,340.7366699228262,335.80377166839105,336.1882483770198,341.3174563126529,342.98113504219566,344.8538809631002
4,345.94949714516144,351.98038562730653,350.2161192634363,347.72804695989475,344.1168579704532,341.061586296669,336.94342376672756,335.28177073240886,341.2087304300152,343.09800215793325,344.98834529870646
5,346.3922088059225,350.9345568082971,349.32231946703206,347.3612617727874,344.1477736824039,340.90276977835634,337.54332276990976,335.431203065469,341.0681635801226,342.9685109127063,345.19374884886645
6,345.38047532597255,350.9818703613781,349.4150317539465,347.45788226712654,344.5272055651642,342.175802771815,338.9126026274965,337.8796013391345,341.7797048547949,343.24369660481705,345.1112684781164
7,345.16543718515766,351.79395141241685,349.9526678577374,347.9245491655162,345.17476458477785,342.9966558942432,337.7413573255092,337.22535937013026,341.1337685225859,342.70267327573754,344.8014349476086
8,345.31053714852,351.52430072732966,349.95495892058335,347.92805526737175,345.48513219750464,343.2294713780036,337.16182539526665,336.18956201789837,340.53430485380613,342.04718368920686,344.33796752552473
9,345.457210063693,351.0583623368789,349.51746218120326,347.6528170703456,345.09996219756783,343.14768782200275,337.2491300497581,335.8160221086671,339.2637143300459,341.740775168745,344.5610621732118
10,345.1992174216121,351.0303993045005,349.4349792064832,348.59482053085907,345.2981402089717,343.3614566048973,337.78356402250364,336.2300391116312,339.998761709871,342.2786649831103,344.61356770754503
11,345.8788939636698,351.2981373725447,350.6169753939162,348.8573305623949,345.43083795482977,344.0430250794364,338.02449066466704,336.7766934279242,340.35627509757495,342.2061789130695,344.83546516088074
12,346.40751650707256,351.9744048119621,350.95836050434957,348.7632004224247,345.38524532673875,344.02074253256023,337.91016488035876,336.68355076548016,340.0620900263011,342.23704763329033,345.0526648894987
13,346.7674476928799,351.5164168860223,350.2125122686132,348.39507955748263,345.4825916614295,343.90973113812726,338.1993652214942,336.19862376773494,338.5574553734331,341.17727525612315,344.9440232135977
14,346.54064317947825,351.4660055419797,350.33178461783837,348.5079444360149,345.4561245601728,344.18690107271703,338.96080345682526,338.1770251488713,340.1715163516539,340.6426165257383,344.33584091014444
15,346.7330006319823,351.5000576966647,350.2523483856753,348.68750843867093,345.5943375619423,343.53714406529417,338.68427571549455,338.05111672613015,340.5255472458173,341.8391606791217,344.56647976895397
16,347.50836063191866,351.52048250377294,350.5166295987674,349.1019577787723,345.08090627618986,342.8270277644272,338.4478320355438,337.6397175669001,340.27905033177063,342.1784595929768,345.44065306041
17,347.36831853895796,351.7291382624814,350.8201943003369,349.0609668687781,344.83456342543957,342.40345380979556,338.48292597595287,337.5087950051998,341.51202725978294,343.0502762968753,345.8917445294869
18,347.6771322523962,353.4119006595202,352.2234691090355,349.94132353913966,345.7796433387363,342.8943835759969,338.00252369117743,338.1753577892853,341.8443564366696,343.0838813281495,345.385807453601
19,347.88335114126903,354.28934075909217,352.95923761130996,350.80331663026726,346.6446477943299,344.30503589272774,337.9606754386523,338.30470544500577,342.0337967996203,343.4703174539808,345.6724193456494
20,347.9025613275586,354.2424713785872,353.18940375508134,351.38475008685873,347.46700592556806,345.3534668332903,338.08719537808247,338.2710828825609,342.4408338412579,343.93430463713145,345.78577597992705
21,348.631428549887,353.4697244580972,352.48801502703657,351.28962197020377,347.89883180319384,345.8049798093607,338.3674513511266,338.0578387526174,342.5656951116606,344.0761879096916,346.1482471533785
22,349.09007645198676,353.9375779783279,352.8358446208698,350.7170618016453,347.5839485473024,345.6158262339544,338.61833070590376,339.4651022638356,343.81432598175047,345.2886783532831,347.22367644612905
23,349.57379489844396,353.92247199852545,352.8556175708027,351.38644230463285,347.6928090546254,345.2162484416358,338.6576594394302,338.62584201054443,343.2437535866788,345.11553158516836,347.526262993853
24,349.3777568792607,353.9838232298806,352.94879075269466,351.99725730364884,348.13963608140193,345.241685870789,338.43044399205644,337.7065813384178,342.7947804932247,345.0023771010826,347.3998728491995
25,349.6626264163542,354.36943166699143,353.598853627672,352.27162779484433,348.58918437875093,345.33580968295416,338.6582848817176,337.36765805534054,342.444619434652,345.04958549219515,347.6581444467714
26,350.7170134045467,355.76125250088523,354.6468702072957,353.379212867624,349.38062591001034,345.9227873095579,338.9032666925087,338.8142786668005,343.70499046994337,346.77818822375025,350.0794566976052
27,351.3529813578514,356.8356039493649,355.44903519519164,354.3317297658141,350.4531372194915,346.4283121733661,339.422169654658,338.0816189022987,342.2078628653295,345.87185644638697,350.1255324525964
28,351.421970685524,356.3378402869215,355.88072622414205,355.18919183061246,350.91701311949237,347.65031761410035,340.43929433564506,338.5881634396791,342.05036657944333,345.5751829038887,349.295429847953
