,mslp
0,100677.8125
1,100816.9375
2,100910.9375
3,100872.5625
4,100773.125
5,100896.9375
6,100973.75
7,100842.375
8,100747.0625
9,100821.9375
10,100902.3125
11,100874.75
12,100771.1875
13,100848.125
14,100928.5
15,100847.0
16,100705.25
17,100707.6875
18,100802.0
19,100739.0625
20,100566.4375
21,100582.6875
22,100733.8125
23,100644.1875
24,100423.875
25,100394.9375
26,100525.5
27,100441.75
28,100221.1875
29,100267.125
30,100742.6875
31,100668.875
32,100385.875
33,100488.375
34,100627.4375
35,100480.75
36,100263.125
37,100218.3125
38,100531.0625
39,100499.8125
40,100294.0
41,100297.1875
42,100501.875
43,100518.5625
44,100387.375
45,100360.125
46,100631.5
47,100741.375
48,100498.75
49,100491.3125
50,100722.0
51,100893.3125
52,100808.4375
53,100826.1875
54,101089.5625
55,101216.5
56,100968.5625
57,100822.875
58,101013.75
59,101168.375
60,101116.25
61,101080.875
62,101194.0625
