,outeqt1000,outeqt200,outeqt250,outeqt300,outeqt400,outeqt500,outeqt600,outeqt700,outeqt800,outeqt850,outeqt925
0,345.4491243155069,348.9806719002209,347.15980887951906,345.7395870619725,342.1454129017864,338.4726637600941,334.4206632211696,333.8741697162612,335.73975099752397,337.0431033681464,341.0724485858214
1,345.2858262046577,349.139218983064,347.0712923376012,345.6376880814099,341.73568091247836,338.2991027558267,334.07502762166257,333.4380174970812,335.60886541551895,337.0309199670958,340.7714477568936
2,344.9052580663849,349.9843334122066,347.7521656362427,346.01537353820055,341.81092021607947,338.07626791329517,334.06725491668965,333.5122305074532,335.60023196633597,336.59706664005023,340.43281437097295
3,345.2504130709123,350.37810022747993,348.2787162896417,346.38526664545896,341.8392653861898,338.1554839669551,333.837417204197,333.23581455520457,335.59813967531704,336.85617133988666,340.98006871945176
4,345.45037871652795,350.6620704484577,348.5859847929081,346.5542626466052,341.7557911499784,338.20494689565595,333.522556396859,332.7981238927425,335.61214065722805,337.09879467092713,341.4806465966063
5,345.3401497024423,350.37370994612843,348.42151925545465,346.3222009699867,341.52320395120125,337.6648152406532,332.9385960726841,332.22160262563887,335.422498102881,337.1818244453992,341.5225213544039
6,344.84058925169336,350.00300462634084,348.13890417077295,346.0559393136061,341.40265806021426,337.391797409957,332.8024993076417,332.48795320299746,335.0280987868126,336.2439473796174,340.371459960986
7,344.81328188121364,349.62251668143074,347.722495035385,345.7606594406612,341.0060357293552,337.01827926866605,332.5814287799533,332.2655495862372,334.7142356274208,336.3312907853206,340.3143434732231
8,344.8480370148096,349.50669063568904,347.44742690865746,345.5147427152979,340.59675617956515,336.8442060890966,332.6988024228787,332.26996109724325,334.7105614486684,336.38489368263674,340.2660581514466
9,344.8475808929031,349.4797814813423,347.19123725091674,345.2632871403265,340.38208093833833,336.53397938551757,332.4896984425149,332.2053553629259,334.839688006374,336.5481027935533,340.30373275124526
10,344.4847384449245,349.8758578158766,347.32899180399073,345.29966942356117,340.23953302803216,336.49794972643724,332.60233267404124,332.2085119640757,334.21225982397954,335.5606372867876,339.52496388731134
11,344.9036067918407,350.15552463864805,347.5028222907852,345.28521013220586,340.4429463945224,336.6244698787745,332.74483124630143,332.4732276799355,334.5152366953542,335.9968683422076,340.09479666185166
12,345.1805438711294,350.56096247530127,347.72648961546827,345.2138547864505,340.3581808968581,336.5919735725881,332.92924294819215,332.82295644424846,335.0648537406904,336.6413894552412,340.4602921294029
13,345.13090438530963,350.61902268086436,347.73452298417055,345.04956235665884,340.258183745936,336.53815164477663,332.84377539426515,332.89587941398094,335.3123884631926,336.8643154257581,340.4656966460135
14,344.14421858076315,350.49741997968744,347.76692351380194,344.8478630315939,340.0559201527047,336.7692894286975,333.5567065704382,333.47411295316283,334.87573771523915,335.8810661313759,339.38288709368754
15,343.7793537453994,350.3354686795978,347.52766598236786,344.5761956946518,339.7737197017878,336.52398421119324,333.3534278836453,332.9823125104836,334.78340883803656,335.6400764211914,339.1374414705129
16,343.61131431679047,350.1597204906022,347.5346717976613,344.59527099698977,339.6542865629122,336.31417938887415,333.31865439024034,332.73514884469586,334.74225305430895,335.65736227979806,339.00203300962767
