,mn_mslp,conv_rrate,ls_rrate,mn_conv_prate,mn_ls_prate,mn_tot_prate,sst
0,100301.712890625,0.0004774518311023712,5.140434950590134e-05,0.000539539149031043,5.62518835067749e-05,0.0005957754328846931,302.52829360961914
1,100218.7802734375,0.0004981341771781445,0.00015151873230934143,0.0004288919735699892,0.00016077514737844467,0.0005896575748920441,302.4908706872172
2,100351.892578125,0.0004335874691605568,0.00017795711755752563,0.00039504561573266983,0.0001900782808661461,0.0005851322785019875,302.50586575776146
3,100322.2421875,0.0002623731270432472,0.0003814995288848877,0.0002638092264533043,0.00034758634865283966,0.0006113979034125805,302.4784380173841
4,100092.1005859375,0.0002739531919360161,0.00027448171749711037,0.00024212710559368134,0.00028889812529087067,0.0005310336127877235,302.49734753024194
5,100054.00390625,0.0002099708653986454,0.0004556654021143913,0.0002642790786921978,0.0004322817549109459,0.0006965533830225468,302.54099473596256
6,100126.0234375,0.00024123815819621086,0.0003399048000574112,0.0002388814464211464,0.00036869198083877563,0.0006075762212276459,302.5179499354931
7,100080.25,0.00028045615181326866,0.00030777230858802795,0.0002563740126788616,0.00035251863300800323,0.0006088940426707268,302.4525219434761
8,99806.0009765625,0.0002803308889269829,0.0002809520810842514,0.00031724758446216583,0.0002929479815065861,0.0006101932376623154,302.4451026916504
9,99683.3857421875,0.00035925349220633507,0.0003044228069484234,0.0003906900528818369,0.00030821189284324646,0.0006989003159105778,302.37495040893555
10,99740.0078125,0.00018809083849191666,0.00038937153294682503,0.00022127758711576462,0.00038143713027238846,0.0006027114577591419,302.2545051574707
11,99672.9765625,0.0002604830078780651,0.0003204573877155781,0.0002607672940939665,0.0003228699788451195,0.0005836253985762596,302.2206840515137
12,99432.8076171875,0.00028454186394810677,0.0003475835546851158,0.0003411958459764719,0.00034291157498955727,0.000684123020619154,302.1950492858887
13,99344.55859375,0.00035889772698283195,0.00034244125708937645,0.00035514868795871735,0.00035892799496650696,0.0007140780799090862,302.21712493896484
14,99376.935546875,0.0003036116249859333,0.000426421407610178,0.000315121840685606,0.00039138179272413254,0.0007065078243613243,302.2173728942871
