,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt800,eqt850,eqt925
0,350.329093658596,353.73743460956393,352.5066665998735,351.3941050103337,346.7468935921785,341.725621735779,337.9667882957863,338.8984637665606,342.2449251788147,344.6463261779485,347.16224049380565
1,349.8467997268765,353.43859565824766,352.1791628678866,350.949633673669,346.76306517263674,342.31078518373226,338.24123951823384,338.9652638740565,342.0118243613409,344.2708215141731,347.3442858738207
2,350.49922704266623,353.6106545656373,352.0148750739338,350.6883915014535,346.7064658938305,342.625045366826,338.031771701778,338.44194929281605,341.24384366283687,343.466326385034,347.115842305074
3,350.889915543135,353.58632476394706,351.69262330416734,350.3176497402464,346.6734213667291,342.8066887592633,338.0999267600242,337.8904611173598,340.84571577122847,343.0166954785529,346.92156643617477
4,349.2014654385199,353.69247162111026,351.6578138414459,350.0990966998235,346.5104519723177,343.3282727419945,338.7875055426812,338.908044738227,342.17869589616873,343.6260459532463,347.32376746762617
5,348.86905025989324,354.2949605448884,352.05660181823475,350.61891221284856,346.5966217702112,343.59849312269426,338.1182111688771,338.39159149397483,342.32035833516636,343.81927252050366,347.6856869278963
6,348.911394392234,354.7492819223326,352.27568832120335,350.78242035241493,346.99566232939355,343.6448657969699,337.7921720288729,338.15366557040267,342.5121994879472,343.960745584724,347.6320888593384
7,350.0681194585028,354.6825445735341,352.3042088153567,350.50017179349925,347.1916289045756,343.31935559663356,337.63754566710816,338.42168802820333,342.16812681452757,343.920388339817,346.9891587711937
8,350.16039180308474,354.06356931608855,352.39247124387776,350.5054864750419,347.47914505082156,344.778239767234,339.43795798647636,340.39042962593027,343.07879554369816,344.33502626080417,347.25856597422717
9,349.8572691092074,354.09858719024857,352.14504417078564,350.1540593048238,347.232624293501,344.49075185125946,339.3782588532807,340.07893810886344,342.722586756471,343.9537636209428,347.09200442958286
10,349.27677664725445,353.8201553123296,352.0800499315035,349.90495223398887,347.26972499736405,344.24243818969694,339.3884773443251,340.18754604972384,342.4554644090043,343.69678565027505,347.1069402856889
11,348.1951227650732,353.4035931509681,351.55047560765263,349.527427753391,347.27165168254726,344.11651733603753,339.56654505375025,340.0499406565671,342.2918234689447,343.4444731623668,347.14629963470475
12,347.8726109442115,353.10999735276584,350.9640891530081,349.14399404118524,347.0191797917536,343.45978832098166,339.92333458673613,341.34351331310086,343.8210904149645,344.6934254008616,346.9533647085792
13,347.5048852397165,353.60011737398986,351.13437032865113,349.58847922630036,346.2679178138064,343.480114996274,340.15994434982963,341.1316295602334,343.64280379059517,344.45080359157106,346.7368007988785
14,348.0193337626197,354.26519907858136,351.6104988344814,349.5191156862313,346.6245290225379,344.08695291050697,340.41675962528257,340.3828090229056,343.52536969826895,344.45787279156093,346.7343588649512
15,348.6202028324846,354.2963456323679,351.86369931180127,349.7382419483909,346.3034889014325,344.6519295300383,340.4751426807231,340.24131610148515,342.8154019136823,344.30522031544444,346.71191285907776
16,348.7833206436827,353.1486613644893,351.24767371273424,349.2110479266032,345.143051319255,344.40560030914435,341.18600233210043,342.00379658608273,342.2314933142537,342.9503515866976,345.20269513895727
17,349.0776723467412,352.646857390647,350.9117963461339,348.76477717377395,344.26254585748075,343.97381323559244,341.3586464014314,341.66453906235176,342.46972583461707,343.08702413891467,345.30790379394676
18,348.75464641054236,352.83414357128396,350.4002693534097,348.09439318654813,344.5911242968515,343.79730059007983,341.0714624867476,341.61799825037457,342.6779594060366,343.51315679262143,346.0360735553505
19,348.40458874524614,352.7388028824505,350.4920125496976,348.80691314228545,345.1068584679423,343.61820589165893,340.7115780956926,341.50445648841674,343.04000900375837,343.70246592590615,346.87247395883696
20,347.82082356617,353.9505140815931,351.43287627053485,349.3281722030774,344.8098735584939,341.98817238719647,339.75415301967496,341.3084679170131,344.1719374869324,344.59288999031907,346.9936734822836
21,347.97711327151114,355.0403340808492,351.56815290266024,348.88888023845203,344.07123372772685,342.0167253711915,339.85460278392645,340.5824367213173,343.89750188231386,344.6781826357637,346.9188269765293
22,348.2131972429463,355.20522821870975,351.86828586649494,348.97056798945806,344.22457152935283,342.4865722626185,339.8316624407652,340.67619132888495,343.53167071548785,344.7219549428663,347.1308723407096
23,348.5653755058953,354.6832939135959,351.96245114903894,349.20145271285344,344.22379495055105,342.8720798909642,340.1096051508375,341.0146581437259,343.7209752425997,344.61191297019553,347.1945119591745
24,348.86503150821494,354.26527154397263,351.7571344506242,349.43023784099154,343.70836456236304,342.01234067178433,340.6737875629464,342.75383162747676,344.3953461580607,344.404622807093,346.4322021163315
25,348.8897362272361,354.2042031354231,351.9541465953391,349.6226034904133,343.86544272232896,341.7131985842798,340.63130260484445,342.3863521744436,343.91800781288714,344.12260864713613,346.52479644894476
26,348.3913379588454,354.2905009165576,351.7548387471538,349.3168158505368,343.3828079599032,340.9777000463545,340.3996841784618,341.81580599036727,343.38625666660295,343.94387082577737,346.4086544070901
27,348.06789322636496,353.90939124056734,351.77371040544244,349.7041464213911,343.64009225225857,341.05309876667377,339.7572885929734,341.64774791559034,343.59764130305626,344.3031049925015,346.36755408888195
28,347.83826515207073,354.18810501123073,352.1071185165447,349.90775725376307,343.5519482298769,340.13549178079336,339.32668913382065,342.46918820835447,344.8721371134846,345.30370791589667,346.7278615031557
29,347.9619297268181,354.4793243673,352.58786636559535,350.1803275089731,343.63759730611775,340.19838916763547,339.8162904071602,342.07080842124174,344.8112526368013,345.3445866128763,346.67400396650834
30,348.4435036808288,354.6193081828843,353.2382058005761,350.640036082792,343.8829176993414,340.0499240323846,339.8579341965657,341.8434749363247,344.5758252136439,345.21725169912617,346.8802528829269
31,348.61732334105886,354.7419793199519,353.4465605289408,351.17986765607213,345.075312958632,340.80360916712914,339.67902555357426,341.3080746922899,344.30705013904986,345.2962468335652,346.9590114768381
32,348.46220421373596,354.28629188796856,352.8947651734212,351.0694912315178,344.8373882435971,340.3758778982981,339.6202193153674,341.3333287225031,344.74246229249576,345.9967393483355,346.38907857533366
33,348.63071597567983,353.6365360851855,352.643898884,351.41575017267405,345.333445246181,341.0702984152171,339.5870079213293,340.85493078763784,344.20249010798324,345.4774991775647,346.29911127401397
34,348.59175647320484,353.5470877090471,352.567567560708,351.2795994862694,345.29810917451505,341.31075414944723,339.1443127416855,340.46552954794845,344.3426683318314,345.3656169387575,346.167877098371
35,348.8363656941475,353.3843319772383,352.25825670284166,350.80214126060184,345.39056546492685,341.318640139775,338.55106095307633,340.53253989380335,344.5467011051295,345.2168826256122,345.84857830124474
