,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt800,eqt850,eqt925
0,347.8817201276158,352.8011272907064,351.35498384891633,350.74207663700713,347.27403639477666,344.79888519892296,339.54255178774645,339.13526959117917,342.9542657798457,344.3503409063454,346.48074320393584
1,348.00294810306417,352.4676131912344,350.97400981019155,350.5228560656858,347.5395622179575,344.71636584451545,340.2468671349269,339.0096719953377,342.49977041397545,343.90791727470156,346.3985725172682
2,347.35019460473563,352.2686034930587,351.1187358512724,350.4769458590188,347.78992969249776,344.8890379856532,340.3387625794393,339.9767526056893,342.5346805218288,343.71343828745046,345.51634345068544
3,347.28020186968826,352.5927545488829,351.08869681914746,350.20987195427983,347.7412198296894,345.3579432956792,340.81293024722873,340.55561365975575,342.3507849865856,343.6244360463469,345.5323892537202
4,347.2798225793334,352.84633157331086,350.8497965045137,349.9493402777879,347.72052314389765,345.9818368311869,340.89680917355906,340.84804666704076,342.5543343505045,343.39849781207107,345.4622682298726
5,347.325732559677,352.9319283727773,350.6825305946723,349.57071952719093,347.46348893792174,345.92207277295483,340.68211008627736,341.11380229660267,342.7487488179479,343.4657479026514,345.60215485747574
6,347.7430763759746,353.1975742170106,351.1976530344531,349.9357904842385,347.8786338084939,346.25180223750715,342.08779536285056,342.6631208909721,344.17599048357977,344.53579915864304,345.73286640003244
7,348.6913489095591,353.30549290030524,351.3961513026443,350.2141318607778,348.21363073680834,346.4758876262353,342.54385516886566,343.0209228337526,344.4789700404497,345.1186126888841,346.4725519161698
8,349.46686811274105,353.51202979969116,351.9809741596355,350.89511056147023,348.3032592091473,346.53865882190325,341.83851542390147,343.1985881300127,344.6434438840172,345.3789721448662,347.1887177775324
9,349.26627378958386,353.73465930824,352.12639682029857,350.88717549574693,348.48522295096234,346.59814332668196,340.9290682749127,342.6100463482908,344.5286693216267,345.2896767293259,347.19935554902037
10,348.7100316387171,353.6385913238346,352.44109384423086,351.38334345488755,349.28871613142314,347.13011575892483,341.5121460210489,344.2089946543718,345.0320837096175,345.4726564442779,347.0467833917117
