,outeqt1000,outeqt200,outeqt250,outeqt300,outeqt400,outeqt500,outeqt600,outeqt700,outeqt800,outeqt850,outeqt925
0,348.33917152150855,350.6360127873153,348.1955849280302,345.59066817085915,340.90920569987196,336.6303572528455,334.96706585909413,334.9322561182618,337.9786800324256,339.27630357727344,343.7852302350988
1,348.6795408593463,350.88513517583436,348.3321644680876,345.71280797953295,340.97217408570367,336.61398185136096,334.8608028587119,334.9169588476913,338.0550487677086,339.5631434474943,344.2709048335146
2,349.03105372464967,351.3634461564418,348.5858056752611,346.00483533412927,341.20808584551156,336.7012353346239,334.6658628762706,334.79992374774855,338.01761720455505,339.70567114125697,344.56562623902016
3,349.34632482151693,351.63615251278026,348.79695945596774,346.22288685624846,341.22571828556414,336.6101904091481,334.4841308013502,334.57433595691145,337.78849553044927,339.65949871708193,344.5818735217547
4,349.26451008962096,351.5050781028594,348.6110959934036,345.93668334392464,340.9435735159606,336.4725128459931,334.4459789980197,334.56955887444224,337.93874199404553,339.82087541155755,344.8213517775184
5,349.2069442275304,351.53194628785724,348.665285206221,345.9636883168851,340.7777847905688,336.43191418723546,334.30230119955166,334.04451684310965,337.3711729439947,339.35317051638015,344.4694174113432
6,349.13405855049035,351.57322068964544,348.6874157108983,346.0453811509274,340.6111166309136,336.32824874525915,334.05874111132164,333.51934256732983,336.7647307382285,339.05171418719294,344.01642825737144
7,348.83918130083873,351.5925190611813,348.7239219585199,346.0770366110964,340.5188501557453,336.25061106973277,333.76024987474534,333.2637041201266,336.35739583295435,338.7226892469008,343.44704884951625
8,347.6395996530428,352.1018077387288,348.90785404583477,346.35775751110634,340.483911566081,336.14937993213067,333.76483310465,333.68207732456165,336.0971254335527,338.1027573372155,342.7268513342226
9,347.8854191672613,352.349790125205,349.0899089703962,346.4939525795984,340.47643287867567,336.0169273699966,333.60042115211996,333.7505556149497,336.1611838085926,338.2459254593528,343.1113661250656
10,348.41540291239073,352.7590430522283,349.43103543729086,346.7252960574928,340.82931227329357,336.226437199234,333.5080351175095,334.036210560531,336.3639921305616,338.428982025878,343.8483538163185
