,mslp
0,100643.625
1,100625.875
2,100397.625
3,100400.625
4,100542.0625
5,100580.4375
6,100425.25
7,100406.0
8,100581.0625
9,100546.0
10,100280.4375
11,100228.25
12,100425.25
13,100509.5625
14,100282.5
15,100159.1875
16,100324.875
17,100318.75
18,100105.3125
19,99940.5625
20,100061.5
21,100075.1875
22,99870.3125
23,99718.75
24,99847.1875
25,99874.6875
26,99594.25
27,99396.875
28,99250.5
29,99311.75
30,99042.5
31,98901.5625
32,98871.1875
33,98921.875
34,98718.125
35,98536.9375
36,98524.0
37,98833.75
38,98784.0625
39,98657.0
40,99068.5625
41,99168.9375
42,99044.0
43,98869.9375
44,99028.625
45,99343.1875
46,99387.5625
47,99411.8125
48,99680.0
49,99807.3125
50,99862.1875
51,99844.375
52,100094.1875
53,100355.6875
54,100398.5
