,outeqt1000,outeqt200,outeqt250,outeqt300,outeqt400,outeqt500,outeqt600,outeqt700,outeqt800,outeqt850,outeqt925
0,349.3482157470551,352.7569154559004,351.9459713944492,350.2345973421888,345.533277195131,342.1014996980011,338.0754852982215,338.25364074743794,340.4858331121506,341.5376662662845,345.136451130634
1,349.32062684140146,352.30558673559534,351.5734079302865,350.12611937295407,345.3608617201532,341.9766719668066,338.35859600704975,338.07182560734344,340.34410509211233,341.6102850774729,345.15582766118797
2,349.59893432941914,353.28279958632027,351.8599982328738,350.30447655247787,345.79913475319256,342.4214904746664,339.07780856628386,339.067934796423,340.5310334994813,341.4269597308766,345.22186061409565
3,350.2009253618546,353.73856938554735,352.2319342725431,350.69474739427426,345.98470408109927,342.65683689524735,339.46876107354086,339.4244175985954,340.73636970771656,341.70332664278914,345.8608628348046
4,350.51880258688124,354.1117378975643,352.5516730141052,350.86425988658937,346.17657677064005,342.8771589545104,339.6627114377296,339.69852029176815,341.0645482114522,342.20348383204964,346.5885102597081
5,350.6030005982819,354.00304703103575,352.2577173037297,350.59196991814423,346.14883240955464,342.7409991728856,339.4134065276852,339.6008846751292,341.2594381314059,342.5595459185444,346.9834206395718
6,349.80127412097073,353.8313349391228,351.9735960244222,350.357044311235,346.0650326347259,342.1537452724305,339.13035629418795,339.2597924612042,340.36639647349676,341.40017437897404,345.55591005629196
7,350.2779929149818,353.4033180389495,351.4751338888329,350.0458407966344,345.711802437515,341.7445723162695,339.15432429772056,339.36499179373016,340.55155983706726,341.4806005646194,345.4533352725332
8,350.5558414820909,353.34166376527696,351.2211445083087,349.8929550474293,345.4911020287518,341.4471009258389,339.0388835230397,339.419583762681,340.7104253509728,341.64425181420955,345.31114102008337
9,350.831404628509,353.5192117698309,351.25134073264456,349.71513100282283,345.3538940607832,341.24957666697486,339.09614790584357,339.50337105205705,341.00590755564275,341.86868427833605,345.54265656115876
10,350.722461918292,354.0993257048256,351.6192830357434,349.79239174090947,345.10702635206303,341.5183556015435,339.5887054330165,340.11701475930903,341.71173056243174,342.35220063481245,345.82456758673567
11,351.3276741069065,354.5585528826451,352.0033949765396,349.95153146334263,345.0809947106336,341.7111106003141,339.92645924491285,340.18535533423824,342.16890341792595,342.92382860338546,346.65939972773145
12,351.86265549632407,354.9358448576011,352.31647036882566,350.0225274607295,345.12597474791215,341.75289410393344,339.9231320289963,340.35777777194824,342.7059077691698,343.47638210740337,347.42828532551835
13,352.09684795755186,355.00478056868826,352.3324338066049,349.84046542444133,345.0375733015502,341.66300786724935,339.58189574644166,340.4531558322971,342.9247096670903,343.78358972611386,347.6671682806095
14,351.42365350593974,355.14488258564126,352.488753316926,350.00943539285424,344.8658804830017,341.99672640157894,339.87709719207703,340.9646798018108,342.69617101961813,343.4198503315194,346.73488132532947
15,351.8127350775736,355.2667327804926,352.53019376970343,349.9488802896418,344.536216434135,341.50853406675594,339.51893067795316,340.70809302451903,342.5994495291712,343.591360251426,346.8019362304689
16,351.9409857286159,355.17660083459606,352.6357172380131,350.00027730678477,344.2599881296563,341.01201167830635,339.16205371424377,340.5991627413184,342.74235258457264,344.0064263199868,347.0666111519336
17,351.8994571707198,355.05296153567673,352.5333659349762,349.9226426281394,344.1612416435325,340.68324827144,338.85584693171535,340.3432433148099,342.5851017779326,344.04007220802436,347.28290573728503
18,352.2923733227677,355.4261771595129,352.7793433223507,350.27281545145536,344.159915730009,340.61721222723554,339.60983838028056,340.2623746085613,342.06329631773053,343.13307654142596,346.8521906003758
19,352.84350939147015,355.8800157836431,353.099292459501,350.53911618804153,344.3835410684479,340.68971151444237,339.590238017384,340.4241858613644,342.4979347962742,343.820008697798,347.67794809800995
20,353.27187404401434,356.43825737643186,353.4920684265389,350.6187646801127,344.6336693283088,340.995776009019,339.69985477135475,340.9038719677974,342.9688851641374,344.6160168622259,348.3702463712216
21,353.59918777385974,356.6261117279343,353.5593588946465,350.5214472408174,344.5946032511941,341.06475489349447,339.78063370629144,341.306046240877,343.41105897703864,344.96448805054996,348.4806264381933
22,352.90762283718595,356.6463343336753,353.57578377990797,350.23518982995614,344.49758916110716,341.3938678793193,340.4668791367016,341.3503147811122,342.9071516083705,344.10550461975043,347.2010196965423
23,352.3650903989523,356.5090427774378,353.6090441318858,350.23030683302255,344.67473510968824,341.50941245313277,340.269474910837,341.28867928420743,342.7532922452723,343.9895931982826,346.74479128132987
24,351.77867314884446,356.20708078268603,353.30489635280753,350.0183690405067,344.5689161247652,341.4263837347983,340.01337505731766,341.1706785856203,342.6997204411695,343.90696192258565,346.4198586761849
25,351.0850344561351,355.86483338403076,352.9665830893155,349.85166865701405,344.42399614101305,341.32408328750046,339.79870345764795,340.90328276784237,342.5055882449776,343.6690809740452,345.9870604154997
26,350.60327718809674,356.2948707443423,353.176811833896,349.84812840787345,344.09673510643415,340.7781310933235,339.87260842082793,341.15140919262615,341.9560650282726,343.0357036856892,345.8470174396438
27,350.72258740540576,356.26488229358654,353.1142496617623,349.6906899725493,343.9065742561419,340.33058113711047,339.55591834933307,341.1526044521959,342.1574061813882,343.2255995873828,346.0917592867184
28,350.8131388488127,356.4913991306581,353.19714291881644,349.6147520020775,343.7351796727511,339.8043629118855,339.27919029107954,341.3669468207435,342.4167897686163,343.3956379923837,346.1510866303976
29,350.7042632151532,356.77030652564986,353.05651484433355,349.4663260533014,343.39954930483384,339.264224144914,338.9904015269695,341.13410820946325,342.27603753488705,343.21076069837665,345.6920537758081
30,349.11878054453274,356.89376421134995,352.89268291410593,348.8473658024057,343.10546696672276,338.69084623133153,338.455349851222,340.3754677981425,341.3090133730617,341.9073205195829,344.10324194488726
