,u10,v10,2mdewtmp,2mtmp,conv_ppt,tot_cld_ice,tot_cldwtr,tot_cld_rain,vi_div_cld_froz_wtr,vi_div_cld_liq_wtr,vi_div_gpot_flux,vi_div_ke_flux,vi_div_mass_flux,vi_div_moisture_flux,vi_div_olr_flux,vi_div_tot_enrgy_flux,vi_ke,vi_pe_inte,vi_pe_ie_latentenrgy,vi_temp,vi_olr,vi_tot_enrgy,vi_moisture_div
43,2.374652862548828,-0.0007781982421875,297.8206253051758,299.7334976196289,0.0007983706891536713,0.2464834451675415,0.3506331443786621,0.7933411598205566,1.834641443565488e-05,6.469083018600941e-06,7559.38671875,-10.1005859375,0.0019615143537521362,-0.0008755531162023544,-4104.26171875,1284.12109375,2082657.25,2658488448.0,2835933440.0,2628988.0,2658488960.0,2838017792.0,-1.3238258361816406
44,2.1849288940429688,-0.8321266174316406,297.61145782470703,299.57430267333984,0.0010794904083013535,0.33227598667144775,0.3181784152984619,0.8162369728088379,1.9164930563420057e-05,4.544388502836227e-06,8298.4921875,-6.648681640625,-0.000510290265083313,-0.0007528532296419144,-5514.2109375,867.54296875,2310002.2053222656,2655504768.0,2828535296.0,2626440.0,2655503744.0,2830845952.0,-1.6052703857421875
45,1.7775611877441406,-2.518444061279297,297.43138885498047,299.52464294433594,0.0006080567836761475,0.2826269865036011,0.2924981117248535,0.6708288192749023,1.2546428479254246e-05,8.728471584618092e-06,5826.89453125,14.698486328125,-0.002398774027824402,-0.0006006434559822083,-4606.40625,-283.140625,2331996.772338867,2657217792.0,2829229440.0,2628228.25,2657215360.0,2831564544.0,-2.361858367919922
46,1.5367355346679688,-2.0779495239257812,297.3633804321289,299.4498519897461,0.0005158679559826851,0.24446511268615723,0.3786497116088867,0.7857851982116699,5.254405550658703e-06,7.737195119261742e-06,4967.94140625,28.806396484375,-0.0016436725854873657,-0.0005396977066993713,-3346.85546875,282.69140625,2443834.500732422,2658577664.0,2825268864.0,2630149.375,2658575872.0,2827710592.0,-2.2567214965820312
47,2.6764793395996094,-0.8658370971679688,296.5935363769531,298.8841781616211,0.0005090879276394844,0.12475025653839111,0.3593095541000366,0.6824140548706055,7.172755431383848e-06,1.585274003446102e-05,3753.73828125,43.54345703125,4.202127456665039e-05,-0.0001525096595287323,-1732.8671875,1716.921875,2580616.28515625,2656811520.0,2818988672.0,2628840.375,2656812032.0,2821569408.0,-1.5013809204101562
48,3.9530563354492188,0.4702262878417969,296.0289001464844,298.5870056152344,0.00031606294214725494,0.12213921546936035,0.3664543628692627,0.8223371505737305,1.4389515854418278e-05,1.5821889974176884e-05,4774.62109375,35.231201171875,-0.0020414143800735474,0.0002132207155227661,-2729.94921875,2628.94140625,2778672.170776367,2653935872.0,2809845376.0,2626578.875,2653933312.0,2812621824.0,-1.3508453369140625
49,4.692253112792969,1.8584709167480469,295.2553405761719,298.2283477783203,0.0003820052370429039,0.09127867221832275,0.3625307083129883,0.8352031707763672,1.6876670997589827e-05,2.1243002265691757e-05,4351.82421875,41.563232421875,-0.003237783908843994,0.0004933793097734451,-2259.875,3336.32421875,3136175.02734375,2652277504.0,2799435008.0,2625782.625,2652274816.0,2802569856.0,0.8508834838867188
50,5.619991302490234,0.7209205627441406,295.0852508544922,298.1195831298828,0.0002706265076994896,0.06450355052947998,0.3920302391052246,1.1049089431762695,9.540352039039135e-06,1.5079975128173828e-05,5896.97265625,96.82958984375,-0.002039864659309387,0.0006608031690120697,-2001.921875,5672.96484375,3980979.0,2650138240.0,2784793472.0,2624865.625,2650140800.0,2788777856.0,1.4888992309570312
51,9.99648666381836,-0.010791778564453125,294.2086639404297,297.6802520751953,0.00016638729721307755,0.030299067497253418,0.23123836517333984,0.6287007331848145,8.341157808899879e-07,1.456262543797493e-05,2245.359375,137.93896484375,-0.00309734046459198,0.0010265950113534927,67.875,5042.26953125,4537628.496582031,2644890112.0,2757217536.0,2621792.125,2644891776.0,2761755776.0,3.4799766540527344
52,9.123100280761719,-1.6087646484375,293.39159393310547,296.9134750366211,0.00020195823162794113,0.02893805503845215,0.2011864185333252,0.4148869514465332,9.719515219330788e-07,5.616224370896816e-06,1649.24609375,173.3980712890625,-0.004805713891983032,0.000510750338435173,-393.984375,2733.55859375,4836102.5,2637294592.0,2744307712.0,2614754.25,2637299584.0,2749142016.0,1.4551963806152344
53,8.637126922607422,-2.60089111328125,291.94725036621094,294.66463470458984,0.00017481856048107147,0.023325443267822266,0.1998271942138672,0.23720264434814453,3.1113740988075733e-06,-1.4350516721606255e-06,2005.99609375,126.53076171875,-0.0028614699840545654,3.777444362640381e-05,-819.203125,1417.203125,4489708.0,2625438848.0,2733995136.0,2602841.625,2625438848.0,2738483456.0,-0.0090179443359375
54,6.8170623779296875,5.374500274658203,290.3813705444336,292.3929901123047,9.296741336584091e-05,0.018361806869506836,0.18165946006774902,0.057459354400634766,9.685871191322803e-06,7.704831659793854e-06,1351.9140625,49.34423828125,0.000959545373916626,0.0008713789284229279,564.0859375,4139.69140625,4537414.900390625,2605596800.0,2712702464.0,2583233.0,2605597312.0,2717241600.0,0.2595329284667969
55,5.432106018066406,6.602149963378906,288.1750030517578,289.8152313232422,0.00025475770235061646,0.012247085571289062,0.2160022258758545,0.05944538116455078,4.539208021014929e-06,1.157401129603386e-05,1517.609375,-77.4072265625,0.0022340118885040283,0.001026129350066185,838.40625,4833.0703125,4300241.126953125,2584769024.0,2678455296.0,2563793.125,2584768896.0,2682756352.0,3.4068527221679688
56,6.083751678466797,4.931537628173828,285.6896667480469,287.44580078125,0.00028965622186660767,0.023928284645080566,0.294552206993103,0.11676597595214844,3.3280375646427274e-06,1.1562486179172993e-05,2492.35546875,-74.9208984375,-0.0010099560022354126,0.000354669988155365,-642.18359375,2643.5078125,3776926.9770507812,2564596736.0,2647203072.0,2544818.125,2564599552.0,2650976896.0,1.6685066223144531
57,6.79058837890625,5.863433837890625,284.1912384033203,286.3539810180664,0.00010592304170131683,0.030349016189575195,0.3415718078613281,0.15207576751708984,-1.278705894947052e-06,6.0229795053601265e-06,2023.8046875,7.647216796875,-0.0020373910665512085,-0.00018841587007045746,-655.34765625,888.7421875,3357653.3217773438,2553234688.0,2629073408.0,2534188.375,2553237248.0,2632431872.0,-0.433837890625
