,div_50,div_100,div_200,div_250,div_300,div_400,div_500,div_600,div_700,div_800,div_850,div_925,div_1000,vor_10,vor_20,vor_30,vor_50,vor_70,vor_100,vor_150,vor_200,vor_250,vor_300,vor_400,vor_500,vor_600,vor_700,vor_800,vor_850,vor_900,vor_925,vor_950,vor_975,vor_1000,rh_10,rh_20,rh_30,rh_50,rh_70,rh_100,rh_150,rh_200,rh_250,rh_300,rh_400,rh_500,rh_600,rh_700,rh_800,rh_850,rh_900,rh_925,rh_950,rh_975,rh_1000,gpot_10,gpot_20,gpot_30,gpot_50,gpot_70,gpot_100,gpot_150,gpot_200,gpot_250,gpot_300,gpot_400,gpot_500,gpot_600,gpot_700,gpot_800,gpot_850,gpot_900,gpot_925,gpot_950,gpot_975,gpot_1000,temp_10,temp_20,temp_30,temp_50,temp_70,temp_100,temp_150,temp_200,temp_250,temp_300,temp_400,temp_500,temp_600,temp_700,temp_800,temp_850,temp_900,temp_925,temp_950,temp_975,temp_1000,vvel_10,vvel_20,vvel_30,vvel_50,vvel_70,vvel_100,vvel_150,vvel_200,vvel_250,vvel_300,vvel_400,vvel_500,vvel_600,vvel_700,vvel_850,vvel_925,vvel_975,vvel_1000
0,-2.1989108063280582e-06,3.103137714788318e-05,-3.9977021515369415e-06,2.4215798475779593e-05,-8.728005923330784e-06,5.798239726573229e-06,-5.131238140165806e-06,-1.586915459483862e-06,-2.3643369786441326e-06,3.6463607102632523e-06,3.3276155591011047e-06,-4.1641760617494583e-07,-3.307824954390526e-06,-3.6080018617212772e-06,-4.637724487110972e-06,1.0009738616645336e-05,9.773211786523461e-07,-2.207350917160511e-06,1.1143216397613287e-05,-1.456699101254344e-05,-1.529086148366332e-05,-2.4751992896199226e-05,-4.336005076766014e-06,2.1229381673038006e-05,3.8361409679055214e-05,3.044336335733533e-05,2.8439215384423733e-05,2.9065879061818123e-05,3.055634442716837e-05,3.134016878902912e-05,3.136764280498028e-05,3.150012344121933e-05,3.186101093888283e-05,3.0605122447013855e-05,0.059289440512657166,0.2975500524044037,1.0526578426361084,3.2390658631920815,22.307796478271484,118.10983899235725,58.22129821777344,56.39220201969147,68.87245945632458,63.61136620491743,67.63238352537155,65.7045292109251,66.23513627797365,62.9302978515625,78.37257385253906,85.2219009399414,91.80863952636719,94.29240417480469,93.07491302490234,87.42855834960938,79.64183044433594,302987.89453125,258232.462890625,233174.099609375,202125.47265625,182410.458984375,162573.44140625,139635.810546875,122041.7421875,107499.490234375,95007.623046875,74214.796875,57268.4228515625,42949.1513671875,30512.4072265625,19465.27099609375,14373.216796875,9529.0751953125,7191.62060546875,4905.81787109375,2667.671630859375,471.1171875,228.15112686157227,219.84551239013672,212.8807373046875,208.84119415283203,199.5920295715332,190.12294006347656,205.37744140625,220.98877334594727,233.3660430908203,243.774169921875,258.89493560791016,269.24312591552734,276.3050079345703,283.7391128540039,289.31214904785156,291.5746612548828,293.77427673339844,294.8798370361328,296.14952087402344,297.9625549316406,300.11668395996094,0.00017836317420005798,0.0034455060958862305,-0.003851592540740967,0.0031336545944213867,0.0069078803062438965,-0.04801630973815918,0.029205322265625,0.08225774765014648,0.026024818420410156,-0.017520904541015625,-0.02781963348388672,-0.011446952819824219,-0.006838798522949219,0.029601097106933594,-0.0047168731689453125,-0.01758861541748047,-0.007622241973876953,0.0003924369812011719
1,-8.294708095490932e-06,2.716085873544216e-05,-1.9331928342580795e-06,1.1717085726559162e-05,-8.782895747572184e-06,8.191564120352268e-07,3.5116681829094887e-07,-3.6293058656156063e-06,-3.894616384059191e-06,8.282950147986412e-07,2.346467226743698e-06,1.6108970157802105e-06,-3.0925730243325233e-07,-2.222310286015272e-06,-2.7006608434021473e-06,5.7639554142951965e-06,2.56947532761842e-06,-2.2873864509165287e-06,3.9598671719431877e-07,-1.4209654182195663e-05,-1.576606882736087e-05,-2.433592453598976e-05,-1.1173542588949203e-06,2.2841617465019226e-05,3.884511534124613e-05,3.153237048536539e-05,2.8935610316693783e-05,2.6949215680360794e-05,2.711836714297533e-05,2.9352609999477863e-05,2.991640940308571e-05,3.03926644846797e-05,3.0195806175470352e-05,2.8930604457855225e-05,0.06382768436742481,0.23565513984067366,1.169365644454956,2.9721973156556487,20.415990829467773,112.80168977379799,67.171640150249,56.38017028570175,71.32452397048473,61.71989989280701,71.58251189440489,67.21965667977929,64.41459822654724,60.61197121441364,77.67767331004143,82.93473815917969,90.45545196533203,93.3778076171875,92.5582504272461,88.21359252929688,80.2228775024414,303019.5,258297.083984375,233191.40234375,202205.00390625,182394.38671875,162546.28125,139671.568359375,122077.8984375,107534.728515625,95053.736328125,74277.0205078125,57340.6904296875,43025.6474609375,30591.966796875,19541.4619140625,14446.1484375,9599.26708984375,7260.9482421875,4974.50634765625,2735.991455078125,538.96728515625,227.52699279785156,221.7649688720703,212.03456497192383,209.4220733642578,200.0870132446289,189.29302978515625,205.18770599365234,221.06570053100586,233.16000366210938,243.60405731201172,258.58996200561523,269.20280838012695,276.26078033447266,283.80909729003906,289.43540954589844,291.8062210083008,293.91845703125,294.99188232421875,296.23538970947266,297.98377990722656,300.14634704589844,-0.003169070929288864,0.0049828290939331055,0.00011938810348510742,0.0022631287574768066,0.005628347396850586,-0.011281967163085938,-0.00312042236328125,0.02306652069091797,-0.0019102096557617188,-0.01566314697265625,-0.023834228515625,-0.01669788360595703,-0.02366352081298828,0.030973434448242188,0.03210258483886719,0.013311386108398438,0.009181022644042969,0.009728431701660156
2,-6.058486178517342e-06,1.1229771189391613e-05,3.563531208783388e-06,-1.987908035516739e-06,-8.506292942911386e-06,-3.8174912333488464e-06,3.065506462007761e-06,-2.439599484205246e-06,8.48318450152874e-07,1.0294606909155846e-06,-4.975590854883194e-07,-2.637738361954689e-06,-4.546716809272766e-06,-2.0633451640605927e-06,7.822323823347688e-06,2.1492596715688705e-06,6.660178769379854e-06,-2.9744114726781845e-06,-2.501881681382656e-06,-2.2054475266486406e-05,-1.245818566530943e-05,-1.1430412996560335e-05,-4.920759238302708e-06,1.162942498922348e-05,3.344658762216568e-05,3.11771291308105e-05,2.86763533949852e-05,2.6197987608611584e-05,2.683734055608511e-05,2.8975890018045902e-05,2.9850401915609837e-05,2.988101914525032e-05,2.9947957955300808e-05,2.8624082915484905e-05,0.06221436140185688,0.21342437010025606,0.9392368090339005,3.140702006407082,18.5919839926064,98.91926574707031,75.89813232421875,66.16539737582207,69.22233414649963,63.00989531725645,67.02527622878551,65.43383776396513,63.60980383306742,63.655189514160156,80.43362407386303,86.0582275390625,90.92546081542969,92.63449096679688,92.62065124511719,89.79161071777344,82.06912994384766,303278.052734375,258797.775390625,233394.271484375,202410.408203125,182549.6953125,162620.30078125,139796.994140625,122232.021484375,107694.69921875,95221.0078125,74447.8095703125,57488.744140625,43153.251953125,30707.36328125,19653.3857421875,14558.568359375,9713.1044921875,7375.40966796875,5089.8779296875,2852.80224609375,657.77099609375,227.82483673095703,222.50174713134766,213.64122772216797,208.96549606323242,200.69844818115234,189.99279022216797,204.76155471801758,220.81035614013672,233.04265213012695,243.48119354248047,258.7587661743164,269.5994682312012,276.72206115722656,283.8510208129883,289.4117660522461,291.6750793457031,293.8329772949219,294.9389953613281,296.1396179199219,297.7267074584961,299.84017181396484,0.002829506993293762,0.001292198896408081,0.008047223091125488,-0.007010936737060547,0.008796751499176025,0.00466543436050415,-0.029541730880737305,-0.06426334381103516,-0.054340362548828125,-0.04283428192138672,-0.016092300415039062,-0.013026237487792969,-0.016756057739257812,-0.009557723999023438,-0.02777099609375,-0.0171356201171875,-0.0007524490356445312,0.0104522705078125
3,1.0225572623312473e-05,1.538923243060708e-05,-2.5331974029541016e-06,-2.603701432235539e-06,-2.7830246835947037e-06,1.770735252648592e-06,2.1368032321333885e-07,-5.476467777043581e-06,1.6087433323264122e-06,-1.801876351237297e-06,-4.106899723410606e-06,-4.73798718303442e-06,-4.502595402300358e-06,-3.5631965147331357e-06,9.958865121006966e-06,-1.6373815014958382e-07,3.1259842216968536e-06,4.273329977877438e-06,-3.0384398996829987e-08,-2.5955785531550646e-05,-1.297355629503727e-05,-1.0460265912115574e-05,-6.873509846627712e-06,8.94232653081417e-06,3.064889460802078e-05,3.580114571377635e-05,3.305741120129824e-05,2.8177164494991302e-05,2.822780515998602e-05,3.0485563911497593e-05,3.1681032851338387e-05,3.101176116615534e-05,3.0020950362086296e-05,2.817378845065832e-05,0.054659292101860046,0.255946152494289,0.736545741558075,3.8217557575553656,15.30303256586194,96.98811340332031,93.98905162513256,79.86811943352222,76.82482147216797,66.95934295654297,65.071533203125,67.95816783979535,69.29020606912673,66.47115325927734,81.61808776855469,86.62550354003906,90.92801666259766,93.01031494140625,94.27497863769531,91.17028045654297,84.17831420898438,303260.619140625,258776.951171875,233325.080078125,202264.90234375,182446.353515625,162445.951171875,139639.185546875,122090.029296875,107575.05078125,95116.236328125,74351.4931640625,57399.6494140625,43076.21484375,30629.51953125,19584.91162109375,14493.65625,9649.2119140625,7311.77001953125,5026.65625,2790.90478515625,598.1875,228.79424667358398,220.99855422973633,215.45509719848633,207.68479537963867,201.8374366760254,190.27574920654297,204.59193801879883,220.4725341796875,232.74109649658203,243.2822036743164,258.70457458496094,269.3638458251953,276.5673599243164,283.6999740600586,289.1441650390625,291.5560302734375,293.8058624267578,294.90416717529297,295.9898147583008,297.47084045410156,299.47998809814453,-0.00025784969329833984,-0.007058620452880859,0.007915735244750977,-0.004601895809173584,-0.004225552082061768,0.002156972885131836,-0.05589437484741211,-0.10064077377319336,-0.07267427444458008,-0.07608175277709961,-0.12040424346923828,-0.1414022445678711,-0.10001182556152344,-0.08841419219970703,-0.07958984375,-0.04464912414550781,-0.022425174713134766,-0.011150360107421875
4,1.5046563930809498e-05,1.8623541109263897e-05,-8.776201866567135e-06,-7.693772204220295e-06,4.05794708058238e-06,8.067581802606583e-06,1.7087440937757492e-06,-3.794499207288027e-06,5.121692083775997e-07,-3.838096745312214e-06,-5.163485184311867e-06,-6.9711823016405106e-06,-7.427821401506662e-06,-3.7144782254472375e-06,1.2042582966387272e-06,7.720780558884144e-06,-3.951136022806168e-06,7.931084837764502e-06,-3.935114364139736e-06,-2.16058106161654e-05,-9.599141776561737e-06,-4.7236098907887936e-06,-5.9166341088712215e-06,4.929490387439728e-06,2.8415932320058346e-05,3.9789651054888964e-05,3.365695010870695e-05,2.850545570254326e-05,2.9589049518108368e-05,3.068731166422367e-05,3.0886149033904076e-05,3.070395905524492e-05,2.957112155854702e-05,2.764328382909298e-05,0.05501939657551702,0.37428396940231323,0.7871827483177185,4.057185524143279,17.758554831147194,102.40079540014267,88.99554443359375,79.3064956665039,65.53681776672602,62.409088134765625,62.74664323031902,70.29844788089395,71.30471067130566,69.47056580334902,81.32740744948387,85.88386535644531,90.84750366210938,93.12555694580078,95.4485092163086,92.76592254638672,85.75029754638672,302776.353515625,258450.86328125,233290.53515625,201995.697265625,182290.669921875,162294.484375,139531.96484375,121971.51171875,107437.40234375,94966.603515625,74180.9921875,57227.9873046875,42909.154296875,30469.1240234375,19435.2646484375,14347.0439453125,9504.30615234375,7167.53173828125,4883.7412109375,2649.848876953125,459.1826171875,228.71707153320312,218.03674697875977,214.9392433166504,207.3613739013672,200.90899276733398,189.86650466918945,204.59146118164062,220.79619598388672,233.04133224487305,243.50559997558594,258.94300842285156,269.21684646606445,276.34202575683594,283.43959045410156,288.9699401855469,291.4435577392578,293.7395477294922,294.8197479248047,295.7406005859375,297.18511962890625,299.2010040283203,0.0016942620277404785,-0.004477024078369141,-0.01170969009399414,0.005635082721710205,-0.012678861618041992,-0.005151867866516113,-0.056554317474365234,-0.07889509201049805,-0.020840167999267578,-0.021451950073242188,-0.13955116271972656,-0.1932058334350586,-0.16902923583984375,-0.15660953521728516,-0.11929607391357422,-0.07390403747558594,-0.03753995895385742,-0.018827438354492188
5,-9.927083738148212e-06,3.3167307265102863e-06,-1.0818883311003447e-05,-1.1318959877826273e-05,-4.707835614681244e-07,6.974441930651665e-07,-3.151071723550558e-06,-2.5624758563935757e-06,2.7646892704069614e-06,-7.579219527542591e-07,-1.9044382497668266e-06,-4.282454028725624e-06,-3.2284879125654697e-06,-1.3844692148268223e-06,-4.6478817239403725e-06,6.522866897284985e-06,-9.92906279861927e-07,5.798035999760032e-06,-1.6787089407444e-07,-2.294842852279544e-05,-9.64518403634429e-06,-1.4306860975921154e-06,-1.0040879715234041e-05,4.91039827466011e-07,2.606818452477455e-05,4.2446423321962357e-05,3.686395939439535e-05,3.1818635761737823e-05,3.226473927497864e-05,3.420235589146614e-05,3.4887343645095825e-05,3.359315451234579e-05,3.1308853067457676e-05,2.8997310437262058e-05,0.06201452016830444,0.3748140037059784,1.0633009672164917,3.5054399631917477,18.167585372924805,100.30333682894707,93.97719599306583,79.69940196722746,65.51068878173828,60.53581018000841,66.2527847290039,76.89667502045631,76.52888537943363,72.56714618951082,82.17315673828125,86.33389282226562,91.76113891601562,94.06189727783203,95.86943817138672,93.33929443359375,86.81717681884766,302579.564453125,258202.51953125,233200.380859375,202079.798828125,182357.658203125,162341.58203125,139610.5078125,122043.435546875,107488.12890625,95005.615234375,74235.564453125,57307.2275390625,42993.3173828125,30555.84765625,19527.166015625,14441.18212890625,9600.337890625,7264.6318359375,4981.67578125,2749.3203125,560.291015625,227.61175537109375,217.96693801879883,212.73723220825195,208.25095748901367,200.66706466674805,190.38751983642578,204.4582290649414,221.03070831298828,233.36856842041016,243.56411743164062,258.5804748535156,268.91613388061523,276.29180908203125,283.2732925415039,288.83321380615234,291.3352737426758,293.6057815551758,294.67464447021484,295.61263275146484,296.98741912841797,298.9903335571289,0.000431060791015625,0.004307925701141357,-0.0055907368659973145,-0.0007421374320983887,0.0005568861961364746,0.01132422685623169,-0.07676982879638672,-0.11489629745483398,-0.04582977294921875,-0.014935016632080078,-0.08418846130371094,-0.06668567657470703,-0.020343780517578125,-0.03314018249511719,-0.03621864318847656,-0.014407157897949219,0.0054569244384765625,0.013633251190185547
6,-8.31362558528781e-06,5.414534825831652e-06,-3.2352982088923454e-06,-5.507899913936853e-06,-3.4025870263576508e-06,-5.9969606809318066e-06,-2.3496104404330254e-06,5.78584149479866e-06,1.4721881598234177e-06,-3.3550895750522614e-07,-9.98261384665966e-07,-2.8639333322644234e-06,-4.004978109151125e-06,5.851325113326311e-07,-6.26611290499568e-06,1.0476214811205864e-06,4.3871114030480385e-06,5.00075111631304e-06,-3.7604186218231916e-06,-2.4124456103891134e-05,-1.0682910215109587e-05,-6.455054972320795e-06,-1.656799577176571e-05,-3.727269358932972e-06,2.8948183171451092e-05,4.5644817873835564e-05,3.5685719922184944e-05,2.9859249480068684e-05,3.0779046937823296e-05,3.2642041333019733e-05,3.230199217796326e-05,3.072654362767935e-05,3.0531082302331924e-05,2.9177521355450153e-05,0.0648190826177597,0.27815136313438416,1.0182956212665886,3.607458877377212,18.253623962402344,95.07044237852097,97.51098631322384,78.43662276864052,63.54981216788292,61.006116434931755,60.650390625,69.20458964258432,76.58200136572123,76.50929260253906,80.3150634765625,83.67866513133049,88.20585632324219,91.431884765625,93.97465515136719,89.52667236328125,81.87875366210938,303155.875,258513.703125,233327.033203125,202347.630859375,182606.064453125,162530.62109375,139788.73046875,122211.1953125,107649.361328125,95162.859375,74378.94921875,57436.5927734375,43100.205078125,30652.6728515625,19627.720703125,14541.658203125,9699.11962890625,7362.125,5078.3515625,2843.09521484375,649.71533203125,227.35413360595703,220.29523849487305,213.03649139404297,207.99719619750977,200.6075439453125,190.75117111206055,204.61375427246094,221.09772109985352,233.4424285888672,243.67245864868164,258.84899520874023,269.2332878112793,276.7956008911133,283.15746307373047,288.8240509033203,291.4628601074219,293.81905364990234,294.8638916015625,295.87144470214844,297.55419921875,299.6561965942383,-0.0018907487392425537,0.006246685981750488,0.00033479928970336914,-0.007207989692687988,0.006217002868652344,0.011382699012756348,-0.03883934020996094,-0.0825490951538086,-0.05445289611816406,-0.0298614501953125,-0.015936851501464844,0.04454517364501953,0.007049560546875,-0.040637969970703125,-0.036667823791503906,-0.022857666015625,-0.004940986633300781,0.004921913146972656
7,3.3883261494338512e-06,4.422909114509821e-06,5.120527930557728e-07,-5.026697181165218e-06,-6.469606887549162e-06,-9.825511369854212e-06,5.198933649808168e-06,8.50652577355504e-06,-1.9633444026112556e-06,1.8317950889468193e-06,1.4650868251919746e-06,-4.806264769285917e-06,-7.955823093652725e-06,-1.965338014997542e-06,-4.511719453148544e-06,-2.148241037502885e-06,4.036643076688051e-06,6.355650839395821e-06,-3.860099241137505e-06,-2.3029278963804245e-05,-1.756363781169057e-05,-8.227129001170397e-06,-1.8273713067173958e-05,-2.9240036383271217e-06,2.2129621356725693e-05,3.895960981026292e-05,3.5848235711455345e-05,3.0008028261363506e-05,3.079685848206282e-05,3.2763928174972534e-05,3.30053735524416e-05,3.232271410524845e-05,3.163772635161877e-05,2.9978575184941292e-05,0.07471503305714577,0.20761807227972895,0.9519522190093994,4.719181537628174,17.43635395914316,94.3028564453125,95.73535919189453,81.61650185286999,67.53699493408203,61.91897040605545,51.509788513183594,59.45613272488117,82.06334686279297,77.93730926513672,80.09721374511719,84.59872436523438,89.5223159790039,92.3250732421875,94.30963897705078,90.53389739990234,82.77365112304688,303195.287109375,258566.376953125,233176.837890625,202320.1171875,182658.345703125,162564.421875,139794.123046875,122194.1484375,107626.90625,95141.0703125,74345.6474609375,57374.1962890625,43024.955078125,30578.9365234375,19551.748046875,14464.79541015625,9621.87646484375,7284.4326171875,4999.4248046875,2763.446044921875,569.42626953125,226.03738403320312,222.65176391601562,213.56986236572266,206.1791763305664,200.89920043945312,191.15748977661133,204.85223007202148,221.26455688476562,233.39069747924805,243.70702743530273,259.1888732910156,269.7911033630371,276.7309341430664,283.10951232910156,288.8789978027344,291.4505386352539,293.8313446044922,294.9204559326172,295.96256256103516,297.59002685546875,299.7073059082031,-0.0018700361251831055,-0.00016182661056518555,-7.134675979614258e-05,-0.002638518810272217,-0.0026731491088867188,-0.001107335090637207,-0.05800771713256836,-0.13263201713562012,-0.11221456527709961,-0.0787820816040039,-0.01821422576904297,0.02842426300048828,-0.06303024291992188,-0.08279037475585938,-0.08940982818603516,-0.0778360366821289,-0.04583740234375,-0.02581310272216797
8,7.592781912535429e-06,1.2119999155402184e-06,1.6423873603343964e-06,-6.743357516825199e-06,-7.92735954746604e-06,-4.696717951446772e-06,7.101858500391245e-06,6.786838639527559e-06,-4.086876288056374e-06,-2.9621878638863564e-06,-2.3209722712635994e-06,-4.114699549973011e-06,-5.569017957895994e-06,-8.575865649618208e-06,-2.103624865412712e-07,-5.795678589493036e-06,-1.65554229170084e-06,8.673785487189889e-06,-7.979528163559735e-06,-3.0892028007656336e-05,-2.0508188754320145e-05,-9.089999366551638e-06,-1.7200305592268705e-05,-3.948574885725975e-06,1.4522112905979156e-05,3.1894887797534466e-05,3.591040149331093e-05,3.107206430286169e-05,3.2651820220053196e-05,3.606302198022604e-05,3.688747528940439e-05,3.6356737837195396e-05,3.468862269073725e-05,3.2634008675813675e-05,0.07467181274842005,0.2140679212170653,0.9046910277102143,4.746968746185303,19.123214721679688,98.23445129394531,92.07785052061081,81.2590704858303,72.76953887939453,67.50749969482422,48.373748779296875,57.60736846923828,83.63538360595703,76.92121817171574,80.03836019337177,84.87830352783203,89.84425354003906,92.84588623046875,94.23168182373047,91.9983901977539,84.21109771728516,302886.4609375,258500.482421875,232997.01953125,202081.369140625,182499.482421875,162454.822265625,139671.564453125,122062.93359375,107502.484375,95026.62109375,74241.9365234375,57258.1748046875,42905.7705078125,30459.0068359375,19427.94140625,14338.80615234375,9494.13330078125,7156.1845703125,4870.76513671875,2634.71728515625,440.87060546875,226.09460830688477,222.35945892333984,213.96270751953125,206.11245727539062,200.27605056762695,191.20099258422852,205.0562858581543,221.29509735107422,233.22095489501953,243.52153778076172,259.2292671203613,270.0114517211914,276.7063522338867,283.20215606689453,288.9707794189453,291.5589828491211,293.88321685791016,294.96250915527344,296.01617431640625,297.52056884765625,299.6471633911133,0.00016130506992340088,-0.0030767619609832764,0.008350074291229248,0.0017847418785095215,-0.008438169956207275,0.0077533721923828125,-0.062467098236083984,-0.13531494140625,-0.11054325103759766,-0.07050514221191406,-0.011831283569335938,-0.02509307861328125,-0.09910774230957031,-0.10576057434082031,-0.05210590362548828,-0.0292510986328125,-0.0044155120849609375,0.009678840637207031
9,-2.618413418531418e-06,-3.974593710154295e-06,-3.8593425415456295e-06,-5.750334821641445e-06,-5.0193630158901215e-06,2.536748070269823e-06,3.1030504032969475e-07,9.854556992650032e-07,-4.968256689608097e-06,-6.973277777433395e-08,1.5117693692445755e-06,-2.020038664340973e-06,-7.165886927396059e-06,-7.833048584870994e-06,3.522509359754622e-06,-7.936498150229454e-06,-5.946625606156886e-06,9.648065315559506e-06,-4.022382199764252e-06,-3.086170181632042e-05,-1.604878343641758e-05,-8.156406693160534e-06,-1.624185824766755e-05,-7.424270734190941e-06,1.0854215361177921e-05,2.783583477139473e-05,3.825454041361809e-05,3.5853125154972076e-05,3.5674660466611385e-05,3.716174978762865e-05,3.817153628915548e-05,3.762252163141966e-05,3.6809477023780346e-05,3.481085877865553e-05,0.06314361840486526,0.24443519115447998,0.7777924537658691,3.849513530731201,24.44967269897461,95.14075469970703,95.64187622070312,89.7946548461914,81.09777832776308,69.46946716308594,46.74891688674688,60.85945315659046,84.18651579320431,74.72470855340362,78.87311553955078,82.98056030273438,88.75344848632812,91.7119140625,94.03630065917969,92.07006072998047,84.6148681640625,303053.18359375,258740.265625,233188.576171875,202094.224609375,182578.837890625,162551.033203125,139730.69921875,122131.361328125,107576.076171875,95106.9921875,74332.42578125,57354.7392578125,43018.646484375,30571.42578125,19533.5390625,14440.63720703125,9592.98388671875,7254.02099609375,4968.01904296875,2731.92138671875,538.615234375,227.54599380493164,221.3315658569336,215.19538116455078,207.62604522705078,198.8920440673828,192.08139419555664,205.08488082885742,221.16323471069336,233.08804321289062,243.3956642150879,259.1183662414551,269.79830169677734,276.51136016845703,283.3678741455078,289.1772689819336,291.79373931884766,294.0311737060547,295.08494567871094,296.0475311279297,297.48143768310547,299.56661224365234,0.000751003623008728,-0.0008797347545623779,0.002532362937927246,0.014893531799316406,-0.009059011936187744,0.012930870056152344,-0.05734562873840332,-0.09934711456298828,-0.07872152328491211,-0.04640388488769531,-0.035714149475097656,-0.061249732971191406,-0.0789804458618164,-0.04485607147216797,-0.020722389221191406,-0.024077415466308594,-0.0019330978393554688,0.016162872314453125
