,mslp
0,100853.25
1,100631.3125
2,100552.125
3,100837.875
4,100800.0
5,100558.1875
6,100396.8125
7,100651.6875
8,100691.75
9,100520.9375
10,100383.8125
11,100463.75
12,100557.5625
13,100228.8125
14,100139.5
15,100349.0625
16,100454.375
17,100190.0625
18,100055.375
19,100301.9375
20,100341.8125
21,100052.75
22,99965.1875
23,100147.125
24,100155.0
25,100016.0625
26,99934.0625
27,100092.375
28,100068.4375
29,99820.375
30,99785.8125
31,99833.4375
32,99849.875
33,99605.3125
34,99494.0625
35,99629.375
36,99652.4375
37,99423.5
38,99376.6875
39,99467.1875
40,99370.75
41,99222.125
42,99137.0625
43,99268.5625
44,99214.0
45,98954.375
46,98899.8125
47,98985.1875
48,98664.0
49,98481.9375
50,98321.125
51,98441.8125
52,98291.1875
53,98026.8125
54,97937.5625
55,98065.875
56,98046.0625
57,97850.625
58,97784.5
59,97932.375
60,97771.125
61,97550.5
62,97498.9375
63,97518.9375
64,97420.3125
65,97271.9375
66,97145.125
67,97214.125
68,97170.5625
69,96899.125
70,96792.6875
71,96777.1875
72,96566.3125
73,96369.0625
74,96244.8125
75,96360.3125
76,96472.375
77,96348.875
78,96430.375
79,96298.875
80,96303.9375
81,96206.5625
82,95896.0625
83,95713.5625
84,95545.5625
85,95570.625
86,95800.625
87,96041.6875
88,96684.0625
89,97131.375
90,97591.4375
91,98117.3125
92,98393.1875
93,98619.375
94,98940.3125
95,99318.1875
96,99675.8125
