,wind10
0,8.75393295288086
1,9.225842475891113
2,9.594640731811523
3,9.82879638671875
4,9.050278663635254
5,9.700838088989258
6,9.386363983154297
7,12.102350234985352
8,11.936132431030273
9,11.47812271118164
10,12.40021800994873
11,11.814294815063477
12,12.719929695129395
13,11.182222366333008
14,12.31776237487793
15,12.61471939086914
16,12.833126068115234
17,12.413864135742188
18,12.965913772583008
19,12.217652320861816
20,12.761245727539062
21,13.43492317199707
22,14.475568771362305
23,14.987018585205078
24,15.62920093536377
25,16.875259399414062
26,17.596832275390625
27,15.859951972961426
28,17.928741455078125
29,17.85700225830078
30,17.52525520324707
31,18.878694534301758
32,19.084619522094727
33,21.278541564941406
34,20.161352157592773
35,19.97696876525879
36,18.48781394958496
37,19.50310707092285
38,18.80289649963379
39,19.001955032348633
40,19.999216079711914
41,19.823013305664062
42,19.183765411376953
43,21.114059448242188
44,22.66749382019043
45,23.46113395690918
46,24.723066329956055
47,24.390918731689453
48,27.452251434326172
49,26.8070011138916
50,24.474445343017578
51,26.292728424072266
52,27.050752639770508
53,31.65645408630371
54,29.352550506591797
55,31.337047576904297
56,29.780698776245117
57,29.633079528808594
58,23.963756561279297
59,25.246675491333008
60,24.401432037353516
61,26.1260929107666
62,26.24582290649414
63,27.85851287841797
64,25.649620056152344
65,28.617847442626953
66,26.29770278930664
67,26.15320587158203
68,26.666179656982422
69,26.183181762695312
70,29.511714935302734
71,29.707929611206055
72,30.421728134155273
73,26.536636352539062
74,20.118898391723633
75,20.704891204833984
76,19.526044845581055
77,16.166217803955078
78,15.215309143066406
79,15.397651672363281
80,14.351468086242676
81,13.336141586303711
82,12.961615562438965
83,11.69548511505127
84,10.17367935180664
