,outcape,outinst_10m_wnd_gst,outinst_moisture_flux,outinst_ssh_flux,outsurfmean_swr_flux,outsurfmean_lhf,outsurfmean_lwr_flux,outsurfmean_shf,outdwnwrdmean_swr_flux,outtopmean_lwr_flux,outtopmean_swr_flux,outvimean_moisture_div,outsurf_lhf,outsurf_shf,outtot_suprcool_liqwtr,outtot_wtr_vpr
0,490.7548828125,10.971676000207662,-6.429506853843729e-05,-17.10938720703125,26.5204345703125,-163.90018717447916,-41.100301106770836,-17.217439778645833,362.9122802734375,-179.45936686197916,168.08776041666667,-0.00012327755490938822,-590042.0333333333,-61982.816666666666,0.07825698057810465,54.77790223409732
1,506.8271809895833,11.24849230448405,-6.391431476610402e-05,-15.483251953125,0.0,-163.52832845052083,-40.82104695638021,-16.074043782552085,0.0,-184.83870646158854,0.0,-0.00012382889787356058,-588702.45,-57866.45,0.07040707270304362,55.045326778292655
2,482.2712007261411,11.404134243912223,-6.236881983787192e-05,-16.006161258428424,0.0,-162.80233321447096,-40.73397485250259,-16.671317832598547,0.0,-188.13337270649637,0.0,-0.0001458013082440958,-586088.0871369295,-60016.477178423236,0.08126904657767521,55.0758377961598
3,535.3716145833333,11.45646260579427,-6.36593244659404e-05,-18.0050048828125,0.0,-163.19165852864583,-41.395790608723956,-18.715087890625,0.0,-188.03949991861978,0.0,-0.00013456009328365325,-587489.5166666667,-67374.18333333333,0.08763314088185628,54.968200248479846
4,569.9138679979253,11.183225746100375,-6.235614650848001e-05,-17.262333660204874,0.0,-159.58987819307572,-41.334373379149376,-18.20904616992998,0.0,-191.52552941033454,0.0,-7.80748504820701e-05,-574524.0456431535,-65553.08713692946,0.07778325219372001,54.64414620300546
5,574.6717122395834,11.271071064720552,-6.1008231326316795e-05,-15.038435872395834,79.47607421875,-155.66365559895834,-43.16044921875,-15.658711751302084,499.9804931640625,-198.89317830403647,279.1095784505208,-8.522588759660721e-05,-560388.2833333333,-56371.566666666666,0.06949979464213053,54.6496816376845
6,535.5200661307053,11.18115806715617,-6.04351053083957e-05,-13.313575839600622,290.36298949688796,-153.55601355841546,-41.84242090248963,-15.155865047977178,1147.8175813667012,-201.26760345079097,746.01794281639,-0.00011349817220106164,-552801.5560165975,-54561.4356846473,0.07176270227709251,55.11646992536996
7,608.1182572614108,11.287084365812328,-6.071285584253642e-05,-15.610848961034751,283.05216707728215,-153.1446011491831,-42.44172636799792,-16.93948452898081,1103.3270228215767,-202.7167918098418,723.6862924662863,-9.997454916293195e-05,-551321.0871369295,-60982.70954356847,0.069536019163013,55.04853282627723
8,635.5439453125,11.394503728300332,-6.083238210218648e-05,-15.1501953125,58.70902099609375,-150.753564453125,-43.113427734375,-15.866678873697916,378.65358072916666,-204.80426839192708,214.6140380859375,-9.41229984164238e-05,-542712.3666666667,-57120.2,0.05718836784362793,54.904903228084244
9,689.4819010416667,11.828836215846241,-6.0772399107615155e-05,-15.93330078125,0.0,-156.04298502604166,-42.33187255859375,-16.23519287109375,0.0,-197.54620157877605,0.0,-0.0001510831837852796,-561755.65,-58447.63333333333,0.053341976801554364,55.19084735810757
