,outeqt100,outeqt1000,outeqt200,outeqt250,outeqt300,outeqt400,outeqt500,outeqt600,outeqt700,outeqt800,outeqt850,outeqt925
0,367.891068581257,350.3154776460377,353.5553032741099,351.21965270273887,348.90099236319594,344.4343218014846,484.660163016344,340.6032052837818,337.39937533993765,337.69148746729803,339.1693001126253,340.4076557144201
1,369.0417153358929,350.05217227884134,353.6182519010489,351.0852761699019,348.6925558911554,344.16313037864495,484.6031055537599,339.8338482328698,336.5705942901365,336.9790605474929,339.0033968919448,340.4133340194598
2,369.6099026585159,350.3924339363371,354.0134122336128,351.30267527016514,348.92420493277655,344.25692753695245,483.58407116858615,339.93656054094913,336.5987776553421,337.13060547407025,339.4270792052661,341.2238792562222
3,369.9004506321384,351.0394787608533,354.3500875237673,351.6010464411438,349.13001723524553,344.08856488689895,482.7955919766081,339.701051078343,336.67697969479076,337.22122433936266,340.0958401286227,342.10474783679757
4,370.41470752011134,351.2104635671265,354.6109558881069,351.9323935849365,349.5421308912673,344.4042388231506,484.2919799579961,339.6559628801869,337.25430734713495,337.85524215102413,340.70033194826306,342.712084711153
5,369.84053709055945,351.5957572821825,354.21126402281806,351.78505970050236,349.5802702890051,344.46130103867193,485.62212699949725,340.0741796690791,337.46106418618496,338.078875676047,340.7028752820384,342.73381551325787
6,369.44285262814367,351.91232486901913,353.90130842140127,351.4819667624249,349.21495890179165,343.86858699640504,486.0105167038135,339.5889105585718,336.90885725404854,337.57456182916343,340.4392208153156,342.4637448997897
7,368.84489382424874,352.37225978662275,353.806763692491,351.2291120532948,348.8772196189407,343.41910707508384,486.3130120235404,339.3592508627725,336.4205392499315,337.19218579697537,340.1740522689919,342.14855952319107
8,368.45770851073627,351.52606044316707,353.9077387109705,351.2815215305843,349.11333111749326,344.1501107145317,487.99493856362477,339.4143034098355,336.8268269980375,338.2206249775032,340.19457184286074,341.53091980642165
9,367.8989348669438,351.04672384356206,354.4180846075576,351.49487333465663,349.1794657496218,344.21610680493575,488.88632887138743,339.79863712707777,336.49403690680475,338.094122636644,340.4079380931704,341.83129709504345
10,367.5280402306153,351.69780787811214,355.20796369926035,352.0770076242952,349.50198416931903,344.4416461302413,487.6509310911685,340.8465647392786,337.2395071848238,338.74042362287605,341.0785839744638,342.7059022476538
