,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt800,eqt850,eqt925
0,348.26711537134736,354.9551924946767,353.95066589915916,352.832879337118,349.39256453904255,344.86644346872055,339.1669640281112,339.4112737139342,342.103759969959,343.26332191718,345.65536294383185
1,347.8550953022142,354.2892393481185,353.46289143831166,352.59256784248737,348.9057239881978,345.2390729401775,338.9967798446263,339.0360173683941,342.09920370661314,343.3738352171338,346.19646721803156
2,347.3645475499005,353.41620234696995,352.56588662063155,351.78195615053625,349.45642160814896,346.307564094628,338.81269896537003,339.35417485383596,343.71534406386854,344.68450220616546,346.67271103083226
3,347.506063994532,352.92838418451765,351.92596355402355,351.4411122177911,349.50196421984634,346.8980136158059,339.6302895703039,338.68634400003145,343.7465424969051,344.5768896635111,346.4905219686365
4,347.4875674924828,352.2160405419163,351.65451664390514,351.57345592920194,349.5360811462532,346.63406589489836,340.0634595139519,338.97485718732526,343.22662766602946,344.2388590084397,346.1694754635172
5,347.419204152682,352.5040399665874,351.89190619385585,351.4264051144553,349.3341382640259,346.6501867117986,339.7907627459199,338.80633488368903,343.02359943702965,344.11230897127024,346.09536692820234
6,347.02484079301803,353.556835347739,352.55897842612865,351.81498783149823,349.45827706545424,347.6158045615068,340.88776336940754,340.29115805518364,343.22673178364283,344.210472119295,345.24497707771695
7,347.4948654920905,353.95471142984115,353.08960537193275,352.51262650877794,349.9696004530575,348.1781166142516,341.6763188332561,341.1038486587282,343.2321725625205,343.9722793892772,345.1591906396612
8,348.06764472841985,354.22786302618175,353.60864914194207,353.32305099297844,350.76211042438706,347.915463984974,340.7537354782177,341.1056105563927,343.0586072427498,343.9169158358228,345.0987530672485
9,348.3230966705497,353.67929603160695,353.7767578095135,353.23109621752445,350.35834006803395,347.53393422335466,340.5513596073487,340.35902375332273,342.8113784823116,343.5945492354601,345.1372691633569
10,348.19511317703143,353.52388799954286,353.4264002342367,353.0618227821394,349.56720610761806,346.23419703006897,340.3768497017293,339.51292926569863,342.89596139931956,343.48949522044114,345.1623190613158
11,348.68127166590176,352.6919287936163,352.28459081904157,351.93543552929555,348.76900855817206,345.59275217649537,340.48917933002963,339.4237845672754,341.9230291490754,343.7814279829805,345.73675724533837
12,349.00459017255247,352.15944640964096,351.7033200414569,351.40888937173344,348.60708093420646,345.32295620574826,340.8000014316948,339.82132505459185,341.3427926198332,343.4163705840791,346.0128487480823
13,348.8131563169542,352.039157157298,351.4504317140685,351.02541279997297,348.2097358918944,344.6057165417967,340.2799860447474,339.3770917229774,341.36791154810646,342.79943902069897,345.9207504907771
14,347.9053440201023,353.45851375489735,352.2212846559972,351.4322369304933,347.90144288371357,344.54077456837905,339.27759190918994,339.37617712370593,341.8269821384922,342.5706706247395,345.09562782825986
15,348.26492797231464,354.01298591984124,352.93998458582104,351.5838481842977,348.08519675126416,345.8679830180857,340.3913724577733,339.4939756389301,341.83239077688575,342.45649561799314,345.0510810877119
16,348.8600242990285,354.4722653666791,352.8414349222925,351.70656682184085,347.9060775989239,346.4596487376026,341.24829216428384,339.8157375663607,341.98815308657896,342.4979640595385,344.65506377985594
17,348.7246006708457,353.8119588350709,352.2029421636745,351.03997377649887,347.25293020482195,346.4861560855663,341.3506503306122,339.6674500916423,341.9091869953164,342.89709635088246,345.02646495594973
18,348.0919036263453,353.17498401499074,351.5812905282981,350.69235533592655,347.6033724942706,346.72463356659665,342.4447385418433,342.8131057832693,345.401831205931,345.24980174672663,345.75970909291794
19,349.0321920775278,352.3850371112001,351.2590506939862,350.34628052904986,347.5741196245101,346.3327944605834,342.68564366422595,342.6717968549383,345.61627548979163,345.93141328807496,346.7447828871622
20,349.3758595675258,352.1815805008398,351.29983999951617,350.19368906797695,347.92047347790884,346.96248132858005,342.75606016521147,342.4262993630705,345.71015903456765,346.38855293484403,347.37682726458763
