,outu10,outv10,out2mdewtmp,out2mtmp,outconv_ppt,outtot_cld_ice,outtot_cldwtr,outtot_cld_rain,outvi_div_cld_froz_wtr,outvi_div_cld_liq_wtr,outvi_div_gpot_flux,outvi_div_ke_flux,outvi_div_mass_flux,outvi_div_moisture_flux,outvi_div_olr_flux,outvi_div_tot_enrgy_flux,outvi_ke,outvi_pe_inte,outvi_pe_ie_latentenrgy,outvi_temp,outvi_olr,outvi_tot_enrgy,outvi_moisture_div
93,1.3079142252604166,0.36810048421223956,289.866064453125,293.83397979736327,0.00019292694826920828,0.10582879384358725,0.09475665887196859,0.10754855473836263,3.0688242986798286e-06,-3.866269253194332e-07,750.5802083333333,44.105159505208334,0.0017079462607701619,6.483389685551326e-05,199.79583333333332,1166.3046875,2618370.8603352862,2652281070.9333334,2729046766.9333334,2626741.283333333,2646466995.2,2731664708.266667,0.15544281005859376
94,1.4279005121887967,0.39697645511864627,289.5748997605193,293.64053116794446,0.00022095992110082223,0.10764027828992155,0.08872609910133963,0.08915735775009725,4.6439617640373615e-06,9.173604648142929e-07,734.5164354253112,37.59646391176089,-0.0007401680055990258,4.255306362116485e-05,-440.983289030083,442.078773340249,2653566.881953449,2649298852.647303,2724141424.5975103,2623957.79253112,2643490736.33195,2726795157.7759337,0.18861446143185945
95,1.568866984049479,0.05151418050130208,289.7315612792969,293.3976206461588,0.00028019025921821594,0.09773478507995606,0.08039722442626954,0.07349732716878256,5.3398349943260355e-06,1.5029683709144592e-06,355.56666666666666,17.441365559895832,-0.0021756430466969806,5.915264288584391e-05,-545.1927083333334,-24.418489583333333,2535322.4357828777,2656231074.133333,2730804548.266667,2631782.675,2651329006.9333334,2733339997.866667,0.20193862915039062
96,1.3433520685093037,-1.1825748301145942,289.9661219426705,293.3471098460597,0.00022173991341808524,0.06927480737203384,0.06972321632986742,0.052831942609731584,2.4334425145288723e-06,1.6327446937190053e-06,-99.95852243257261,2.88712598871888,-0.0005018533018120097,0.00016204498059027423,302.15514782157675,610.9688796680498,2440409.105047329,2661739871.60166,2734560556.614108,2638061.817427386,2657474937.0954356,2737000662.572614,0.5210406038276387
97,1.1332786560058594,-1.1757153828938802,289.95336049397787,293.2984975179036,0.0002042548730969429,0.058837485313415525,0.05965627829233806,0.045356019337972,2.9804495473702747e-06,1.4427583664655686e-06,-48.04140625,0.9798014322916667,-0.0004888258874416352,0.00017044941584269205,244.61588541666666,619.9809895833333,2331925.8009847007,2664661094.4,2735639620.266667,2641703.3666666667,2660960870.4,2737971805.866667,0.7525367736816406
98,0.8858954718498768,-1.8459729079883622,289.6902820381386,293.0744720079098,0.00022137628798662876,0.05671521736873136,0.0554859905322063,0.04419518308520812,3.029438513630607e-06,9.274629961034569e-07,-158.32222510373444,-6.581805343944502,-0.0006200851741173456,0.0001503175966967191,217.97948003112035,426.41887642634856,2194247.3200004864,2665926416.9958506,2734356295.1701245,2643852.979253112,2662874856.6307054,2736551117.0124483,0.6421687969033649
99,0.19343058268229166,-2.0649124145507813,289.7836018880208,293.25049947102866,0.00019066805640856425,0.04215481281280518,0.04667259852091472,0.02822141647338867,2.3401109501719476e-06,1.389898049334685e-06,-259.88958333333335,-5.834521484375,-0.0007438341776529948,0.0001467276985446612,172.3703125,280.1255208333333,1903717.0063151042,2671357610.6666665,2739207927.4666667,2649858.675,2668861149.866667,2741111244.8,0.5720820109049479
100,-0.14335524689607107,-1.4590611121466546,290.30070653891664,294.0997392963077,0.00014741273589154,0.03527974488824235,0.05018007903672848,0.030058516506337524,1.630435648946192e-06,5.038387501511831e-07,-286.641565093361,-4.68919885405861,0.0011322626929065498,9.660068822104901e-05,713.251880186722,663.0311203319502,1667170.687724893,2677159179.684647,2746245010.5892115,2655988.734439834,2675148758.572614,2747912272.7302904,0.43292546569064444
101,-0.7454518636067708,-1.094524129231771,290.74323120117185,294.44251454671223,0.00012647521992524465,0.044670820236206055,0.05165024598439535,0.05200398763020833,5.295344938834509e-07,-9.889093538125356e-08,-0.8552083333333333,-3.7963541666666667,0.001221198836962382,3.330272932847341e-05,489.16953125,571.775,1508450.6313720704,2680265634.133333,2752198161.0666666,2659741.95,2679200238.9333334,2753706496.0,0.2662862141927083
102,-1.4453763326009115,-0.43397115071614584,291.13208770751953,294.6552327473958,9.752064943313599e-05,0.048139214515686035,0.0520262877146403,0.040259138743082686,-2.9480239997307458e-08,-9.676441550254822e-08,-62.92890625,-7.678043619791667,-0.0004799932241439819,-8.124237259229025e-06,-49.34296875,-148.70546875,1344042.5542480468,2683220300.8,2757996253.866667,2662816.8666666667,2682565444.266667,2759340680.5333333,0.08413238525390625
103,-1.9943433125813803,0.41452662150065106,291.3271998087565,294.5896601359049,0.00012127123773097992,0.02698381741841634,0.04998238086700439,0.015794722239176433,7.20980460755527e-07,1.309749980767568e-07,-190.9390625,-12.060107421875,-0.0013751218716303508,-9.931003053983053e-06,-319.41380208333334,-552.1338541666667,1170640.2436442056,2687633783.4666667,2764253175.4666667,2667180.533333333,2687122986.6666665,2765424580.266667,-0.04386774698893229
104,-1.4860504150390625,1.4953203837076823,291.2617650349935,294.4449147542318,7.599331438541412e-05,0.007107162475585937,0.061538139979044594,0.0055191357930501304,2.214568667113781e-07,2.4648228039344154e-07,-420.45286458333334,-14.463427734375,0.00018207232157389322,1.4410478373368581e-05,248.80911458333333,-152.35286458333334,1027773.2526367188,2689382528.0,2766303308.8,2669125.4916666667,2689101619.2,2767331473.0666666,0.034639231363932294
105,-0.9427101135253906,2.2374298095703127,291.4821024576823,294.5216817220052,7.13822121421496e-05,0.009138981501261393,0.06572490533192953,0.006542110443115234,-2.0445634921391805e-07,6.464232380191485e-07,-152.3265625,-13.38037109375,0.00035673876603444416,3.5881375273068744e-06,124.340625,-39.10885416666667,953876.0852864584,2689072068.266667,2767058858.6666665,2668851.275,2688928128.0,2768012654.9333334,0.057550048828125
106,-0.38966903686523435,2.57108891805013,291.629931640625,294.60988260904946,9.245847662289938e-05,0.009142303466796875,0.06561052004496257,0.020259730021158853,-5.620434725036224e-08,7.192914684613546e-07,-53.00234375,-15.33828125,-9.267727533976236e-05,-3.250439961751302e-06,-84.42578125,-159.15598958333334,932495.9360270182,2687423675.733333,2765702502.4,2667217.691666667,2687313211.733333,2766634589.866667,-0.00196380615234375
