,wind10
0,13.004378318786621
1,14.40285873413086
2,14.798824310302734
3,14.682913780212402
4,15.295402526855469
5,15.203256607055664
6,14.908051490783691
7,16.201465606689453
8,15.477609634399414
9,16.415283203125
10,15.745241165161133
11,15.553972244262695
12,15.520401000976562
13,14.306952476501465
14,14.693342208862305
15,14.17591381072998
16,15.289482116699219
17,16.509920120239258
18,16.739633560180664
19,15.373966217041016
20,15.03178882598877
21,14.423562049865723
22,14.443239212036133
23,15.496820449829102
24,13.799347877502441
25,13.36106014251709
26,14.186219215393066
27,16.15149688720703
28,16.65260887145996
29,15.802088737487793
30,14.692832946777344
31,16.827123641967773
32,15.924269676208496
33,17.68708610534668
34,17.07038116455078
35,16.501333236694336
36,16.459253311157227
37,16.846641540527344
38,18.453500747680664
39,20.144554138183594
40,19.968040466308594
41,20.495214462280273
42,19.833887100219727
43,20.913021087646484
44,19.644315719604492
45,20.06876564025879
46,18.29327964782715
47,18.061874389648438
48,16.35025978088379
49,16.1220645904541
50,15.691991806030273
51,15.235067367553711
52,14.788975715637207
53,15.55385971069336
54,15.091551780700684
55,15.049657821655273
56,14.368127822875977
57,14.739431381225586
58,14.37643051147461
59,14.615283966064453
60,14.099685668945312
61,14.477887153625488
62,14.91932201385498
63,15.231778144836426
64,15.69672966003418
65,15.561331748962402
66,15.947863578796387
67,16.537805557250977
68,16.66303253173828
69,17.39543342590332
70,17.41229820251465
71,18.683853149414062
72,18.828577041625977
73,17.51620864868164
74,16.778907775878906
