,outcape,outinst_10m_wnd_gst,outinst_moisture_flux,outinst_ssh_flux,outsurfmean_swr_flux,outsurfmean_lhf,outsurfmean_lwr_flux,outsurfmean_shf,outdwnwrdmean_swr_flux,outtopmean_lwr_flux,outtopmean_swr_flux,outvimean_moisture_div,outsurf_lhf,outsurf_shf,outtot_suprcool_liqwtr,outtot_wtr_vpr
0,534.6646484375,7.415646879499158,-5.479307728819549e-05,-12.690067545572917,390.0035115559896,-134.00804036458334,-46.762394205729166,-14.3406005859375,1264.1891276041667,-229.8989054361979,893.2482503255209,-5.931171278158824e-05,-482429.73333333334,-51626.53333333333,0.05717755158742269,52.6328493754069
1,592.3466796875,7.349161417782307,-5.5036627842734256e-05,-12.242069498697917,358.2228963216146,-133.72406412760418,-47.32677307128906,-13.480802408854167,1174.7066243489583,-228.84920450846354,817.2486328125,-4.7227429846922556e-05,-481407.11666666664,-48530.51666666667,0.05904548168182373,52.67078374226888
2,638.4922200520833,7.388645197202762,-5.311359806607167e-05,-11.754890950520833,77.85694986979166,-128.33480224609374,-46.151556396484374,-12.52996826171875,423.95476888020835,-224.12982584635418,248.19510904947916,-4.862751811742783e-05,-462005.2,-45107.63333333333,0.060518431663513186,52.64228261311849
3,700.7338541666667,7.623589769999186,-5.116508691571653e-05,-12.17679443359375,0.0,-131.2776611328125,-46.079097493489584,-12.370121256510417,0.0,-225.42598470052084,0.0,-4.588148246208827e-05,-472598.9,-44532.666666666664,0.05112917423248291,52.70027135213216
4,636.6001302083333,7.618163617451986,-5.301456161153813e-05,-15.29388427734375,0.0,-128.76187744140626,-45.38968302408854,-13.771818033854167,0.0,-222.506201171875,0.0,-5.685128271579742e-05,-463543.05,-49578.46666666667,0.057386255264282225,52.85866775512695
5,720.3270182291667,7.620582812651992,-5.321659846231341e-05,-16.662642415364584,0.0,-129.43859049479167,-46.595330810546876,-15.504805501302084,0.0,-220.9628682454427,0.0,-2.8945567707220712e-05,-465978.8333333333,-55818.0,0.0633489449818929,52.37024154663086
6,723.7247721354166,7.54022733848542,-5.486954469233751e-05,-15.607975260416667,0.0,-131.7180419921875,-46.97032063802083,-14.89114990234375,0.0,-225.2716288248698,0.0,-6.3943987091382345e-06,-474185.35,-53608.01666666667,0.05531773567199707,51.791527557373044
7,691.3857421875,7.751865360575418,-5.4037953183675806e-05,-13.013798014322917,139.9005859375,-137.0259236653646,-46.829793294270836,-13.538138834635417,602.56787109375,-223.71529744466145,388.6451171875,-7.840494314829508e-06,-493293.3,-48738.05,0.04244730472564697,51.37651697794596
8,622.3915326763486,7.619806914903316,-5.3329863034853425e-05,-11.390926883428424,419.497252658195,-135.42963684841806,-48.29748585807832,-12.503075564056017,1247.5639830783196,-228.77717761281122,919.4926737551867,-4.826517025959442e-05,-487546.95435684646,-45011.04564315353,0.04247131189370056,51.74751414698684
9,686.2299479166667,7.391951368407657,-5.255813205925127e-05,-11.78026123046875,394.0303019205729,-131.78478190104167,-48.087694295247395,-12.74102783203125,1199.0596516927083,-225.79627482096353,874.4166341145833,-6.203024337689081e-05,-474425.38333333336,-45868.15,0.04751209417978922,51.76570383707682
10,789.4124348958334,7.514299544878304,-5.124005450246235e-05,-10.980428059895834,98.74312337239583,-126.44093424479166,-46.6953125,-11.560355631510417,485.58271484375,-223.55027669270834,299.39557291666665,-7.784149299065272e-05,-455186.88333333336,-41617.166666666664,0.05209806760152181,52.1056396484375
11,868.4787760416667,7.518148291483522,-4.9583961178238194e-05,-10.76248779296875,0.0,-125.77413736979166,-44.442299397786456,-10.750565592447916,0.0,-224.17121378580728,0.0,-3.2796462376912436e-05,-452787.3,-38701.88333333333,0.04210808277130127,52.260050455729164
12,816.7078125,7.483038899923364,-5.0293970465039216e-05,-12.356290690104167,0.0,-122.2484375,-45.76065470377604,-11.731437174479167,0.0,-224.96562703450522,0.0,-1.856920619805654e-05,-440094.7,-42232.71666666667,0.0368826150894165,52.661940511067705
13,918.7650390625,7.520096205702672,-5.115431267768145e-05,-14.912251790364584,0.0,-121.32073974609375,-46.75077718098958,-14.237845865885417,0.0,-225.50594278971354,0.0,-1.4826965828736624e-05,-436754.56666666665,-51256.933333333334,0.03372805118560791,52.55335693359375
14,908.9412109375,7.54236427731812,-5.292489270990093e-05,-16.177726236979165,0.0,-122.23637288411459,-48.891361490885416,-14.947314453125,0.0,-231.18746744791667,0.0,-2.7081618706385296e-05,-440050.3,-53809.833333333336,0.03304807345072428,52.46196314493815
15,869.1975911458334,8.242022971933087,-5.47960235659654e-05,-15.821748860677083,133.66514892578124,-137.55205485026042,-48.414198811848955,-16.575138346354166,533.250390625,-228.478173828125,354.668798828125,-5.055622508128484e-05,-495187.4666666667,-59670.683333333334,0.030270942052205405,52.62462615966797
16,849.7994140625,8.333823920786381,-5.935536270650725e-05,-13.661844889322916,467.7919474283854,-140.91497395833332,-48.39399820963542,-15.74072265625,1220.1002848307292,-231.39741007486978,951.5438232421875,-4.3071061372756955e-05,-507293.98333333334,-56665.9,0.027346722284952798,53.05106684366862
17,870.62041015625,8.39431749979655,-5.9777758239458004e-05,-13.78099365234375,481.9732381184896,-142.18661295572917,-48.172263590494794,-15.83875732421875,1229.65654296875,-230.3667256673177,964.579541015625,-2.879028518994649e-05,-511871.68333333335,-57018.1,0.027341341972351073,53.21440709431966
18,942.6288411458333,8.454020539981624,-5.7300678842390575e-05,-12.281730143229167,149.91142985026042,-136.70179850260416,-46.73405354817708,-13.89742431640625,557.7175211588542,-227.90928344726564,379.6149007161458,-2.284261087576548e-05,-492126.88333333336,-50030.71666666667,0.028903508186340333,53.44661331176758
19,1080.12890625,8.801495567026238,-5.522382950099806e-05,-11.657267252604166,0.0,-139.99512125651043,-44.88069458007813,-11.68721923828125,0.0,-229.52122802734374,0.0,-1.694659392038981e-05,-503982.4166666667,-42073.9,0.020452499389648438,53.86089324951172
20,1030.18564453125,8.854064035788179,-5.7089233693356314e-05,-12.502347819010417,0.0,-137.27401123046874,-46.53158365885417,-12.64927978515625,0.0,-232.39044596354168,0.0,-3.6963572104771933e-06,-494186.51666666666,-45537.666666666664,0.017012262344360353,53.98619079589844
