,mslp
0,100458.8125
1,100475.5
2,100633.5625
3,100570.9375
4,100364.4375
5,100453.5
6,100652.8125
7,100619.1875
8,100447.5625
9,100483.75
10,100576.8125
11,100568.75
12,100311.0625
13,100293.125
14,100506.875
15,100476.9375
16,100308.875
17,100287.625
18,100382.75
19,100313.0625
20,100071.75
21,100074.375
22,100024.1875
23,100129.375
24,99812.4375
25,99799.4375
26,100099.3125
27,100152.875
28,99863.0
29,99842.5
30,100014.125
31,100000.3125
32,99803.25
33,99750.5625
34,100105.6875
35,100076.5625
36,99849.875
37,99854.75
38,100058.4375
39,100015.875
40,99801.625
41,99714.8125
42,99997.6875
43,100040.6875
44,99818.625
45,99790.5625
46,100085.375
47,100163.5625
48,100042.8125
49,100023.625
50,100082.0
51,100181.5625
52,100009.9375
53,99997.5625
54,100220.3125
55,100321.125
56,100211.625
57,100075.125
58,100260.75
59,100396.4375
60,100163.1875
61,100127.0625
62,100232.5
63,100421.625
64,100348.25
65,100276.5
66,100464.375
67,100685.125
68,100575.5
69,100497.5625
70,100665.625
