,outcape,outinst_10m_wnd_gst,outinst_moisture_flux,outinst_ssh_flux,outsurfmean_swr_flux,outsurfmean_lhf,outsurfmean_lwr_flux,outsurfmean_shf,outdwnwrdmean_swr_flux,outtopmean_lwr_flux,outtopmean_swr_flux,outvimean_moisture_div,outsurf_lhf,outsurf_shf,outtot_suprcool_liqwtr,outtot_wtr_vpr
0,512.806640625,8.184803110485275,-5.3083786042407155e-05,-11.066019694010416,238.13603515625,-129.0675252278646,-49.93777058919271,-13.053218587239583,722.3137369791667,-243.97838745117187,521.1812418619792,-0.00011339777459700902,-464642.88333333336,-46991.5,0.025206192334493,48.03642996450265
1,598.4335286458333,9.144361112825573,-5.5051684224357204e-05,-11.698909505208333,0.9229329427083334,-137.1119384765625,-49.13696492513021,-11.05733642578125,7.056111653645833,-246.14842936197917,4.7376220703125,-0.00010321605950593948,-493604.4,-39807.0,0.022428305943806966,48.384298544625445
2,587.6176432291667,9.780400317224364,-5.84180544440945e-05,-11.212239583333334,0.0,-144.882861328125,-48.10779825846354,-12.8677734375,0.0,-242.54131469726562,0.0,-6.54050459464391e-05,-521578.1666666667,-46323.85,0.01789357662200928,47.77093404134114
3,607.5117838541667,10.199706693273038,-6.119079189375043e-05,-13.930476888020833,0.0,-153.3672119140625,-49.543593343098955,-15.570308430989583,0.0,-238.5054484049479,0.0,-7.149341205755869e-05,-552122.55,-56052.23333333333,0.01844929059346517,47.65926396598419
4,647.4416493775933,10.328811225183772,-6.330871270559883e-05,-16.201761459413902,0.0,-157.1384692686722,-51.10480926640301,-17.3027759092972,0.0,-238.76925266629928,0.0,-7.073207143926027e-05,-565699.622406639,-62288.983402489626,0.018108549949044508,47.56287597125991
5,613.4253580729167,10.633234135992826,-6.533840011494856e-05,-15.710628255208333,2.299674479166667,-164.22242431640626,-51.00732625325521,-16.150703938802085,22.315779622395834,-239.9927714029948,12.656599934895834,-8.53688766558965e-05,-591201.1666666666,-58142.26666666667,0.013403487205505372,47.67247060139974
6,509.06246758298755,10.704906295443966,-6.728557506537537e-05,-11.878808998962656,276.63220873314316,-166.6201222526582,-50.020977795866024,-14.27840135503112,785.3863216415975,-238.58270592907158,582.3710289159751,-9.389325234405233e-05,-599831.580912863,-51402.24481327801,0.012045452703578837,47.879564641422256
7,560.2673502604167,10.263856459408998,-6.500656406084696e-05,-10.86187744140625,481.14771321614586,-162.9649210611979,-49.079201253255206,-12.73140869140625,1165.2177490234376,-238.3438456217448,920.4323486328125,-9.621766706307729e-05,-586674.0666666667,-45832.45,0.008769353230794271,48.44867858886719
8,592.2601888020833,9.756340853838871,-6.084083579480648e-05,-10.116031901041667,298.3632080078125,-151.40774332682292,-48.79025675455729,-11.5363525390625,821.0418538411458,-236.48103841145834,613.5833089192708,-8.053295314311982e-05,-545069.15,-41530.51666666667,0.00999900499979655,48.87962799072265
9,632.9437174479167,9.869627122891446,-5.8405320548142e-05,-10.31552734375,6.886686197916666,-145.3342529296875,-48.599814860026044,-9.5148681640625,36.861002604166664,-243.55845743815104,25.117350260416668,-4.922784864902496e-05,-523202.61666666664,-34253.1,0.008584419886271158,49.256649271647134
10,620.9816080729166,10.3360886712869,-5.965730136570831e-05,-10.621183268229167,0.0,-147.05935872395833,-47.55883992513021,-10.862109375,0.0,-244.913818359375,0.0,-2.8913716475168862e-05,-529414.0,-39102.333333333336,0.011217061678568523,49.43707453409831
11,701.4939778645834,10.383348611866435,-5.9376360150054096e-05,-12.986507161458333,0.0,-146.5518310546875,-47.742513020833336,-12.56883544921875,0.0,-246.1678914388021,0.0,-4.957430064678192e-05,-527586.4333333333,-45247.4,0.01535792350769043,49.838707733154294
12,699.139453125,10.183157285054525,-5.950920361404618e-05,-14.724820963541667,0.0,-143.4266153971354,-47.871012369791664,-14.142578125,0.0,-244.8717020670573,0.0,-7.928125560283661e-05,-516335.63333333336,-50913.86666666667,0.018369174003601073,49.72938893636068
