,wind10
0,9.534329414367676
1,10.851483345031738
2,11.625821113586426
3,12.394550323486328
4,12.540151596069336
5,12.270955085754395
6,12.964207649230957
7,12.85205364227295
8,12.650925636291504
9,12.473973274230957
10,13.369804382324219
11,14.189557075500488
12,15.020821571350098
13,13.652016639709473
14,14.400683403015137
15,15.196769714355469
16,16.4948787689209
17,16.97992706298828
18,17.931991577148438
19,17.893945693969727
20,16.61567497253418
21,17.29282569885254
22,18.392948150634766
23,17.69757080078125
24,17.97735595703125
25,17.972755432128906
26,17.772064208984375
27,18.122663497924805
28,17.79836654663086
29,17.773052215576172
30,18.23838233947754
31,18.245403289794922
32,17.266653060913086
33,17.75727081298828
34,18.237077713012695
35,20.165342330932617
36,19.219226837158203
37,19.199079513549805
38,20.38813018798828
39,20.17399024963379
40,20.32550048828125
41,21.294902801513672
42,20.98206901550293
43,22.33092498779297
44,22.22296142578125
45,21.02598762512207
46,23.261188507080078
47,23.880451202392578
48,22.94540023803711
49,23.803091049194336
50,21.56308364868164
51,22.04864501953125
52,20.43134307861328
53,20.68603515625
54,20.65996742248535
55,19.87286376953125
56,19.228511810302734
57,18.558013916015625
58,16.464204788208008
59,15.85783576965332
60,16.577058792114258
61,15.95777702331543
62,15.602075576782227
63,16.233020782470703
64,14.818434715270996
65,15.002840995788574
66,15.381128311157227
67,15.70555305480957
68,15.425690650939941
69,15.31524658203125
70,14.67928695678711
71,15.429015159606934
72,14.8816499710083
73,14.96560001373291
74,14.782943725585938
75,15.927494049072266
76,16.303442001342773
77,15.854785919189453
78,15.538790702819824
79,15.188528060913086
80,14.83629322052002
81,14.638039588928223
82,12.719193458557129
83,12.979867935180664
84,14.20682144165039
