,mslp
0,100455.5
1,100483.5
2,100576.625
3,100399.5625
4,100246.625
5,100328.8125
6,100495.9375
7,100360.4375
8,100243.4375
9,100334.0
10,100326.6875
11,100108.5
12,99984.9375
13,100049.0625
14,100076.6875
15,99994.6875
16,99852.875
17,99907.0
18,99843.5
19,99713.9375
20,99553.625
21,99610.3125
22,99675.8125
23,99611.0625
24,99518.0625
25,99501.1875
26,99537.25
27,99415.5625
28,99226.25
29,99185.1875
30,99191.1875
31,99129.1875
32,98999.875
33,98986.125
34,98925.9375
35,98879.0
36,98720.25
37,98658.375
38,98672.1875
39,98647.1875
40,98463.25
41,98399.0
42,98010.3125
43,97808.9375
44,97488.6875
45,97214.625
46,97091.8125
47,96981.125
48,96887.75
49,96868.1875
50,96891.9375
51,96921.0
52,96772.6875
53,96842.8125
54,96886.6875
55,97117.5
56,97167.6875
57,97385.125
58,97549.0
59,97847.1875
60,97851.0625
61,97902.375
62,98394.0625
63,98567.6875
64,98604.25
65,98755.5
66,98983.4375
67,99032.125
68,98979.9375
69,99016.375
70,99188.6875
71,99333.0625
72,99235.25
73,99184.875
74,99355.875
75,99478.375
76,99363.8125
77,99331.875
78,99457.0
79,99618.875
80,99484.4375
81,99461.125
82,99515.75
83,99595.375
84,99470.625
85,99431.5625
86,99541.625
87,99700.625
88,99572.9375
89,99447.8125
90,99582.1875
91,99596.375
92,99371.9375
93,99252.125
94,99520.625
95,99686.8125
96,99512.8125
97,99372.25
98,99615.5625
99,99732.0
100,99632.9375
101,99628.5625
102,99804.375
103,100025.875
104,100027.0625
105,99971.625
106,100134.375
