,wind10
0,14.739413261413574
1,14.521891593933105
2,15.833898544311523
3,15.556296348571777
4,14.812582015991211
5,14.997819900512695
6,15.750406265258789
7,16.04819679260254
8,16.146976470947266
9,16.9716796875
10,18.208415985107422
11,18.081375122070312
12,16.323795318603516
13,15.988265037536621
14,16.830326080322266
15,16.57517433166504
16,15.856365203857422
17,16.56630516052246
18,16.442371368408203
19,17.217798233032227
20,16.749242782592773
21,17.93110466003418
22,18.710050582885742
23,18.593852996826172
24,20.387027740478516
25,21.67388343811035
26,21.7581729888916
27,21.05423927307129
28,19.53301239013672
29,18.569242477416992
30,18.538959503173828
31,19.26405143737793
32,18.178592681884766
33,18.580739974975586
34,19.46495246887207
35,19.7623348236084
36,20.778654098510742
37,19.770517349243164
38,21.222667694091797
39,20.983884811401367
40,22.24724578857422
41,23.557344436645508
42,25.052600860595703
43,23.953126907348633
44,24.83389663696289
45,26.501150131225586
46,25.979127883911133
47,28.201831817626953
48,28.6947021484375
49,30.62092399597168
50,31.901403427124023
51,32.64051055908203
52,29.626480102539062
53,26.149477005004883
54,21.275362014770508
55,18.4470272064209
56,15.454401969909668
57,14.484639167785645
58,12.708138465881348
59,12.678460121154785
60,11.298308372497559
61,11.182626724243164
62,10.29426383972168
63,10.106284141540527
64,9.806074142456055
65,10.421772003173828
66,11.391021728515625
67,11.32992172241211
68,9.975238800048828
69,9.682516098022461
70,9.71757698059082
71,9.347272872924805
72,8.925148010253906
73,8.500595092773438
74,8.092036247253418
