,wind10
0,10.289836883544922
1,9.759598731994629
2,9.95297622680664
3,10.174773216247559
4,11.517945289611816
5,10.42603874206543
6,10.826254844665527
7,9.79134464263916
8,10.15257740020752
9,10.39222240447998
10,10.95783805847168
11,12.16584300994873
12,12.16224479675293
13,12.374455451965332
14,13.226884841918945
15,13.273326873779297
16,13.957510948181152
17,14.311043739318848
18,13.960553169250488
19,13.70761775970459
20,13.339003562927246
21,14.325665473937988
22,15.559087753295898
23,16.41836929321289
24,15.423362731933594
25,15.274784088134766
26,16.10556411743164
27,16.758020401000977
28,16.735057830810547
29,17.4500732421875
30,19.665407180786133
31,19.8813419342041
32,19.43825340270996
33,20.507144927978516
34,21.020078659057617
35,20.39488983154297
36,19.40970230102539
37,19.78042984008789
38,19.963788986206055
39,18.65605354309082
40,19.291288375854492
41,20.9416446685791
42,21.106714248657227
43,21.344568252563477
44,20.632429122924805
45,21.73249626159668
46,21.20820426940918
47,21.970027923583984
48,20.97770118713379
49,18.981842041015625
50,18.71086883544922
51,19.837825775146484
52,20.718168258666992
53,22.90306854248047
54,23.2846736907959
55,21.50560188293457
56,21.13988494873047
57,20.2104549407959
58,20.87917709350586
59,22.493515014648438
60,24.419782638549805
61,24.357009887695312
62,21.735137939453125
