,cape,inst_10m_wnd_gst,inst_moisture_flux,inst_ssh_flux,surfmean_swr_flux,surfmean_lhf,surfmean_lwr_flux,surfmean_shf,dwnwrdmean_swr_flux,topmean_lwr_flux,topmean_swr_flux,vimean_moisture_div,surf_lhf,surf_shf,tot_suprcool_liqwtr,tot_wtr_vpr
0,690.84619140625,8.222887992858887,-5.62674249522388e-05,-24.647216796875,27.38421630859375,-142.4365234375,-35.266937255859375,-24.66162109375,985.0679931640625,-121.38702392578125,429.9246826171875,-0.0007046768441796303,-512767.0,-88780.5,0.15431249141693115,66.19009399414062
1,647.294921875,8.432889938354492,-5.961972055956721e-05,-25.6748046875,0.89813232421875,-147.1505126953125,-35.77996826171875,-25.73114013671875,133.03564453125,-131.52069091796875,43.00244140625,-0.0005974611267447472,-529740.25,-92632.5,0.19836735725402832,65.9255830347538
2,448.478515625,8.872101936489344,-6.174237933009863e-05,-24.3004150390625,0.0,-152.54620361328125,-36.560882568359375,-24.9527587890625,0.0,-131.66912841796875,0.0,-0.0003496762365102768,-549162.75,-89829.75,0.14217591285705566,64.44802856445312
3,543.8232421875,8.587759017944336,-5.802675150334835e-05,-23.420654296875,0.0,-146.4127197265625,-35.853607177734375,-22.1405029296875,0.0,-147.93508911132812,0.0,-0.00032976455986499786,-527083.5,-79707.0,0.1443188190460205,64.67069244384766
4,525.3759765625,8.633899448439479,-5.3832336561754346e-05,-23.0294189453125,0.0,-147.91156005859375,-34.858917236328125,-23.37603759765625,0.0,-157.55081176757812,0.0,-0.00028614047914743423,-532485.25,-84155.0,0.13308143615722656,64.57353083789349
5,497.2861328125,7.648000434041023,-5.214495467953384e-05,-19.218017578125,0.0,-132.43572998046875,-37.445220947265625,-20.584716796875,0.0,-159.84771728515625,0.0,-0.000249987468123436,-476766.0,-74105.5,0.09173941612243652,64.4688949584961
6,432.71142578125,7.5428993962705135,-5.9310958022251725e-05,-21.7646484375,43.541259765625,-129.8331298828125,-36.63728332519531,-18.412841796875,712.2196044921875,-160.78024291992188,328.9178466796875,-0.00020849239081144333,-467400.5,-66288.5,0.10708808898925781,65.63989952206612
7,495.1396484375,8.095048904418945,-6.357580423355103e-05,-24.15618896484375,171.1500244140625,-135.7601318359375,-37.322509765625,-19.88421630859375,1225.2811279296875,-174.28594970703125,719.0289306640625,-0.00016530975699424744,-488737.75,-71583.25,0.10025453567504883,65.53089904785156
8,462.64208984375,8.490870475769043,-6.695260526612401e-05,-27.4840087890625,106.427001953125,-144.473876953125,-36.990570068359375,-22.3875732421875,993.3319091796875,-174.50869750976562,537.2811279296875,-0.000163322314620018,-520102.75,-80593.25,0.08842003345489502,65.75644758343697
9,425.5458984375,10.106963047757745,-6.550262332893908e-05,-25.279052734375,6.3841552734375,-165.84490966796875,-38.895904541015625,-25.359619140625,150.160888671875,-173.7940673828125,62.5538330078125,-0.0001991530880331993,-597036.0,-91294.5,0.08831429481506348,66.05601501464844
