,wind10
0,12.63451862335205
1,12.1763277053833
2,10.99724006652832
3,11.378006935119629
4,11.341392517089844
5,11.248987197875977
6,11.39917278289795
7,11.507259368896484
8,12.596555709838867
9,14.172332763671875
10,14.208348274230957
11,14.067282676696777
12,13.10540771484375
13,12.349142074584961
14,10.810503959655762
15,10.305996894836426
16,10.5768404006958
17,11.093846321105957
18,11.801665306091309
19,12.315896987915039
20,12.441447257995605
21,12.372645378112793
22,12.625067710876465
23,11.780536651611328
24,12.61561107635498
25,12.808331489562988
26,12.959112167358398
27,12.514400482177734
28,12.20539379119873
29,12.900171279907227
30,12.112452507019043
31,12.378744125366211
32,12.540340423583984
33,13.492440223693848
34,13.972488403320312
35,14.14494514465332
36,13.317913055419922
37,12.817301750183105
38,12.314790725708008
39,13.137930870056152
40,13.532181739807129
41,13.41491413116455
42,13.392998695373535
43,13.347336769104004
44,12.54011058807373
45,12.80994987487793
46,13.033018112182617
47,12.613799095153809
48,12.533090591430664
49,12.989763259887695
50,13.93471908569336
51,13.421926498413086
52,12.878668785095215
53,13.513059616088867
54,12.360054969787598
55,12.871259689331055
56,14.205841064453125
57,14.903289794921875
58,15.367371559143066
59,15.197027206420898
60,15.978363037109375
61,16.5274715423584
62,16.839611053466797
63,18.56218910217285
64,18.8050479888916
65,19.568681716918945
66,19.739898681640625
67,20.21963119506836
68,20.756591796875
69,21.047876358032227
70,21.27469825744629
71,21.747983932495117
72,22.78057861328125
73,26.501150131225586
74,27.898347854614258
75,23.443923950195312
76,22.357114791870117
77,21.482025146484375
78,19.719478607177734
79,18.931203842163086
80,17.87544059753418
81,17.92340087890625
82,15.150197982788086
83,16.47408103942871
84,15.968147277832031
85,16.29010581970215
86,16.550113677978516
87,16.19516944885254
88,14.686412811279297
89,14.579466819763184
90,14.123404502868652
91,13.492900848388672
92,13.928993225097656
93,13.187559127807617
94,11.824689865112305
95,12.06567096710205
96,11.241852760314941
97,11.850889205932617
98,11.819632530212402
99,11.929902076721191
100,12.15806770324707
