,mslp
0,100713.6875
1,100821.0
2,100625.9375
3,100511.375
4,100683.5625
5,100774.125
6,100676.6875
7,100569.75
8,100713.625
9,100745.625
10,100552.25
11,100423.125
12,100609.9375
13,100706.5
14,100571.5625
15,100450.625
16,100611.0
17,100660.0625
18,100483.3125
19,100389.5
20,100495.6875
21,100566.4375
22,100460.4375
23,100378.375
24,100493.4375
25,100526.375
26,100342.3125
27,100244.75
28,100347.5
29,100470.375
30,100320.4375
31,100218.8125
32,100142.375
33,100237.6875
34,100086.6875
35,100025.25
36,99978.875
37,100117.25
38,99972.5625
39,99894.25
40,100014.1875
41,100117.4375
42,99938.9375
43,99871.6875
44,100135.6875
45,100227.8125
46,100147.3125
47,100156.5625
48,100244.8125
49,100422.5625
50,100297.125
51,100282.5
52,100424.75
53,100507.5625
54,100345.75
55,100269.0625
56,100564.5625
57,100748.3125
58,100699.125
