,wind10
0,10.133606910705566
1,10.331918716430664
2,10.960528373718262
3,12.207145690917969
4,12.633401870727539
5,13.171913146972656
6,13.055745124816895
7,13.193008422851562
8,11.90929126739502
9,13.795926094055176
10,13.871828079223633
11,14.138412475585938
12,13.049753189086914
13,12.104060173034668
14,11.747366905212402
15,12.297986030578613
16,12.227848052978516
17,11.39197063446045
18,11.78971004486084
19,12.457377433776855
20,12.5905122756958
21,12.835546493530273
22,14.450785636901855
23,15.349943161010742
24,16.60179328918457
25,16.15236473083496
26,17.23124885559082
27,17.600793838500977
28,18.24433135986328
29,18.072433471679688
30,18.256040573120117
31,18.028793334960938
32,19.128931045532227
33,20.18451499938965
34,20.203927993774414
35,20.21317481994629
36,20.94322967529297
37,21.619070053100586
38,22.36744499206543
39,23.009227752685547
40,23.241025924682617
41,22.961265563964844
42,24.13231658935547
43,25.412464141845703
44,24.473854064941406
45,25.892839431762695
46,26.865718841552734
47,27.788257598876953
48,26.908353805541992
49,27.460376739501953
50,26.699844360351562
51,27.901689529418945
52,26.94561767578125
53,25.548362731933594
54,23.28530502319336
55,23.122583389282227
56,23.8654842376709
57,23.493976593017578
58,23.35950469970703
59,23.264341354370117
60,24.21527862548828
61,25.26068878173828
62,25.742961883544922
63,25.081218719482422
64,27.439395904541016
65,27.143535614013672
66,28.061767578125
67,28.175203323364258
68,28.039695739746094
69,27.063322067260742
70,28.07311248779297
71,25.8775577545166
72,23.219579696655273
73,21.598255157470703
74,20.671253204345703
75,20.710792541503906
76,19.63037872314453
77,20.552499771118164
78,22.384883880615234
79,22.6696720123291
80,23.763534545898438
81,23.859294891357422
82,26.30799102783203
83,25.552120208740234
84,23.846940994262695
85,24.80527114868164
86,24.06463050842285
87,21.83871841430664
88,21.58134651184082
89,20.92168426513672
90,21.62865447998047
