,outeqt1000,outeqt200,outeqt250,outeqt300,outeqt400,outeqt500,outeqt600,outeqt700,outeqt800,outeqt850,outeqt925
0,345.66721210961913,350.1548632136654,348.4326558036616,346.635294963329,342.4823084842423,338.152677263718,335.05308747650054,335.37822940980453,337.49789014439017,339.1260144366513,342.7269935848342
1,345.35853320461564,350.2011854691718,348.39928721951793,346.601468876817,342.3758419231091,338.40882538977314,335.00132156848576,335.0618504716428,337.10082040946594,338.5637602108543,342.4375210791655
2,344.7215473606906,350.9708713908201,348.8307255753185,346.78376424921987,342.6627316112607,338.82776246559035,334.93964117445285,334.57427377944674,336.3598366658286,337.8973616767153,342.02342435305826
3,345.10431834677433,351.4569249079556,349.4078334582105,347.1767283311339,342.97682230012083,339.0913312913998,334.67862126299235,334.21236365644876,336.46867067405196,338.00697907913843,342.1501246118399
4,345.12646453664524,351.5710117527829,349.7059395658626,347.4654537040003,342.92364253718716,338.9218756118063,334.3832358693499,333.57122861190635,336.15030734206414,337.7676972047508,341.88062103382714
5,344.9613133950427,351.08289600194587,349.44773649677484,347.36963894979766,342.74486384089903,338.64613831814495,334.24396526758795,333.2932656263058,335.98123273969594,337.8056977591857,341.84383712041455
6,344.28043262250446,350.64939596019417,349.11286604351244,347.0687688039196,342.4650529019343,338.4381717839673,333.60561273663853,333.1709575437024,335.4680689614723,337.6442100419412,341.19744847238144
7,344.10413726057635,350.1205850499634,348.7747622113162,346.9108382855214,342.33783539485484,338.33458543675334,333.5376453201843,332.86956742258104,335.69757170567937,337.59807306172576,340.872159445916
8,343.98953865314786,349.85628210819016,348.4829360399461,346.770618226706,342.19069555933777,338.22705480857684,333.69841977310494,332.69548853145426,335.7378476804699,337.4909219087855,340.36923676773233
9,343.52135013849596,349.7691073302081,348.31112563450125,346.72424431726455,342.1079476687166,338.21249474111926,334.0702925869659,332.23883157738595,335.2554034631533,336.99668053609537,339.71427596866585
10,343.05997259548184,350.36981828867596,348.53726265074863,346.8989098901902,342.09852698939903,338.25401213553346,334.26132743216925,332.35031587256714,335.06114542629876,336.80958790724605,339.8244275165978
11,343.5773852200331,350.8165140688671,348.84355075853637,347.0858651404012,342.2538156622971,338.3654934122465,334.5462441352148,332.6896722732958,335.5491586849836,337.0543258304472,340.44205097941784
12,343.9684042466423,351.113912004964,349.05758335101274,347.1381760030095,342.29205370547794,338.1310402842075,334.8125339959976,332.788766880112,335.6621980196965,337.0741538748589,340.8330378139573
13,343.9729502603248,350.84122709243644,349.0227604932707,346.9795173919774,342.0610364440752,337.83958925671675,334.7684067297541,332.6085181980103,335.69721337204595,337.2358659722652,340.8114397148375
14,343.5133302075611,350.7001398801459,348.9322066078159,346.8613931433939,341.8740897510854,337.6946070051119,335.25874108082303,333.5661389285489,336.37509161054635,337.712257337438,340.7410198336459
15,343.81232672776315,350.5091595512201,348.72921504447396,346.76883214407735,341.8408478770354,337.69629341032197,335.1992727261692,333.46731072553,336.25205254228786,337.5991311707597,340.63281321922074
16,344.02395586826253,350.42666097191056,348.5809209754292,346.75157265564917,342.00042433598304,337.67597977598115,335.13761338326714,333.36111390812965,335.9793436852555,337.42998296143764,340.38369782945034
17,343.88116564877976,350.32600060655295,348.62136389718955,346.7109724380773,342.1504962338068,337.7416319260684,335.1357726409337,333.20986997806574,335.84430073568484,337.349901422057,340.4484458799453
18,343.47768527424626,350.8275056654675,349.19746987162483,346.99416739811517,342.39523088617375,337.88266414274824,335.5342405068724,333.39267617461866,335.46181315544806,337.18863579318764,340.63069832572205
19,344.00635250694904,351.45684131440464,349.511560564685,346.9648767918399,342.39888269248553,337.87713434683064,335.39098818054964,333.28853323366906,335.8300887611834,337.91305780562544,341.3013016024245
20,344.3347537037702,351.7678290860977,349.67063476325313,346.9595809860529,342.2937052317576,337.8241654208536,335.22128424764753,333.14791125962387,336.1444063616661,338.3791942667439,341.8352434516621
21,344.1112594358684,351.4085581744027,349.41953608521294,346.76399567395373,342.1140278637761,337.74464428584105,335.0146064425089,332.7992970618159,335.78837958399475,338.02393036692905,341.58031380101795
22,343.49083009926954,350.7306269509241,349.045888122565,346.54005433530176,341.87490801669526,337.6666258477323,335.24121490630773,332.842057526883,335.2266218345106,337.387454968402,340.84571502141165
23,343.40983230956203,350.4830448968699,348.8317617965915,346.3758398128356,341.75521796119637,337.7232265414642,334.9962056086137,332.81369437055605,335.20667292100273,337.24000295017856,340.60948701723896
24,343.100365479495,350.4085531217293,348.65905449322383,346.19305580163456,341.39353965975545,337.3388975359824,334.45530195106136,332.5928846349413,335.09595997001963,336.9695429672792,339.98361550331094
25,342.824110366312,350.31364921750526,348.50808640463794,346.0825024342556,341.10951332763517,337.0239301694563,334.08860607190826,332.53436233761505,334.8196911320095,336.92306001087934,339.8406807406889
26,342.57015415882506,351.0960351075357,348.8382463745547,346.2265023052212,340.7347758832217,336.98102870669396,333.9667319832266,332.3590753933123,334.17643859207146,336.24465722463907,339.3839853348531
27,342.42249341069044,351.46749652960915,348.99749855547503,346.2717283033272,340.7758637462853,336.8995503686975,333.97730762330076,332.09873841341397,334.34349551950277,336.21157191526106,339.53361081250563
28,342.1738514104896,351.66899181369433,349.1384197087573,346.1975887034731,340.77490166484966,336.8476898252597,334.20828677858333,332.33531091157806,334.13645010130216,335.8652566471203,339.10847546612683
29,341.82980055592566,351.3693663358066,348.82462312154297,345.87186488614924,340.7058184879062,336.72409208759905,334.23055921337556,332.3971796497996,334.15944149431454,335.56273391042447,338.64797250553966
30,341.84194503814246,351.41331646177724,348.6641971931182,345.4836864609237,340.6579386582326,336.92630820829834,334.48459861365825,332.9031823714329,334.0445872798753,335.53643562286624,338.3059580781752
31,341.67395781225775,351.2854568991357,348.363949068778,345.2274540246615,340.8356042724002,336.77838017536953,334.1717140047765,333.1369338770772,333.98833495187495,335.492773166798,337.9569260287591
32,340.9422610506193,351.14819082751796,348.03005231326216,344.9178135747981,340.87237986533717,336.57004827427824,333.91849529219246,333.04390521909784,333.5465317219758,334.97365115107925,337.2169055747621
33,339.75896525586506,350.88228655274304,347.8559795928182,344.72251532136056,340.64319484564174,336.27931095035353,333.8127144829558,332.5368007346761,332.8649361479135,334.0531264089493,336.0995032644609
34,337.9705209028982,351.31267343488554,348.23749252465973,344.9069826163496,340.84028748045745,336.2588427631136,332.9848147359356,331.2375166321205,331.559857461291,332.6152870342468,334.4716510076037
35,336.83406919233613,351.31771195064186,348.1760342795661,345.0601208189641,340.628701456527,335.9980583413622,332.20987440835887,330.3057459512832,330.8190082751635,331.5614399247474,333.3000033569442
36,334.37165303201414,351.5609677458886,348.1605605086921,345.00001774417836,340.09291120076057,335.02448005670607,330.9204151353402,329.0410862015035,329.72576764622727,330.2669352443785,331.23445305812805
37,332.7939028419849,351.766573185569,348.1390221802533,344.7097838802812,339.2856104164224,333.8308321404914,329.77641990657503,328.0712137461903,328.5629218181472,328.99017953252593,329.7969179013367
38,330.32706711997713,351.58481906188496,347.96733176799415,344.4225592941721,338.76332714259144,332.8400494923289,328.58491855122094,326.7986606274742,327.0614643339407,327.2329341084415,327.63721346209275
39,328.31982119484803,351.6108562178537,347.94752481728153,344.23103457790705,337.7961367142354,331.8757687960237,327.6421978370441,326.0290642605026,325.7538598987473,325.59357168526475,325.8041124879293
40,326.2588087685705,351.424245496731,347.885320576325,344.16114584784424,336.5994892741595,330.95417956259837,326.4225477578896,324.89090758167566,324.59144937806815,323.86655346434856,323.8729137818929
41,324.07124893141406,351.39952571560394,347.24192746655757,343.5116386830475,335.440146331554,329.5287292631258,325.1622167004985,323.67417805316387,323.17055205656015,322.1188588189516,321.8621293638492
42,323.2500855798458,352.12094601625756,347.3133911079305,342.9036494031448,334.4248979634605,328.3506216466779,324.9099451829297,323.1360163275379,322.43952726173325,321.3906167257183,321.1455134739151
43,323.364030494413,352.5517893161083,347.1645044007134,342.3808801557564,333.74057567007543,327.6702831894584,324.3974471696529,322.25971343063185,321.85327871791486,320.9531490446274,321.3194582090273
44,322.99777479476825,352.9373700890418,347.28539260296543,341.8216219714069,333.3885699594331,327.18176257011254,323.49165375879954,321.6039409691111,320.97468790675373,320.16235564000544,320.9077795187588
45,322.51904559109073,353.28445494711536,347.33128463977863,341.5955776438762,333.6912661279816,327.3758946181006,323.45646363779247,321.92592374974276,320.75336564718424,319.3702475592712,320.18031016648285
46,321.8642251125236,353.5215835711149,347.7058379470981,341.6989907145456,333.7717496467452,327.28314365560914,322.9820921565722,321.4090711692552,320.03417051400777,318.60080027421344,319.56715498589944
47,321.8663672101532,353.6738525803205,348.09608140355556,341.62266603632986,333.14566365502793,326.86669638927145,322.77982012650523,321.17095682525576,319.65399219876815,318.30847247308725,319.5882496873076
48,322.3154454431499,353.5213310090998,348.3501567585018,341.7807559421954,332.8472615505439,326.68821809728905,322.9922944344237,321.3081394093146,319.85612116368435,318.67290519510624,320.20773282958663
49,322.8665353614262,353.2469767980516,348.36906416073543,342.05028689417003,332.7484190915236,326.65624976333686,323.12027478602084,321.53921672172146,320.01854339130995,319.28080180623175,320.87112670772365
50,323.3208640913665,353.0404322493892,348.6601485264822,342.7022332198072,332.8150428389947,326.3613389887774,322.94181550290216,321.2403718770416,320.149571800759,319.72698344017266,321.4944285373965
51,325.3680290116415,352.78503130918824,348.6505070229395,343.2421560158239,333.13029490006494,326.7717927064858,323.7117397544638,322.0888185218615,321.5861821556052,321.79100895262724,323.4483232426672
52,326.5930487027521,352.7478652027442,348.57742453093243,343.45077111686714,333.38963017073576,326.6775382495796,324.0229778524872,322.4192989729008,322.0623797446084,322.62587008876073,324.7446816356083
