,temp_10,temp_20,temp_30,temp_50,temp_70,temp_100,temp_150,temp_200,temp_250,temp_300,temp_400,temp_500,temp_600,temp_700,temp_800,temp_850,temp_900,temp_925,temp_950,temp_975,temp_1000
0,231.1914291381836,221.1143913269043,218.55488204956055,210.2125701904297,200.5274314880371,195.4969596862793,206.2969970703125,222.7275619506836,235.74098205566406,246.0392723083496,260.5011177062988,269.6987953186035,276.3956604003906,283.7582092285156,289.0439453125,291.45509338378906,293.8635482788086,295.12449645996094,296.29163360595703,297.8239212036133,299.83873748779297
1,230.48046493530273,223.01903915405273,216.47546005249023,211.57504653930664,200.15018463134766,194.58003616333008,206.70697021484375,222.9010887145996,236.2662696838379,246.4377212524414,260.68792724609375,269.82920837402344,276.4662322998047,283.84230041503906,289.1062545776367,291.5870819091797,294.0082015991211,295.23536682128906,296.4504623413086,297.9382858276367,299.98046875
2,230.05596923828125,223.00018310546875,217.1011085510254,210.52108764648438,202.04507446289062,193.39464950561523,207.15573501586914,223.29302597045898,236.44018936157227,246.63859176635742,260.77951431274414,270.1586227416992,276.7833251953125,283.8979949951172,289.4747619628906,291.84368896484375,294.1395721435547,295.2627716064453,296.3852005004883,297.9630813598633,300.04437255859375
3,228.27034759521484,223.8425064086914,217.92448806762695,209.26264190673828,202.57904815673828,193.09488677978516,206.9835968017578,222.82234573364258,235.99795150756836,246.26275253295898,260.7614860534668,270.4432792663574,277.1430130004883,284.16590118408203,289.7366180419922,292.03170013427734,294.39715576171875,295.4961624145508,296.6284637451172,298.1678695678711,300.2659454345703
4,229.15984725952148,224.29056930541992,219.9120330810547,207.5123062133789,202.48455810546875,192.7565040588379,206.83095169067383,222.63129806518555,235.6433334350586,245.93128967285156,260.63196182250977,270.1059455871582,277.0108413696289,284.085205078125,289.5426483154297,291.9166564941406,294.22875213623047,295.37886810302734,296.48763275146484,297.9859313964844,300.00486755371094
5,231.06494903564453,222.61920928955078,220.91073989868164,207.58869552612305,201.92560195922852,192.43242263793945,206.65924453735352,222.39561462402344,235.41121292114258,245.97769927978516,260.6768455505371,270.0061454772949,276.5116195678711,283.8503189086914,289.2598190307617,291.68287658691406,294.0077667236328,295.20850372314453,296.2753219604492,297.65462493896484,299.63143157958984
6,231.37652969360352,220.51756286621094,218.5705223083496,210.30447006225586,200.68923568725586,192.31634902954102,206.79626083374023,223.2330780029297,236.30261611938477,246.40725326538086,260.66320419311523,269.86354064941406,277.0082092285156,284.1893615722656,289.3779602050781,291.6615905761719,294.00408935546875,295.17335510253906,296.23607635498047,297.6088333129883,299.6868209838867
7,233.89186096191406,220.3243865966797,218.09733200073242,210.9637222290039,200.67630767822266,193.66354751586914,207.18143844604492,223.53133010864258,236.06240844726562,245.97631454467773,260.4325981140137,270.0508270263672,277.0520477294922,284.1284484863281,289.23573303222656,291.5503692626953,293.96820068359375,295.16529083251953,296.1880645751953,297.3956985473633,299.4192810058594
8,234.81511306762695,220.2374382019043,218.07241821289062,211.15859603881836,199.70923614501953,193.85966110229492,207.70130920410156,223.68808364868164,236.1129608154297,246.02644729614258,260.56018829345703,270.1088562011719,276.8138198852539,284.1173858642578,289.3224105834961,291.63416290283203,293.9572982788086,295.1256103515625,296.1136169433594,297.38609313964844,299.43406677246094
9,233.3365821838379,220.62646484375,217.8469467163086,210.94662857055664,199.86432266235352,193.55772018432617,207.76072311401367,223.64429473876953,236.1653594970703,246.05991744995117,260.89281845092773,270.22056579589844,276.9612579345703,284.4468078613281,289.8539733886719,292.0747604370117,294.2840576171875,295.3646926879883,296.37957763671875,297.74312591552734,299.8378219604492
