,outeqt1000,outeqt200,outeqt250,outeqt300,outeqt400,outeqt500,outeqt600,outeqt700,outeqt800,outeqt850,outeqt925
0,345.56188320632856,348.90366221606564,347.09054250443324,344.4506648627465,339.57315566959034,335.35431047265166,332.1282617034658,333.59526242771074,337.10681175188455,338.69750949197214,342.2796924574232
1,345.5945343331991,349.03627265190323,347.1750703000004,344.5743290260067,339.6144824483273,335.2609273770253,332.18704930253574,333.35392287905927,336.8809617913058,338.65861683769066,342.33802388914063
2,345.6162397905715,349.18110921253884,347.0877860899205,344.4913003603741,339.68843067069116,335.3027930633247,332.6350128905537,333.5362777022527,336.991183756045,338.9377365879425,342.7234233953715
3,346.2630842708571,349.75184952603246,347.4257455805564,344.72252619968026,339.88376264631466,335.4763302218341,332.82924474177435,333.4225936513111,337.1154732624896,339.25867742493904,343.5377719353449
4,346.8364530826154,350.1046816797863,347.38567256644023,344.7039842065227,339.86517677881176,335.36191777600914,332.97969686394003,333.32359625655226,337.3270086762059,339.33039786025637,343.98301933052767
5,347.09196358963464,349.9409567619383,347.0889576912951,344.43306266349845,339.6708045176649,335.14188561310584,332.97331712505576,333.2157719808355,337.16613495503003,339.147873196397,343.8523412999213
6,346.39152457489274,349.3892553263208,346.68882676637594,344.3566099091307,339.3653733927261,334.81734359034,332.809914130802,333.607241281149,337.152775870393,338.6997586880316,342.97180361218915
7,346.5652632982613,348.97077980173856,346.43916049985154,344.1070229959797,339.18164913768766,334.6852681304579,332.7921040478904,333.58633618514705,337.2110705223979,338.747310672065,343.08909101785633
8,346.61113077919606,348.6972685478613,346.32973758636257,343.9342443591902,339.072532729078,334.4715350099587,332.69941955271776,333.52172243124977,337.11458514733494,338.87661398990537,342.9882320307376
9,346.6321117411281,348.6850515329367,346.45529463341444,343.99791841669514,339.3146738013932,334.5480968041495,332.45759563341085,333.54140852211117,336.99143037748337,338.888333296486,343.0077389663994
10,346.43331785370754,348.7720736668191,346.49650128581663,344.20751759791005,339.6845364918184,334.93979388304837,333.0092632164444,334.4083905164413,337.6184800108441,339.3906960560481,343.4944483492965
11,346.9133375525862,349.4461834927599,346.8104677970545,344.5687267561348,339.97638271653193,335.28741252755765,333.14489068886104,334.45297095118605,337.9433518644854,339.7785353571464,344.31484176847346
12,347.15413578631393,349.8459499260131,347.1656247116875,344.91261022306094,340.15574304785054,335.6127729271729,332.92065893594986,334.4457725994355,337.96493054650875,339.9107190504788,344.5546680543642
13,347.0855741696747,349.7191682050486,347.2426016797354,344.905649364411,340.01733601760486,335.5536176348765,332.67639547267544,334.14056061871827,337.47262331283974,339.52462701587984,344.0797415509467
14,346.2375212301564,349.3725332246488,347.0559930052352,344.76404825092624,339.9756654622381,335.72769155129686,332.8927440631882,334.36469980778355,336.8082045776656,338.5220654447043,342.62190835610744
15,346.49659040907005,349.03256039784475,346.73887674444893,344.566443050155,339.9453688668246,335.4747061972368,332.59521341871516,333.8379210617404,336.63311599482523,338.5800830873799,342.8515480391657
16,346.6973013312609,348.84740198070705,346.5929239864394,344.44526514524273,339.98072826999925,335.35142592313593,332.2730880318612,333.32761492445934,336.61431934313504,338.6829559537781,342.721957533615
17,346.72262267263665,348.9339068186374,346.6269728721351,344.4170870169986,340.1238605161228,335.17138359033174,332.0717678573708,332.95157975401185,336.57817642313995,338.58762562473635,342.83012273992296
18,346.77331936082703,349.45401121603106,346.84629768469495,344.6767332500535,340.33918016628445,335.3287374293884,332.61244680925734,333.516333850505,337.21366627876483,338.97290569451957,343.45567554365033
19,347.03917226239145,350.2285126149193,347.3053020802192,344.7365090435794,340.54787638719586,335.75458515371963,332.6540771064144,333.5390371314463,337.4303051373354,339.2848281823427,344.02506517832234
20,347.12812346295993,350.632479604955,347.54880180049116,344.711247890153,340.6047354703656,336.0624327965225,332.73302727863677,333.62691911753603,337.5462893457839,339.5205264308617,344.4273285888803
21,346.85979936538325,350.3706754155021,347.5735771169285,344.5981471490138,340.45242279228586,335.94978933659894,332.5243771930404,333.35101780672693,337.27433542357005,339.29514727231333,343.7781750110797
22,345.53090655706495,349.99123059885744,347.55872180393214,344.55964032893826,340.17077533014964,335.58236018593743,332.4377112664622,333.6106868197861,336.5519000646114,338.0132931190743,341.9672595458986
23,345.46376803821767,349.6070281333081,347.42458799691775,344.56366627962205,340.27900559626323,335.67410265895825,331.8683798873278,333.0512707149736,335.9662979580554,337.6059757191312,341.7752900105342
24,345.4604826777262,349.3190094273242,347.4427379517205,344.7562086872207,340.4163799548013,335.76786334134704,331.62217091687427,332.45566291749515,335.44312780424315,337.24882273500936,341.37677735569554
25,345.48231812132036,349.4060140764681,347.4944438839639,344.96822867729,340.59250402514226,335.93517733313695,331.82898672650236,331.903352356956,334.7935069409499,337.0685270193458,341.2746276748128
