,mn_mslp,conv_rrate,ls_rrate,mn_conv_prate,mn_ls_prate,mn_tot_prate,sst
13,100418.6025390625,0.00010911142453551292,0.00015344424173235893,0.00010305317118763924,0.00017509376630187035,0.0002781427465379238,302.15657806396484
14,100272.896484375,0.0001863962970674038,0.00020190654322504997,0.00019365036860108376,0.0001948317512869835,0.0003884928300976753,302.15657806396484
15,100245.66015625,0.0001630517654120922,0.00021441513672471046,0.00015813740901648998,0.00018588034436106682,0.00034401193261146545,302.10950088500977
16,100314.3564453125,0.0001071845181286335,0.0002078409306704998,0.00010146060958504677,0.0002088518813252449,0.00031031202524900436,302.0363082885742
17,100352.3642578125,0.00012708920985460281,0.000222119502723217,9.949714876711369e-05,0.00023022014647722244,0.0003297068178653717,302.00104904174805
18,100232.6435546875,0.00012810667976737022,0.00025022123008966446,0.00011996389366686344,0.0002604816108942032,0.00038044853135943413,301.8966827392578
19,100167.9130859375,0.00019922899082303047,0.0002996399998664856,0.00015351991169154644,0.0003022444434463978,0.00045576784759759903,301.82548062193626
20,100254.0361328125,0.00018237484619021416,0.00019674841314554214,0.0002008667215704918,0.00022378424182534218,0.0004246523603796959,301.74754333496094
21,100369.24609375,0.00019450346007943153,0.0001592431217432022,0.00016356678679585457,0.00015230104327201843,0.0003158608451485634,301.55419540405273
22,100306.1015625,0.0002716262824833393,0.0002745212987065315,0.0002544661983847618,0.00024002231657505035,0.0004944978281855583,301.3240403018323
23,100248.6865234375,0.00025645550340414047,0.00041063595563173294,0.00024659628979861736,0.0003465069457888603,0.0005931053310632706,301.1036038685994
24,100363.783203125,0.0002459697425365448,0.0005774092860519886,0.00024935067631304264,0.0005344627425074577,0.0007838238961994648,300.90592938158886
25,100358.9619140625,0.00013161730021238327,0.0006066788919270039,0.00013116374611854553,0.000604771077632904,0.000735921785235405,300.8105459023282
26,100253.2236328125,7.855752483010292e-05,0.0005996152758598328,0.00010189926251769066,0.0006028781644999981,0.0007047676481306553,300.76641339087206
27,100209.59375,7.540453225374222e-05,0.0003796839155256748,9.973742999136448e-05,0.0004061441868543625,0.0005058823153376579,300.78505386844756
28,100389.076171875,8.017988875508308e-05,0.00041601620614528656,8.955923840403557e-05,0.00041824206709861755,0.0005077896639704704,300.6935624835872
29,100455.185546875,8.441507816314697e-05,0.0003379452973604202,0.000106744933873415,0.00036146026104688644,0.0004682149738073349,300.5508786966872
30,100286.095703125,0.00011696619912981987,0.00031100353226065636,0.00014253449626266956,0.0003079618327319622,0.0004504905082285404,300.3961109266922
31,100262.1787109375,9.548244997859001e-05,0.00022752583026885986,0.00017291842959821224,0.00024988269433379173,0.00042279157787561417,300.4153823852539
32,100424.94482421875,0.0001527438871562481,0.00020117778331041336,0.00015155412256717682,0.0002192188985645771,0.00037077395245432854,300.3916130065918
33,100432.7919921875,0.00010738428682088852,0.000141865573823452,0.00014883559197187424,0.0001591229811310768,0.0003079511225223541,300.32948303222656
34,100313.3291015625,0.00016691535711288452,0.00015593133866786957,0.00018049380742013454,0.000192954670637846,0.0003734603524208069,299.7382049560547
35,100309.68359375,0.00015561794862151146,0.00011529307812452316,0.0001207105815410614,0.00020374590530991554,0.00032444391399621964,299.16331481933594
36,100344.6533203125,0.00011508353054523468,0.00021252594888210297,0.00017925421707332134,0.0002621440216898918,0.00044139474630355835,298.6765823364258
37,100254.9501953125,4.486320540308952e-05,0.00038025714457035065,8.29421915113926e-05,0.0004836246371269226,0.0005665607750415802,297.99889373779297
38,100116.11328125,6.933137774467468e-05,0.0003749108873307705,7.245293818414211e-05,0.0004225056618452072,0.000494946725666523,297.23415756225586
39,100069.5966796875,0.00012125493958592415,0.000519484281539917,0.0001263297162950039,0.0006243176758289337,0.0007506441324949265,296.5229148864746
40,100276.0888671875,7.561128586530685e-05,0.000537969172000885,0.00011958298273384571,0.000700799748301506,0.0008203792385756969,296.13763427734375
41,100253.17578125,1.8337741494178772e-05,0.000281311571598053,3.604404628276825e-05,0.00037396326661109924,0.0004100194200873375,296.0225944519043
42,100174.83984375,1.1227559298276901e-05,0.00016647204756736755,1.0746996849775314e-05,0.00021773017942905426,0.0002284795045852661,295.96978759765625
43,100154.8740234375,1.0102055966854095e-05,0.00010279333218932152,2.04544048756361e-05,0.0001408667303621769,0.00016132602468132973,296.0508155822754
44,100207.904296875,1.1772383004426956e-05,9.266519919037819e-05,1.904461532831192e-05,0.00011592311784625053,0.00013495981693267822,295.95106506347656
45,100161.34765625,3.133481368422508e-05,0.00010662153363227844,2.647959627211094e-05,0.00011627702042460442,0.00014277128502726555,295.5564956665039
