,mn_mslp,conv_rrate,ls_rrate,mn_conv_prate,mn_ls_prate,mn_tot_prate,sst
0,100578.56640625,0.0001271544024348259,0.00014454079791903496,0.00011499971151351929,0.00014751451089978218,0.00026250630617141724,301.6429786682129
1,100793.4248046875,0.00025610579177737236,0.0003811498172581196,0.00023162155412137508,0.00034178048372268677,0.0005734148435294628,301.6237335205078
2,100711.9248046875,0.0002550417557358742,0.0004139738157391548,0.00022034323774278164,0.0003852476365864277,0.0006055822595953941,301.6039237976074
3,100563.3310546875,0.00019042659550905228,0.0003064218908548355,0.00019103055819869041,0.0003073778934776783,0.0004984056577086449,301.60821533203125
4,100554.2607421875,0.00014247233048081398,0.00027494877576828003,0.00011879205703735352,0.00027850084006786346,0.0003972891718149185,301.597900390625
5,100744.708984375,0.00024644332006573677,0.0004285946488380432,0.0002391610760241747,0.0004338826984167099,0.0006730509921908379,301.597900390625
6,100691.7412109375,0.00014036986976861954,0.0004977653734385967,0.00017002085223793983,0.0005314955487847328,0.0007015001028776169,301.59049224853516
7,100455.4755859375,0.0001574861817061901,0.0003699660301208496,0.0001716013066470623,0.00044117169454693794,0.0006127823144197464,301.58177947998047
8,100479.1064453125,0.00015669828280806541,0.0003033289685845375,0.00017018127255141735,0.0003508753143250942,0.0005210675299167633,301.5641632080078
9,100648.0419921875,0.0001797126606106758,0.0004101460799574852,0.00021101883612573147,0.0004199165850877762,0.0006309463642537594,301.54827880859375
10,100560.31640625,0.0001784306950867176,0.00038684625178575516,0.00014799321070313454,0.000405861996114254,0.0005538584664463997,301.5253715515137
11,100325.8671875,0.00031229667365550995,0.0002930564805865288,0.0003192308358848095,0.0003060586750507355,0.0006252862513065338,301.51282119750977
12,100295.2236328125,0.00026635685935616493,0.000257028266787529,0.0002199129667133093,0.0002801031805574894,0.0005000196397304535,301.4992332458496
13,100486.474609375,0.0003602788783609867,0.000566079281270504,0.00038064061664044857,0.0006325598806142807,0.0010132202878594398,301.4851760864258
14,100493.390625,0.0002699536271393299,0.00044801272451877594,0.00029730191454291344,0.0004971455782651901,0.0007944405078887939,301.49442291259766
15,100250.904296875,0.00027831830084323883,0.0003119446337223053,0.00029400037601590157,0.00034201890230178833,0.0006360244005918503,301.5107650756836
16,100263.3095703125,0.0003166748210787773,0.0002641156315803528,0.00031305477023124695,0.0002561444416642189,0.0005691926926374435,301.51517486572266
17,100376.9169921875,0.00023529771715402603,0.0002373475581407547,0.00024050381034612656,0.0002606557682156563,0.000501156784594059,301.5425796508789
18,100431.2265625,0.00022836914286017418,0.00020633172243833542,0.00023322785273194313,0.0002390076406300068,0.000472240149974823,301.57064056396484
19,100240.8291015625,0.0002297302708029747,0.00017963163554668427,0.00026482949033379555,0.0001833220012485981,0.00044815242290496826,301.5847282409668
20,100166.7353515625,0.00034084729850292206,0.0001735026016831398,0.0003505800850689411,0.00018588686361908913,0.0005364622920751572,301.5985870361328
