,u10,v10,2mdewtmp,2mtmp,conv_ppt,tot_cld_ice,tot_cldwtr,tot_cld_rain,vi_div_cld_froz_wtr,vi_div_cld_liq_wtr,vi_div_gpot_flux,vi_div_ke_flux,vi_div_mass_flux,vi_div_moisture_flux,vi_div_olr_flux,vi_div_tot_enrgy_flux,vi_ke,vi_pe_inte,vi_pe_ie_latentenrgy,vi_temp,vi_olr,vi_tot_enrgy,vi_moisture_div
0,-2.5603713989257812,0.8535308837890625,296.7445373535156,299.4114456176758,0.0007996214553713799,0.07726705074310303,0.16035199165344238,0.07972383499145508,8.655188139528036e-07,1.3288226909935474e-06,2370.53125,0.708251953125,0.002290472388267517,-0.0002959761768579483,-878.4453125,745.98828125,163517.60668945312,2702455552.0,2858274816.0,2674859.0,2702418944.0,2858438656.0,-0.8146133422851562
1,-2.5772361755371094,1.0780448913574219,296.70819091796875,299.1065979003906,0.0008706338703632355,0.11355793476104736,0.1966722011566162,0.1757497787475586,5.213951226323843e-08,-4.3708132579922676e-07,2904.75390625,1.431396484375,0.0025950074195861816,-0.0003633107990026474,-1090.05078125,894.6640625,175385.19110107422,2698250624.0,2854242944.0,2670666.75,2698214528.0,2854418944.0,-1.13238525390625
2,-2.3878631591796875,1.7162246704101562,296.7300338745117,299.2515563964844,0.0006272457540035248,0.14997553825378418,0.26301145553588867,0.2892317771911621,-2.6385532692074776e-07,1.8585706129670143e-07,3842.72265625,1.9056396484375,0.00034959614276885986,-0.0004946151748299599,-2404.97265625,188.9609375,201329.75,2693881728.0,2848769920.0,2666423.875,2693843840.0,2848972032.0,-0.6857566833496094
3,-2.3522186279296875,1.4717292785644531,296.7613220214844,299.49169921875,0.0010983636602759361,0.3323401212692261,0.2723071575164795,0.4542369842529297,3.460110747255385e-06,-3.1039235182106495e-06,5728.4453125,1.80712890625,-0.0020170360803604126,-0.0006665773689746857,-4679.2265625,-632.6171875,210141.65625,2696562176.0,2851331968.0,2669102.625,2696524544.0,2851539200.0,-2.4268112182617188
4,-3.975860595703125,1.197601318359375,296.76786041259766,299.45642852783203,0.0009625963866710663,0.32853996753692627,0.18047213554382324,0.44429540634155273,4.029803676530719e-06,-3.7491554394364357e-07,5451.37890625,2.5570068359375,0.002396225929260254,-0.0004832036793231964,-3213.72265625,1033.3828125,271020.0625,2700611328.0,2856567168.0,2673016.75,2700573312.0,2856838272.0,-1.9723625183105469
5,-2.76202392578125,2.4157562255859375,296.8066635131836,299.5716247558594,0.00041773170232772827,0.28429436683654785,0.13464629650115967,0.36884450912475586,2.146582119166851e-06,-5.172332748770714e-07,5747.917938232422,3.5223388671875,0.002254486083984375,-0.0005400814116001129,-3317.61328125,1028.8125,289524.0705566406,2694874624.0,2848860928.0,2667491.875,2694840704.0,2849150976.0,-0.8017654418945312
6,-2.0974388122558594,1.9453811645507812,296.84405517578125,299.99354553222656,0.0003050500527024269,0.38685452938079834,0.14031195640563965,0.37261104583740234,3.0373339541256428e-06,-1.4504184946417809e-06,4360.4375,3.4866943359375,-0.0010520517826080322,-0.0003670481964945793,-3551.5390625,-99.71875,284529.99169921875,2692043520.0,2844844160.0,2664795.0,2692023296.0,2845129088.0,-0.3659019470214844
7,-1.8282051086425781,1.3605842590332031,296.8776092529297,300.4015426635742,0.0006482163444161415,0.17189669609069824,0.09425520896911621,0.16558170318603516,1.9655271898955107e-06,-3.2118987292051315e-07,2172.80078125,0.8720703125,-0.00030313432216644287,-0.00021858885884284973,-1659.734375,-22.59765625,269839.3464050293,2694549632.0,2845590784.0,2667457.625,2694550144.0,2845859072.0,-0.8550529479980469
8,-2.0657005310058594,0.9215507507324219,297.09471130371094,299.9825439453125,0.0010687373578548431,0.24383938312530518,0.18646585941314697,0.2528834342956543,3.1676318030804396e-06,-1.7177080735564232e-07,5165.5703125,2.016845703125,0.00022348761558532715,-0.0006122644990682602,-3604.4453125,89.05078125,364236.5061645508,2697538048.0,2851151616.0,2670209.625,2697537280.0,2851514880.0,-1.5454254150390625
9,-1.5787200927734375,1.0816421508789062,297.1465835571289,299.46934509277344,0.0012600217014551163,0.26518726348876953,0.22366392612457275,0.29818105697631836,6.2179024098441005e-06,9.707873687148094e-07,5723.203125,4.042236328125,0.0024571269750595093,-0.000671963207423687,-3294.8046875,785.65234375,342326.6875,2694078336.0,2847267200.0,2666812.75,2694078464.0,2847609600.0,-1.4098167419433594
