,outeqt100,outeqt1000,outeqt200,outeqt250,outeqt300,outeqt400,outeqt500,outeqt600,outeqt700,outeqt800,outeqt850,outeqt925
0,372.8231672957155,339.8049926495252,353.8312288322556,349.81528735406647,345.6749712146097,338.00400159305013,485.65822468634445,333.6455220521238,329.3664672479964,329.88754251091643,332.0983703455243,333.85323925543867
1,373.4492259913074,339.7375992438588,353.7243261119475,350.0053954944252,345.8300719614278,338.09282725401596,485.4952596302641,333.6720329993405,329.8070075616368,329.9461793936763,332.75300154963685,334.6711522148944
2,374.17399616544753,338.91744080941965,353.4631478903063,349.5564011347759,345.4710362088694,337.74768842107443,487.59881553766917,333.11894010666157,329.78536255875474,329.3567812803722,332.26392040227233,334.39770008158
3,374.3482713275875,338.71185222133965,353.19112085149203,349.3233440667519,345.2485250195563,337.55731228699295,489.1134096470366,332.99378837646594,329.92753424808353,329.34449723277135,332.23115718482944,334.49412097656557
4,374.2408953567197,337.8367746532058,353.12868476822064,349.3383744764693,345.1153794787388,337.22041888023386,488.4200868323226,332.3070001054196,329.56922133310945,330.17296027481524,332.5680845943165,334.73890368208924
5,374.6963294252682,337.25407723505106,353.07232260711095,348.9603337301286,344.64489545715526,336.7578532337394,487.15758672328263,332.09693537053647,329.5729783132192,330.2297098481665,332.1561353314161,334.15651290407067
6,375.7065459528711,336.03398777730496,353.00773285079725,348.5573096181728,344.2620310392682,336.5300012264345,487.26433892592274,332.1319328603925,329.6152036732866,330.01578759946256,331.72864583156843,333.14998048560693
7,376.07499952753466,335.93482770942046,352.87934599183063,348.8247616036349,344.4693813984914,336.94725776381176,486.89483571199366,332.8271116847478,330.41261045022594,331.19632143878624,332.43404621711437,333.39888999491416
8,377.5215096989508,334.802987965915,353.1118076733787,348.96947467033584,344.54630341091143,337.22429292944156,488.2094047228528,333.20746487220265,330.5909701970428,331.07596233981167,331.2244117628671,332.07724708831387
9,378.3493795148526,334.65249590380296,352.80280107595615,348.5616983096791,344.56061774835956,337.54143583487746,488.88566902643953,333.81988341898045,330.7562781020411,330.75730689123884,331.4717062404576,332.1399430496673
10,378.7893717226097,334.3387504230331,352.27056257677515,347.85785886787465,344.21696994458165,337.6389068195652,489.2201136537559,333.96664438263855,330.60766691630835,330.1879006374241,331.368202647758,331.87104535315314
11,379.6590103198414,333.70812169199803,351.5128903439671,347.16941161838656,343.77111876481814,337.5151465439074,488.97390032661895,333.8288665788904,329.9604126407995,329.15423124707746,330.98754346222023,331.1804572040334
12,379.66933847577303,332.79557136445584,351.49981715056896,347.02580679864406,343.54676613988863,337.42401488465003,487.3647410482835,333.2672337773497,329.6711833073962,328.17867396446974,329.68533539853763,329.61905499899717
13,365.6572201191011,349.4606929912397,352.38468236114,350.2832302016103,348.46621050549925,344.9358673117434,474.85820353436407,341.38535075388165,337.49568492903995,338.157900896885,339.9870421829465,340.7316100732876
14,366.3918653092115,349.3620225918576,352.2082688353925,350.1629104273745,348.3248795231146,344.8962941321616,474.17071889495384,341.1008758872544,337.1919881131301,337.6468020358353,339.77309659310873,340.7203702025927
15,366.97138010074957,348.5165231968646,352.1014806525132,350.22122974528406,348.4613131862245,344.8658343903263,473.9260583833801,341.33206642628136,337.5280960358179,337.6804951352306,339.33869405860145,340.3611528271655
16,367.1977075584371,349.18226490407045,352.4791686489269,350.489294745237,348.66309395412725,345.1384881706298,473.19582454209865,341.54999749256024,337.88134659682146,337.93624939829175,339.97253915041335,341.44878885606875
17,367.1754091499053,350.1089122323261,353.06471076380444,350.85054180111547,348.80561254045534,345.28575528383493,471.6787241718374,341.65044256860597,338.1792788836584,338.2143998757304,340.75586154221645,342.33138594165695
18,366.8521926500341,351.0729028247146,353.38196699243844,351.03145738631605,348.77853080559566,344.9441171303692,472.5526493418607,341.49458065826417,338.1977744130235,338.3771385964868,340.8492192846109,342.2461756797267
19,366.2222203454818,350.3412913578616,353.3628006866204,351.1520569624455,348.9513011022546,344.99976248417704,474.51510612471526,341.8660548943227,338.31974197880305,339.20890552971184,341.3009546370794,342.0816214296389
20,366.0134228804287,349.8491776262409,353.13159603864847,350.95906967548837,348.82638044152884,344.6572214182546,476.8760487864909,341.25477549331384,337.7558690680078,338.7810438282972,340.98123461420715,342.0097295641375
21,366.0535203222338,349.44938488330877,352.96275692176,350.8368667485703,348.7034656442653,344.61337916244634,476.89171120468274,340.9690516179563,337.3967737740248,338.3209339319904,340.5502039935252,341.72179967027813
22,366.4271390200231,349.081661817581,352.7560589466797,350.75763487001956,348.59220760842163,344.7463178156676,475.86423993484897,340.77217322522034,337.1058450774281,337.9344738907973,340.030368695407,341.3606690623167
23,367.03810776001376,348.55612151524394,352.7872633931272,350.71467119439063,348.7004603545371,344.6764437910208,476.5232660555096,340.3420108640694,336.87921319361436,337.72542376168275,340.025433910471,340.9894688327913
24,366.3355895720079,349.0068563839628,353.1885341790314,351.00113578621983,348.96755681543306,344.8378422248541,475.691864015058,340.79174979417553,336.95978272568595,337.81262145986585,340.66723524704173,342.40668389745287
25,365.47541591337813,349.9223730337823,353.5304465188053,351.36428714528364,349.22449496158515,344.97629599478046,474.21559728684974,341.3956503232388,337.3623613992206,338.06926897395374,341.22875076162615,342.780792378113
26,365.0474731605895,350.83997729779924,353.4518805440566,351.4381327230476,349.29995040917663,344.92105166671644,475.9117602981472,341.6155656033355,337.6269271108615,338.22101900832916,340.94924138085736,342.5794843778603
27,365.01468341507007,350.16759450831546,353.0421684260095,351.35872674146765,349.2156925152937,345.03947904702034,479.1578719660141,341.60868669107845,338.0492047195461,338.46967090836904,340.591152914157,341.93067658061125
28,364.89140561096065,349.8212396669663,352.56086486073156,350.8776996843796,348.9352076910457,344.7309778420491,482.46227045746286,341.3757966687237,337.6743610213352,338.0830235602989,340.1922199249241,341.4849223983292
29,364.8199067149234,349.57765829755505,352.3181518720791,350.55815064567906,348.81358543865633,344.9124732895769,482.3411023477709,341.0615742846912,337.41400087936694,337.6018637178484,339.7597728609208,341.1278679056091
30,364.72452706180616,349.0683703489753,352.0759383958727,350.33663682083625,348.6154519940063,344.8308906143411,481.46641229222865,340.7438938293236,337.1605988064757,337.2171951609978,339.27413613460874,340.8331959328598
31,364.93911839441915,347.54789662586984,352.1900116498165,350.32857003516494,348.6967426443229,344.8807382546884,480.70814932689615,340.70708284883165,337.29391636483354,337.4999868946483,338.6010946015327,339.9935439408488
32,365.348385146578,348.1241140920648,352.454508883757,350.4955704070892,348.9186498315346,345.0534374842755,479.4335169632649,341.0023023470431,337.64729456405905,337.57191117219605,339.7691830585909,341.7871056617712
33,365.30810832938045,349.2075769380039,352.9060540582758,350.88591248092837,349.21040944225615,345.27258597406785,478.7707717399083,341.4942890062389,338.2562032823215,338.0490067523057,340.76881357068237,342.46756935703144
34,365.3882601423737,350.21881357291204,353.11542856681274,350.966674977136,349.21677234717885,345.127055646248,480.3072704932904,341.68766541920525,338.46980802084425,338.25901074663824,340.5705430241406,342.2720853048826
35,365.21000613558334,350.51739017567417,353.11206815902733,351.09511193799545,349.4693207895827,345.49971783601274,482.5391736060598,342.39628280042393,338.4310761891445,338.88329685850283,340.80667227168175,342.2028928293792
36,364.6639821648084,350.44458881456205,352.8158756651488,350.8374678261686,349.2193283065705,345.3485876264871,484.35379965853826,342.20859725257657,337.90920232497643,338.4127435004475,340.50399441494517,341.88954743584134
37,364.2705519758669,350.14908536044925,352.5568755058597,350.661239644195,349.11179301526715,345.3120177943078,483.4454919532561,342.1670425731838,337.61878087580203,337.9399076228782,340.2537346226041,341.5486756532943
38,363.82324926575143,349.69585433413874,352.4298927083391,350.64008659257183,349.0076693946705,345.4097793342084,482.40355157331527,342.0690047375637,337.4985743736713,337.68286204451204,339.80173497647775,341.2694885939823
39,363.899698364543,348.2482521606306,352.62106143907573,350.7653263638938,349.13261778713513,345.74671667072204,482.8752149726315,342.0510833259334,338.40482007378836,338.1036533424725,338.87857320940054,340.06163369974
