,mslp
0,100452.0625
1,100339.375
2,100267.6875
3,100376.6875
4,100469.5625
5,100443.625
6,100296.4375
7,100369.9375
8,100470.3125
9,100340.4375
10,100239.1875
11,100343.625
12,100406.0
13,100310.1875
14,100211.4375
15,100321.5
16,100413.625
17,100294.75
18,100194.8125
19,100301.375
20,100507.5625
21,100456.0625
22,100352.625
23,100440.125
24,100689.0625
25,100504.5
26,100437.75
27,100519.25
28,100718.125
29,100641.0625
30,100515.625
31,100564.9375
32,100580.9375
33,100446.9375
34,100372.8125
35,100517.6875
36,100606.875
37,100338.0625
38,100089.0
39,100265.5
40,100521.4375
41,100443.0
42,100408.1875
43,100435.4375
44,100685.25
45,100601.5
46,100440.0
47,100391.0
48,100366.6875
49,100238.125
50,100246.3125
51,100294.8125
52,100364.5625
53,100272.5
54,100170.4375
55,100079.5
56,100025.0625
57,99875.5625
58,99914.625
59,99987.9375
60,99961.75
61,99868.5
62,99847.5
