,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt800,eqt850,eqt925
0,345.51836593043095,352.613554772862,350.91125327225814,349.36560841645786,345.6405798131806,342.2835640273206,336.67348944833066,338.7319685113404,342.30524161428445,342.9923676329744,344.7972558323445
1,345.3370215712019,352.5456383059783,350.3853160439671,348.558069679697,345.0665977111471,342.25422159132734,337.4388546100905,337.1809809137599,341.5461544388201,342.45825312223167,344.50644389310867
2,345.6540710032939,352.3277557280046,350.16297771750044,348.1381949534291,344.19159809926157,341.3299764890651,337.52910565156185,336.7874329377397,341.1742241345347,342.2145826134995,344.24721513656607
3,345.74196978236915,352.3563345557365,350.6535346683254,348.7395029454199,344.9866011651212,341.39796971995577,337.152188406399,336.63764493799744,341.7662757720849,342.7990950625075,344.9217846181806
4,345.4206293805055,353.17057757026157,351.04510521213183,349.25703308252565,345.28224197520456,341.3292200327691,336.8266929018698,336.74040956983697,341.72207966204724,342.58520051830817,344.4836987870095
5,345.9485280817978,353.82397543055225,351.21605371537066,349.6883877753395,345.70638734415206,342.09089649976016,337.2401069273217,336.67711263720287,341.4030250315301,342.4329668165431,344.35683792894974
6,346.5293975362146,353.26207523299576,350.58157742803144,348.7469907678499,344.72240846011204,342.5387845585502,338.62453792036297,336.6212252673515,340.88427893665954,342.30680216323606,344.096336023993
7,346.7124043865729,352.55192758452785,350.5317511348454,348.3477617962957,344.6568475866803,342.81899660642307,339.0699548696637,337.5363647016364,340.4870773872441,341.9994475640121,344.55525395134885
8,346.40687766887845,352.27692705681113,350.50422973574894,347.981270303267,344.6764347093789,343.29769421422304,339.7170229373697,338.1252775316731,341.1296359521559,342.38120922964185,344.15522226193025
9,347.26008670149247,352.0159866139768,350.4817530254836,347.8845368201182,344.3929423628347,343.0715925589864,339.91506207816406,338.0547991203066,341.1182806445827,342.99879545266936,344.44841159913506
10,347.48508060707155,351.97172570475595,350.3117616098385,348.08846356430365,344.57238725173056,343.95505129149444,339.64924746752627,338.1870167137979,341.41017254531937,343.11505017159635,344.54547338349454
11,347.34684685605515,352.2281376221398,350.47868420039765,348.46337181000723,344.91092362200993,344.1021930992928,339.24840688422444,338.47901421964065,341.4651434309603,343.1375855443728,344.7109347313305
12,347.34929099487266,352.8865043233544,350.6740668214396,348.4799959780307,345.2443376753704,344.72110507424986,339.90571183837926,338.9155859421011,341.56108269330616,343.47990516488983,345.36338955905245
13,347.7253501753022,353.4461247545338,350.6963758844426,347.92684442409603,344.77439508979387,345.2715197383204,340.92019728360947,339.4008076335067,342.0848474723616,344.2024977523573,345.93628617014735
14,347.8531745572782,352.94590086618086,350.7087797341578,347.8543180056643,345.0007529951339,345.5845316585685,341.26012789793015,339.91881230525735,342.32813223926775,344.16610576978877,346.04192283616726
15,348.505574757511,352.86338315286935,350.7742269870164,348.1532013367738,344.94889360515555,345.37947279053947,341.50291059004667,340.13378300212855,342.08950185471247,344.0702922937544,346.43082396552234
16,348.21445387741727,353.4979150703193,351.1120829091814,348.31266893512884,344.47789872001067,345.09255793733433,340.65518983880895,339.62219929344246,341.5840004881246,343.10178293371195,346.01076203295474
17,347.9033724779147,353.57239504786287,351.6594697022193,348.8793395703202,344.6848595704434,344.75100922846457,340.1612373544476,339.7133912775895,342.11864978926076,343.5822475774563,345.8979313625256
18,347.9767744229142,353.64191889111055,352.2071264073771,349.1809115450754,343.96908794402646,344.04216348210235,340.1922994885852,339.1506329664348,342.6411030717983,344.0346188956378,346.03540372135865
19,348.38285495147784,353.962835892471,352.3954541992343,349.2774179985624,344.0595430152491,343.66259387642543,340.47328041638184,338.53008157798376,342.5750229825686,344.2008797280081,346.40873366267726
20,348.5538705013194,354.80694758210694,352.40861616472506,348.6782493333741,344.5867681232279,343.82385431239857,339.99118176461855,338.3950385883371,342.8612190367912,344.49922123206835,346.62691008777165
21,349.11638712459074,356.31383923801667,353.54305137617075,349.2912410295329,345.301225135711,344.02732103519577,340.00817644862764,337.9744175897839,343.1846652843328,345.08386407859075,347.14962397948034
22,348.9016447047495,356.34961424359983,354.0932736843022,350.64004897512194,345.86627872471786,344.2976034296543,339.35801804384397,337.827437745613,343.21138544694736,345.43567324042306,347.15577582034416
23,349.1410163630717,355.2056886260315,353.5989204705918,351.2730636327242,346.3536132374421,344.2129729327496,339.15634667000825,337.8855960136485,343.13778684144495,345.55578253561805,347.26014141950196
24,348.3078118452796,355.36497750303886,354.49087450302136,352.72997948278015,347.5893907685703,345.0364510509095,339.04409278913,337.34035150181046,341.5518041019342,344.4677766311073,346.31530060808234
25,348.1017650748131,354.9197227412642,353.7962257085827,352.6999497506828,348.0429038867677,345.76706048315384,340.25496424065545,337.7259030083541,341.68801648409396,344.82926095759154,346.0653976025706
26,348.2673618006925,354.4078638537385,353.324707849108,352.75158234715616,348.7213360275526,346.5852699395482,340.761857687296,338.93030936711625,342.2284987866257,344.72429560767114,346.2060213787031
27,348.51722388259986,353.88473597016133,353.0774365735858,352.2246211110794,348.87889930796064,346.9632788120398,341.2509187833323,339.52502799041065,342.3991618911266,344.6454072902103,346.33779908693435
28,348.5949138715947,354.45605623306295,353.0865547245804,352.2997492654365,350.0119814262318,347.7869224797605,342.5643577406154,340.4120446585675,342.6389692582078,344.36333801983574,346.217466873221
29,348.28166912144263,354.30317199265124,352.9713899212335,352.3405244127157,350.93493769447014,348.52899211340457,343.23126086581635,341.8738735568755,343.55764521040146,344.75346374208294,346.3115807452027
30,348.9725181471675,354.2980815578817,353.14442965855096,352.1469137792617,350.81979989095396,348.4297680756688,343.5660354403891,343.0428224525558,344.50523164257197,345.379465059014,347.0454031970438
31,349.93342276545,354.2684316934416,352.8519016940696,351.7893349817558,350.9335095725853,348.79059095256486,344.0374215235061,343.9574130578702,344.7873579333608,345.74121393282326,347.2403908745662
32,349.98243456556304,354.9233552041021,352.84877898558875,351.81736413007775,351.53702740373586,350.29443179397356,345.1228920694348,344.35641081305573,345.2642468396622,345.9368962915983,347.0756914977915
33,349.72716229489976,354.730982924342,352.8074568373473,351.7953524966965,351.1172511135718,350.02172573009926,345.19228879395433,344.6319954190095,345.72607425513786,346.30624358074596,347.2807853962955
34,350.0923013939364,354.8569991182642,352.9994197117729,351.73729584224884,350.5626440999547,349.60476549837756,345.2745807652606,344.7046958510895,345.94261091756573,346.6535735155314,347.7199853387847
35,350.14197474227257,354.85237576815666,353.2060512980329,351.79733721763307,350.2517847279342,349.4627124713537,345.5129526568056,344.88679367139264,346.23733552583826,347.01363003106314,348.17231143488027
36,350.21542189284366,356.00020204564913,354.5509800251451,352.7782598356682,351.17395126845474,349.4107046803174,345.04400908439914,344.42695755728244,345.66747606479913,346.98817569176765,348.5266585064812
