,cape,inst_10m_wnd_gst,inst_moisture_flux,inst_ssh_flux,surfmean_swr_flux,surfmean_lhf,surfmean_lwr_flux,surfmean_shf,dwnwrdmean_swr_flux,topmean_lwr_flux,topmean_swr_flux,vimean_moisture_div,surf_lhf,surf_shf,tot_suprcool_liqwtr,tot_wtr_vpr
0,561.5205078125,10.138639451935887,-5.6947581470012665e-05,-23.2655029296875,0.0,-147.12457275390625,-40.137786865234375,-24.03936767578125,0.0,-142.50582885742188,0.0,-0.000676669180393219,-529652.25,-86540.25,0.09981560707092285,61.02449035644531
1,514.7919921875,9.738974571228027,-5.809945287182927e-05,-23.00311279296875,32.20977783203125,-144.6461181640625,-37.22894287109375,-22.68585205078125,560.3673095703125,-136.22210693359375,252.296875,-0.0005008019506931305,-520726.0,-81673.0,0.11775290966033936,60.58179473876953
2,514.16796875,11.296532526612282,-6.682072125840932e-05,-24.72784423828125,152.3756103515625,-162.34185791015625,-38.669647216796875,-26.2994384765625,1222.8743896484375,-140.3470458984375,713.3265380859375,-0.0005622291937470436,-584427.75,-94679.75,0.08462858200073242,60.6876260638237
3,547.4658203125,11.278289886191487,-6.431818474084139e-05,-23.40509033203125,176.7509765625,-164.54296875,-38.93780517578125,-24.0155029296875,1230.0189208984375,-150.66864013671875,689.236328125,-0.0005033658817410469,-592358.75,-86454.25,0.11280620098114014,60.78600311279297
4,567.41796875,12.461726292967796,-6.74580514896661e-05,-27.59674072265625,45.6075439453125,-170.90557861328125,-38.376495361328125,-25.87261962890625,581.5687255859375,-147.55117797851562,263.8199462890625,-0.0005407743155956268,-615262.5,-93142.25,0.09978246688842773,61.561901450157166
5,564.345703125,13.307741198688745,-7.371304673142731e-05,-29.158447265625,0.0,-183.440185546875,-36.623077392578125,-29.21588134765625,0.0,-146.0687255859375,0.0,-0.000735781155526638,-660382.25,-105176.5,0.15726065635681152,61.926143154501915
6,622.8896484375,13.913664519786835,-8.145475294440985e-05,-25.71966552734375,0.0,-192.9720458984375,-34.622283935546875,-25.89984130859375,0.0,-144.47317504882812,0.0,-0.0006191534921526909,-694696.75,-93242.0,0.16157281398773193,62.01958003640175
7,705.697265625,14.776887422427535,-7.941629155538976e-05,-26.35162353515625,0.0,-194.6942138671875,-34.0755615234375,-25.0848388671875,0.0,-141.64712524414062,0.0,-0.0006265267729759216,-700898.5,-90305.25,0.14327478408813477,61.221656799316406
8,792.7216796875,15.098125480115414,-8.415381307713687e-05,-27.13458251953125,0.0,-206.6029052734375,-33.897674560546875,-29.26776123046875,0.0,-136.54669189453125,0.0,-0.0006758766248822212,-743768.5,-105365.0,0.17547786235809326,61.1921493858099
9,817.4462890625,16.158918352797627,-8.530079503543675e-05,-27.0628662109375,15.4981689453125,-211.782958984375,-34.119903564453125,-26.284423828125,574.6978759765625,-116.47216796875,202.906982421875,-0.000810207799077034,-762421.0,-94627.0,0.12326765060424805,61.08331739902496
10,748.646484375,16.160581990145147,-8.408699068240821e-05,-27.77069091796875,43.7454833984375,-210.84234619140625,-32.552642822265625,-28.88409423828125,1219.1038818359375,-113.69058227539062,500.3427734375,-0.0008627548813819885,-759034.0,-103980.25,0.1420522928237915,60.869732707738876
11,752.8935546875,16.032840311527252,-8.05996241979301e-05,-26.5777587890625,19.95709228515625,-207.88372802734375,-31.504440307617188,-27.30706787109375,1232.405029296875,-106.69451904296875,460.36767578125,-0.000708339735865593,-748381.75,-98305.5,0.218206524848938,61.93499504029751
12,702.3330078125,15.203551850281656,-7.704662857577205e-05,-27.41302490234375,9.97393798828125,-192.731201171875,-29.79644775390625,-26.484130859375,615.4959716796875,-118.48690795898438,210.4405517578125,-0.0006479881703853607,-693832.0,-95342.75,0.17110538482666016,62.29597978293896
13,676.92578125,16.064387967810035,-7.928680861368775e-05,-28.3619384765625,0.0,-191.4757080078125,-30.831451416015625,-25.95806884765625,0.0,-132.83905029296875,0.0,-0.000774916261434555,-689308.25,-93447.75,0.21065866947174072,62.055931091308594
14,563.6484375,16.835892006754875,-7.349095540121198e-05,-26.16455078125,0.0,-196.40203857421875,-32.173797607421875,-26.9671630859375,0.0,-139.0037841796875,0.0,-0.0007952824234962463,-707046.5,-97082.75,0.2096421718597412,61.253089904785156
15,613.6875,16.58754188194871,-7.206213194876909e-05,-27.83294677734375,0.0,-195.84466552734375,-32.403106689453125,-29.81585693359375,0.0,-133.3287353515625,0.0,-0.0007909722626209259,-705038.75,-107339.5,0.25140881538391113,61.43401336669922
16,679.90234375,16.541679739952087,-7.456514867953956e-05,-26.55230712890625,0.0,-197.33087158203125,-31.798858642578125,-28.29962158203125,0.0,-136.06930541992188,0.0,-0.0007536467164754868,-710392.75,-101876.75,0.23209071159362793,60.94224891066551
17,695.6982421875,15.928884506225586,-7.838272722437978e-05,-27.3408203125,16.517578125,-195.3145751953125,-32.798309326171875,-26.52001953125,583.9373779296875,-145.22329711914062,216.420166015625,-0.0007848814129829407,-703134.75,-95471.5,0.22275269031524658,61.1548121124506
18,727.35546875,15.891085047274828,-7.267831824719906e-05,-21.7540283203125,58.78424072265625,-195.305419921875,-32.22467041015625,-26.0086669921875,1211.21533203125,-150.43191528320312,513.7550048828125,-0.0008843885734677315,-703101.25,-93630.5,0.29971539974212646,60.57728171348572
19,720.5859375,16.504680633544922,-7.466663373634219e-05,-24.72100830078125,52.62548828125,-207.5938720703125,-32.33457946777344,-24.84857177734375,1221.199951171875,-144.3352813720703,505.4224853515625,-0.0009340737015008926,-747336.0,-89456.0,0.27566683292388916,60.52263990044594
20,712.966796875,16.844299007207155,-7.726636249572039e-05,-23.24212646484375,32.1029052734375,-206.9925537109375,-32.186248779296875,-23.70623779296875,609.3074951171875,-150.66506958007812,238.52001953125,-0.0010536611080169678,-745171.0,-85343.25,0.22927439212799072,60.38032531738281
21,703.021484375,16.48572159744799,-8.398937643505633e-05,-25.41033935546875,0.0,-205.1590576171875,-32.01177978515625,-24.41070556640625,0.0,-168.0048828125,0.0,-0.00104476697742939,-738574.5,-87875.5,0.19265997409820557,60.586082458496094
22,591.142578125,17.482275016605854,-9.619005140848458e-05,-31.01123046875,0.0,-231.12347412109375,-32.372222900390625,-26.27642822265625,0.0,-154.25302124023438,0.0,-0.0010842075571417809,-832046.25,-94596.0,0.169275164604187,59.73357743024826
