,mslp
0,100643.0625
1,100734.5
2,100747.0625
3,100647.8125
4,100519.1875
5,100602.0625
6,100656.6875
7,100574.0625
8,100515.75
9,100541.9375
10,100525.125
11,100330.625
12,100202.625
13,100218.875
14,99972.1875
15,99862.6875
16,99751.3125
17,99723.0
18,99733.5
19,99561.4375
20,99502.5
21,99605.3125
22,99447.6875
23,99381.6875
24,99318.5
25,99401.0625
26,99441.9375
27,99413.3125
28,99346.1875
29,99475.75
30,99348.5625
31,99327.5625
32,99292.5625
33,99337.1875
34,99137.1875
35,99123.3125
36,99130.875
37,99248.9375
38,98994.375
39,99023.4375
40,98994.5625
41,99064.875
42,99037.375
43,99029.6875
44,98930.0625
45,98994.125
46,98928.9375
47,98919.0
48,98789.9375
49,98861.5
50,98915.875
51,99005.875
52,98985.9375
53,99110.3125
54,98984.3125
55,99115.25
56,99184.375
57,99280.4375
58,99538.6875
59,99674.6875
60,99625.25
61,99698.75
62,99789.6875
63,99839.6875
64,99830.8125
65,99789.5
66,99891.8125
67,99888.1875
68,99837.3125
69,99826.3125
70,99843.25
71,99810.375
72,99678.25
73,99620.25
74,99623.0625
75,99631.5625
76,99587.625
77,99636.6875
78,99771.75
79,99835.0
80,99815.4375
81,99899.125
82,100160.1875
83,100082.4375
84,99884.875
