,mslp
0,100604.25
1,100328.75
2,100268.3125
3,100387.4375
4,100470.5625
5,100283.125
6,100091.3125
7,100224.0625
8,100102.5
9,99876.3125
10,99765.875
11,99858.8125
12,99923.0625
13,99731.25
14,99524.9375
15,99590.6875
16,99768.5625
17,99557.8125
18,99465.875
19,99618.0625
20,99516.25
21,99055.25
22,98873.5625
23,98985.25
24,99186.5
25,98995.9375
26,98777.875
27,98950.4375
28,98756.4375
29,98496.75
30,98163.125
31,98344.5
32,98268.3125
33,98213.75
34,97882.9375
35,98058.9375
36,98152.25
37,98793.3125
38,98669.5625
39,98755.75
40,99090.75
41,99063.6875
42,98945.0625
43,99080.875
44,99361.875
45,99457.5625
46,99446.625
47,99506.5
48,99695.25
49,99759.25
50,99552.625
