,outcape,outinst_10m_wnd_gst,outinst_moisture_flux,outinst_ssh_flux,outsurfmean_swr_flux,outsurfmean_lhf,outsurfmean_lwr_flux,outsurfmean_shf,outdwnwrdmean_swr_flux,outtopmean_lwr_flux,outtopmean_swr_flux,outvimean_moisture_div,outsurf_lhf,outsurf_shf,outtot_suprcool_liqwtr,outtot_wtr_vpr
0,619.5692708333333,8.158925654552878,-4.408970708027482e-05,-11.428857421875,0.0,-111.2671142578125,-43.83073933919271,-12.449251302083333,0.0,-220.1832275390625,0.0,-6.207811335722606e-05,-400561.3333333333,-44817.11666666667,0.0447644313176473,56.54659830729167
1,666.0959309895833,7.80871774268647,-4.3475437754144273e-05,-12.912581380208334,0.0,-108.00169270833334,-42.86221516927083,-13.466219075520833,0.0,-219.0434590657552,0.0,-7.767677307128907e-05,-388806.86666666664,-48478.85,0.04504482746124268,56.181675974528
2,694.1400065104167,7.988600538702061,-4.5371676484743755e-05,-13.13060302734375,0.00026041666666666666,-110.0030517578125,-44.089369710286455,-13.06419677734375,0.0126708984375,-221.71222534179688,0.007283528645833333,-7.125462094942729e-05,-396011.9666666667,-47031.51666666667,0.04528601964314779,56.11301829020182
3,652.8527994791667,8.670615323384602,-4.893975953261057e-05,-12.088553873697917,141.95982666015624,-121.60365397135416,-42.712440999348956,-12.323787434895833,590.4439534505208,-220.80963948567708,387.850927734375,-2.6747211813926695e-05,-437773.2,-44366.28333333333,0.028560376167297362,56.217259969313936
4,487.34796421161826,8.488693462862514,-4.951365744208152e-05,-9.830616044800312,417.9911461034751,-124.50298337817686,-42.208399285914,-11.418044727372925,1139.7426332339212,-228.24560344268673,866.3393818075726,-1.882817364332587e-05,-448210.20331950206,-41104.20331950208,0.03561205883738411,57.024823132392285
5,534.9058919270833,8.126815859352549,-4.6148966066539285e-05,-9.514029947916667,321.3419677734375,-119.66923014322917,-43.675689697265625,-10.876192220052083,963.0422932942708,-228.10069580078124,698.5479573567708,-3.474807987610499e-05,-430809.4666666667,-39153.98333333333,0.04137858549753825,57.0008506372571
6,558.7262059128631,8.0221428009237,-4.427419797637156e-05,-9.208603475103734,30.229127496109957,-112.93969929168827,-42.065916955718365,-9.630650690482366,176.3354674533195,-222.67235416396525,106.97502269190872,-6.201685526064323e-05,-406582.16597510374,-34670.8091286307,0.03349437159621369,56.95667792355866
7,592.6659830729167,8.014018988547226,-4.4318436024089655e-05,-9.150944010416667,0.0,-111.052490234375,-39.766815185546875,-8.788114420572917,0.0,-216.82073974609375,0.0,-1.6312859952449798e-05,-399788.1,-31636.866666666665,0.025528963406880698,56.79223887125651
8,516.8799479166667,7.977602895100912,-4.39912430010736e-05,-8.860298665364583,0.0,-111.09934895833334,-41.449163818359374,-9.739510091145833,0.0,-218.42647908528645,0.0,-1.691052069266637e-05,-399958.86666666664,-35061.03333333333,0.02437911828358968,56.788683054347835
9,597.7853190104166,7.668916733625035,-4.2534025851637125e-05,-10.339042154947917,0.0,-107.88448079427083,-41.55651041666667,-11.13756103515625,0.0,-221.24071858723957,0.0,-1.5081713596979777e-05,-388384.6666666667,-40095.333333333336,0.0255584716796875,56.474072774251304
