,outmslp,outconv_rrate,outls_rrate,outmn_conv_prate,outmn_ls_prate,outmn_tot_prate,outsst
0,100963.82021524897,0.00010783757040609462,3.0161681511590096e-05,0.00011141690970456452,2.905451286877834e-05,0.00014047207179405878,301.5342516143238
1,101024.05071614584,0.00010670470073819161,3.513780732949575e-05,0.00011420957744121552,3.502238541841507e-05,0.0001492291068037351,301.53699979826877
2,100831.30426607883,0.0001221314938236569,4.173240226334061e-05,0.00011071602956882652,4.203005450395133e-05,0.00015274531119097317,301.51489097944926
3,100739.36263020833,0.00010389657691121102,4.346522813042005e-05,0.00011131836411853631,4.294052099188169e-05,0.00015425877645611764,301.5165799869261
4,100901.53645833333,8.329559738437334e-05,4.2572182913621266e-05,8.376222103834152e-05,4.235580563545227e-05,0.0001261231489479542,301.5165799869261
5,101027.01171875,0.00010225713873902956,3.3252003292242685e-05,9.393524378538131e-05,3.5826706637938816e-05,0.00012976359575986863,301.5165799869261
6,100903.37415364584,0.00010807315508524577,2.496525024374326e-05,0.00011191141481200853,2.531468247373899e-05,0.0001372260351975759,301.51780809167377
7,100844.9232421875,0.00010820490618546804,4.8059597611427306e-05,0.00011304340635736783,4.657351722319921e-05,0.00015961723402142526,301.5225921443635
8,101002.93730549792,8.390448152771629e-05,4.966847629467976e-05,8.869313352830182e-05,4.996962196104754e-05,0.00013865907657195918,301.48622021424757
9,101059.71223958333,0.00010656599576274554,4.711470877130826e-05,0.00010054541441301505,4.907635351022085e-05,0.0001496222491065661,301.4874212159701
10,100881.9287109375,0.00015497012063860893,4.230753208200137e-05,0.0001411448853711287,4.339913527170817e-05,0.00018453958133856456,301.493196317304
11,100806.33509114584,0.00014376680677135784,3.345248599847158e-05,0.0001398220503081878,3.292498489220937e-05,0.00017274233202139536,301.4740810755925
12,100989.77307942709,0.00013855146244168282,3.251961121956507e-05,0.00013665837856630486,3.1649166097243626e-05,0.0001683098574479421,301.4679311806412
13,101087.69873046875,0.00012715328484773635,3.602666159470876e-05,0.00013407186294595402,3.5303831100463864e-05,0.00016937125474214554,301.46150197994695
14,100971.56106770833,0.00013285754248499871,4.038003583749135e-05,0.00014092305985589822,3.869226202368736e-05,0.00017961437503496807,301.4379845598305
15,100920.686328125,0.00016493887330094973,5.688238888978958e-05,0.000159501563757658,5.717662473519643e-05,0.0002166755497455597,301.4356686290682
16,101093.17005208334,0.0001467755064368248,6.135329604148865e-05,0.00015115362281600635,6.486450632413229e-05,0.0002160179428756237,301.40602984540396
17,101178.1865234375,0.00013818188259998956,6.658242394526799e-05,0.00013575592699150246,6.466008101900419e-05,0.0002004163960615794,301.40309652373827
18,100994.55123697917,0.00014332477003335952,6.484625240166982e-05,0.0001457669927428166,6.589001665512721e-05,0.0002116666485865911,301.3744768055496
19,100903.9185546875,8.928067982196807e-05,5.206714073816935e-05,0.00011733223994572958,5.2437341461579e-05,0.00016976740832130114,301.3744768055496
20,101038.77786458333,9.228962784012159e-05,4.508274917801221e-05,9.268404295047125e-05,4.7009096791346866e-05,0.0001396931397418181,301.34455988292314
21,101148.76569010416,9.830323979258538e-05,4.333822677532832e-05,9.258892387151719e-05,4.361371199289958e-05,0.00013621014853318532,301.314836403383
22,101069.0302734375,0.0001228671210507552,4.497303937872251e-05,0.00011696388634542624,4.301521306236585e-05,0.00015997650722662609,301.28643603738584
23,101033.5611328125,0.00012013449644049009,5.270121619105339e-05,0.00011576632969081401,5.0493857512871426e-05,0.00016626169284184774,301.2645334808421
24,101174.971484375,0.00011728030319015185,5.429759621620178e-05,0.00011962236215670904,5.347135787208875e-05,0.0001730932854115963,301.30047853882127
25,101234.25716145833,0.00012012648706634839,6.0095141331354775e-05,0.00011642593890428543,5.956872676809629e-05,0.00017599379643797874,301.27778447269657
26,101071.28526970954,0.000129494553285021,6.811286774908358e-05,0.00012460618407399824,6.882654680750677e-05,0.00019343642525653128,301.25051384571333
27,100997.80595703125,0.00010088055084149043,7.498282939195633e-05,0.00011304997218151888,7.70475094517072e-05,0.00019009917353590328,301.23918087789224
28,101142.99345703125,6.928673634926478e-05,7.040230557322502e-05,7.253132450083892e-05,6.985437745849291e-05,0.00014238816996415456,301.21735725456995
29,101306.69163411458,5.950387567281723e-05,5.727844933668773e-05,5.703037604689598e-05,6.051228071252505e-05,0.00011754340181748072,301.19746032092337
30,101213.05729166667,5.660640696684519e-05,6.032871703306834e-05,5.238237790763378e-05,6.109171857436498e-05,0.00011347563316424688,301.1699131601383
31,101165.819921875,5.347247545917829e-05,4.98941478629907e-05,5.3330976516008374e-05,5.170417328675588e-05,0.00010504135861992836,301.14495028968616
32,101297.28997395834,4.0607433766126634e-05,3.894406060377757e-05,4.34840718905131e-05,4.0362713237603504e-05,8.38463194668293e-05,301.20142424811706
33,101369.78499348958,3.492698694268862e-05,3.499174490571022e-05,3.3604446798563004e-05,3.4402962774038316e-05,6.800806149840355e-05,301.179722019313
34,101158.03968098959,5.608790864547094e-05,3.353549788395564e-05,4.390748217701912e-05,3.329232955972354e-05,7.720328867435455e-05,301.1741840683411
35,101049.11552734375,3.4854436914126076e-05,2.3336553325255713e-05,3.49140881250302e-05,2.3932879169782003e-05,5.8848317712545396e-05,301.1479910974402
36,101156.66988932292,1.4501344412565232e-05,1.6118896504243214e-05,1.5981138373414674e-05,1.649533708890279e-05,3.247379014889399e-05,301.1244286605992
37,101301.93255208334,1.4312472194433212e-05,1.012583573659261e-05,1.2957242627938589e-05,1.1755339801311494e-05,2.4715655793746313e-05,301.1036085999917
38,101199.30416666667,2.1675322204828263e-05,1.1320350070794423e-05,1.7747562378644943e-05,1.12467755873998e-05,2.899942919611931e-05,301.0895561322774
39,101148.9955078125,2.4979375302791597e-05,1.0907091200351715e-05,2.5532968963185945e-05,1.0466016829013824e-05,3.5995431244373324e-05,301.06820190947667
40,101273.95315755208,1.8298315505186718e-05,1.1719142397244772e-05,1.9434420391917228e-05,1.2538768351078033e-05,3.197658807039261e-05,301.0987750445758
41,101313.85078125,1.9250313440958657e-05,7.6087191700935365e-06,1.9586924463510513e-05,8.732142547766368e-06,2.8318228820959727e-05,301.07506221344113
42,101061.14108072917,3.751410792271296e-05,1.0634275774161021e-05,3.689541481435299e-05,9.643752127885818e-06,4.6540517359972e-05,301.0509411775613
43,100954.80764973958,3.8366423298915225e-05,1.089715709288915e-05,4.4014273832241695e-05,1.016731063524882e-05,5.418664465347926e-05,301.00177387224875
44,101101.99912109374,1.4985818415880203e-05,8.60827664534251e-06,1.529251846174399e-05,8.136530717213948e-06,2.343098943432172e-05,301.00076973240243
45,101272.40494791667,1.5238362054030101e-05,1.8740911036729814e-05,1.4755486821134886e-05,1.888883610566457e-05,3.364511455098788e-05,300.9373630123171
46,101217.52447916666,3.271546835700671e-05,2.9578898102045058e-05,2.559752513964971e-05,2.7937224755684533e-05,5.353537077705065e-05,300.9069368461054
47,101213.14720052083,4.091359054048856e-05,3.174201895793279e-05,3.534057177603245e-05,3.462750464677811e-05,6.995806470513343e-05,300.88546791144904
48,101365.17890625,3.368916610876719e-05,4.161711161335309e-05,3.744824789464474e-05,4.165178785721461e-05,7.910067215561866e-05,300.9048842777747
49,101464.24908854166,3.659271945556005e-05,4.4842436909675595e-05,3.3576491599281626e-05,4.689712077379227e-05,8.046428362528483e-05,300.8842430320946
50,101249.73076171875,7.034484297037124e-05,3.608278930187225e-05,7.457132451236249e-05,4.043799514571826e-05,0.00011501237750053406,300.8843925957207
51,101132.88069661458,5.2546306202809014e-05,1.716427505016327e-05,6.921148548523585e-05,1.916438341140747e-05,8.83746271332105e-05,300.884130419482
52,101276.2474609375,1.672751580675443e-05,1.1784955859184265e-05,2.0810759936769805e-05,1.2420893957217535e-05,3.32371952633063e-05,300.9146492866848
53,101401.00908203125,2.95921228826046e-05,9.843831260999044e-06,2.9419145236412683e-05,9.809092928965886e-06,3.922988350192706e-05,300.9418312887668
54,101332.91223958334,3.953206663330396e-05,1.5916830549637476e-05,3.412656175593535e-05,1.445493350426356e-05,4.8582690457503004e-05,300.9415282176461
55,101322.82623697916,3.740619868040085e-05,1.5071406960487365e-05,3.667197500665982e-05,1.626914987961451e-05,5.294783040881157e-05,300.965174700595
56,101475.36761067709,2.4873546014229456e-05,1.1529463032881418e-05,2.6881632705529532e-05,1.2946221977472305e-05,3.983033820986748e-05,301.01789031742123
57,101531.1986328125,3.7107989192008974e-05,1.0020720462004343e-05,3.202063962817192e-05,9.5379538834095e-06,4.156163583199183e-05,301.03383878382243
58,101302.27755446058,7.011982538888068e-05,1.537741096187924e-05,6.886851428949981e-05,1.4905211094504075e-05,8.377720335212486e-05,301.030098100142
