,mslp
0,100713.0
1,100792.0625
2,100875.75
3,100825.1875
4,100716.875
5,100761.8125
6,100885.0
7,100809.875
8,100692.25
9,100711.375
10,100822.5
11,100699.5625
12,100559.375
13,100547.5625
14,100604.9375
15,100517.875
16,100373.3125
17,100410.125
18,100439.4375
19,100345.25
20,100265.75
21,100184.875
22,100326.9375
23,100194.625
24,100117.8125
25,100147.75
26,100218.9375
27,100141.0625
28,100069.875
29,100058.8125
30,100140.5625
31,100159.6875
32,100026.875
33,100075.0
34,100177.6875
35,100105.3125
36,99969.5625
37,100017.0625
38,100071.375
39,100064.875
40,99877.625
41,99835.25
42,99873.375
43,99737.3125
44,99531.125
45,99481.5
46,99437.625
47,99345.5
48,99155.125
49,99194.75
50,99243.5625
51,99141.125
52,99055.3125
53,99072.6875
54,99192.1875
55,99249.375
56,99080.625
57,99165.5625
58,99375.25
59,99503.25
60,99560.5625
61,99692.0625
62,99795.875
63,99895.25
64,99941.6875
65,100107.5
66,100327.8125
67,100421.3125
68,100431.5625
69,100488.0625
70,100710.6875
71,100737.25
72,100730.25
