,outeqt100,outeqt1000,outeqt200,outeqt250,outeqt300,outeqt400,outeqt500,outeqt600,outeqt700,outeqt800,outeqt850,outeqt925,shear_850_200,shear_850_200.1,shear_850_200.2,shear_850_200.3,shear_850_200.4,shear_850_200.5,shear_850_200.6,shear_850_200.7,shear_850_200.8,shear_850_200.9,shear_850_200.10,shear_850_200.11,shear_850_200.12,shear_850_200.13,shear_850_200.14,outdiv_50,outdiv_100,outdiv_200,outdiv_250,outdiv_300,outdiv_400,outdiv_500,outdiv_600,outdiv_700,outdiv_800,outdiv_850,outdiv_925,outdiv_1000
0,367.891068581257,350.3154776460377,353.5553032741099,351.21965270273887,348.90099236319594,344.4343218014846,484.660163016344,340.6032052837818,337.39937533993765,337.69148746729803,339.1693001126253,340.4076557144201,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,14.04938128956516,2.781888664079209e-06,5.379552021622658e-07,8.167093619704247e-06,3.4734082873910664e-06,-7.207971066236496e-07,-5.126581527292728e-07,-3.4276900502542657e-06,-6.727874279022217e-07,-2.2457757343848545e-06,-3.045797348022461e-06,-2.693672043581804e-06,-1.7294349769751231e-06,-2.035809059937795e-06
1,369.0417153358929,350.05217227884134,353.6182519010489,351.0852761699019,348.6925558911554,344.16313037864495,484.6031055537599,339.8338482328698,336.5705942901365,336.9790605474929,339.0033968919448,340.4133340194598,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,13.30427601824049,4.213614738546312e-06,-1.4035962522029876e-06,8.316943421959877e-06,5.507275151709715e-06,-1.3300140077869098e-06,-1.901636521021525e-06,-4.181987605988979e-06,-1.367480338861545e-06,-9.490021814902624e-07,-1.3803442319234211e-06,-1.8089311197400091e-06,-1.5294722591837248e-06,-1.2941115225354831e-06
2,369.6099026585159,350.3924339363371,354.0134122336128,351.30267527016514,348.92420493277655,344.25692753695245,483.58407116858615,339.93656054094913,336.5987776553421,337.13060547407025,339.4270792052661,341.2238792562222,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,12.894532820892833,3.510305153516432e-06,-4.0976873909433685e-06,7.876818805622558e-06,4.843459464609623e-06,-2.3948649565378825e-06,-2.9986646647254625e-06,-3.769943335403999e-06,-6.623604955772559e-07,6.236446400483449e-07,-5.680291603008906e-07,-8.787882203857104e-07,-2.652639523148537e-07,-3.2223761081695565e-08
3,369.9004506321384,351.0394787608533,354.3500875237673,351.6010464411438,349.13001723524553,344.08856488689895,482.7955919766081,339.701051078343,336.67697969479076,337.22122433936266,340.0958401286227,342.10474783679757,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,12.842512808701334,5.212709462891023e-06,-3.4687536147733527e-06,5.319931854804357e-06,2.362051357825597e-06,-2.053934925546249e-06,-2.5005079805850984e-06,-3.6510600087543327e-06,-9.118036056558293e-08,1.1537262859443825e-06,2.566569795211156e-07,2.1808470288912454e-07,1.0057430093487103e-06,7.23020639270544e-07
4,370.41470752011134,351.2104635671265,354.6109558881069,351.9323935849365,349.5421308912673,344.4042388231506,484.2919799579961,339.6559628801869,337.25430734713495,337.85524215102413,340.70033194826306,342.712084711153,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,11.782306020419734,-8.961001488690575e-07,-4.1165583146115145e-06,6.9049730276068056e-06,1.1214210341374078e-06,-1.9375157232085866e-06,-4.213671976079543e-06,-2.561823930591345e-06,-5.66733069717884e-07,1.0639584312836329e-07,-2.2179447114467621e-07,-3.614230081439018e-07,-4.276089991132418e-07,-3.737591517468293e-07
5,369.84053709055945,351.5957572821825,354.21126402281806,351.78505970050236,349.5802702890051,344.46130103867193,485.62212699949725,340.0741796690791,337.46106418618496,338.078875676047,340.7028752820384,342.73381551325787,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,11.350758709344277,-4.015546680117647e-06,-3.926161055763563e-06,7.337774150073528e-06,2.068654672863583e-06,-1.883355434983969e-06,-4.958491384362181e-06,-2.382330906887849e-06,-4.443456418812275e-07,6.211611131827037e-07,-1.0933571805556615e-06,-2.333894371986389e-07,6.080527479449908e-07,-7.58333286891381e-07
6,369.44285262814367,351.91232486901913,353.90130842140127,351.4819667624249,349.21495890179165,343.86858699640504,486.0105167038135,339.5889105585718,336.90885725404854,337.57456182916343,340.4392208153156,342.4637448997897,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,11.950911883936108,-2.3785745725035667e-06,-3.4564950813849766e-06,6.7253519470493e-06,2.519933817287286e-06,-1.465905612955491e-06,-3.052658090988795e-06,1.2467343670626482e-06,1.2385309673845768e-06,1.165197075655063e-06,-1.6011840974291169e-06,-1.417465197543303e-06,-5.923211574554443e-07,-1.7852367212375006e-06
7,368.84489382424874,352.37225978662275,353.806763692491,351.2291120532948,348.8772196189407,343.41910707508384,486.3130120235404,339.3592508627725,336.4205392499315,337.19218579697537,340.1740522689919,342.14855952319107,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,12.478953200695106,-2.2756362644334637e-06,-2.623516290138165e-06,5.421748695274194e-06,2.934178337454796e-06,-2.770801074802876e-07,-1.5224912203848362e-06,2.2792257368564607e-06,1.0684171381096045e-06,2.0177879681189855e-07,-2.063663365940253e-06,-2.673237274090449e-06,-2.931291237473488e-06,-2.7467884744207065e-06
8,368.45770851073627,351.52606044316707,353.9077387109705,351.2815215305843,349.11333111749326,344.1501107145317,487.99493856362477,339.4143034098355,336.8268269980375,338.2206249775032,340.19457184286074,341.53091980642165,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,14.25099793287615,-6.101372612950703e-06,-9.911212449272473e-07,6.205689472456773e-06,2.933650587995847e-06,-2.2093881852924825e-07,1.6530975699424746e-07,2.498389221727848e-07,1.612934283912182e-07,-1.7688532049457233e-07,-2.0979127536217373e-06,-3.144183817009131e-06,-3.994298943628868e-06,-4.166283179074526e-06
9,367.8989348669438,351.04672384356206,354.4180846075576,351.49487333465663,349.1794657496218,344.21610680493575,488.88632887138743,339.79863712707777,336.49403690680475,338.094122636644,340.4079380931704,341.83129709504345,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,14.48130810065971,-7.811987112897137e-06,3.477946544686953e-07,6.320117972791195e-06,3.9119506254792215e-06,1.2974953278899192e-06,1.7214566469192506e-06,1.007438792536656e-06,4.83038214345773e-07,-7.863971404731274e-07,-3.3426952237884203e-06,-4.381244070827961e-06,-5.190237425267697e-06,-5.011726170778275e-06
