,mn_mslp,conv_rrate,ls_rrate,mn_conv_prate,mn_ls_prate,mn_tot_prate,sst
0,100212.6162109375,0.00015739444643259048,0.0003034556284546852,0.00017732661217451096,0.0003073364496231079,0.0004846407100558281,302.7031021118164
1,100291.1923828125,0.00014733057469129562,0.00031562522053718567,0.00014659552834928036,0.0003374693915247917,0.00048407213762402534,302.7176628112793
2,100293.5361328125,0.00025218212977051735,0.0003419863060116768,0.0002051007468253374,0.00034210970625281334,0.0005472153425216675,302.67053985595703
3,100238.4140625,0.00022819871082901955,0.0003242865204811096,0.00020102737471461296,0.0003095152787864208,0.0005105473101139069,302.7015571594238
4,100168.5810546875,0.00019748229533433914,0.00037432368844747543,0.000188878970220685,0.0003449823707342148,0.0005338629707694054,302.7059326171875
5,100279.208984375,0.00016071181744337082,0.00033197272568941116,0.0001489741262048483,0.00031951069831848145,0.0004684911109507084,302.6951484680176
6,100383.287109375,0.00023317057639360428,0.00031809788197278976,0.00022705201990902424,0.000307528767734766,0.0005345763638615608,302.6329345703125
7,100273.2744140625,0.00030791107565164566,0.00031423475593328476,0.0002800335641950369,0.00029952265322208405,0.00057956762611866,302.54320907592773
8,100149.8173828125,0.0003058984875679016,0.00035274121910333633,0.0003104496281594038,0.00035196542739868164,0.0006624273955821991,302.45105361938477
9,100181.59375,0.00016104662790894508,0.00040491484105587006,0.0001814833376556635,0.00041611073538661003,0.0005975803360342979,302.21895599365234
10,100188.0556640625,0.00010958826169371605,0.00025852955877780914,0.00012781587429344654,0.0002682246267795563,0.00039604492485523224,301.92115020751953
11,100124.59375,0.00011985562741756439,0.00018563680350780487,0.00010626250877976418,0.00018931180238723755,0.0002955840900540352,301.83295822143555
12,100061.130859375,0.00015345308929681778,0.00019186735153198242,0.00013602152466773987,0.0001692911610007286,0.0003053080290555954,301.7323684692383
13,100111.77734375,0.00026949169114232063,0.00022668298333883286,0.00025116349570453167,0.0002059033140540123,0.00045706145465373993,301.66595458984375
