,wind10
0,12.507874488830566
1,13.122838020324707
2,11.460068702697754
3,10.952725410461426
4,10.713788032531738
5,10.91220474243164
6,10.210408210754395
7,10.919622421264648
8,11.041767120361328
9,9.562355995178223
10,9.644979476928711
11,10.313508033752441
12,9.123824119567871
13,8.887097358703613
14,8.632573127746582
15,8.51702880859375
16,9.212255477905273
17,9.096114158630371
18,8.526934623718262
19,8.800346374511719
20,10.661112785339355
21,9.780595779418945
22,9.974030494689941
23,9.537524223327637
24,10.175283432006836
25,8.661113739013672
26,10.109413146972656
27,10.490569114685059
28,10.6336030960083
29,11.375075340270996
30,12.471782684326172
31,11.977993965148926
32,12.689313888549805
33,11.904987335205078
34,11.918600082397461
35,12.72767448425293
36,13.858924865722656
37,14.394068717956543
38,15.827235221862793
39,15.799825668334961
40,15.405945777893066
41,16.500802993774414
42,19.106103897094727
43,21.183313369750977
44,22.695528030395508
45,22.583629608154297
46,20.36554527282715
47,19.078474044799805
48,18.053983688354492
49,17.506450653076172
50,18.949026107788086
