,wind10
0,10.211284637451172
1,10.837778091430664
2,11.922104835510254
3,12.625205039978027
4,12.807665824890137
5,13.714923858642578
6,14.201285362243652
7,13.496295928955078
8,14.260868072509766
9,14.09918212890625
10,13.870744705200195
11,13.606985092163086
12,14.24168872833252
13,14.926411628723145
14,14.989786148071289
15,14.735003471374512
16,14.578572273254395
17,13.943537712097168
18,13.861452102661133
19,14.475465774536133
20,13.719481468200684
21,14.798439979553223
22,16.01012420654297
23,15.5382719039917
24,15.791240692138672
25,15.372562408447266
26,14.808210372924805
27,14.7545804977417
28,13.789673805236816
29,14.614684104919434
30,15.231391906738281
31,16.765907287597656
32,17.001502990722656
33,17.805891036987305
34,18.338062286376953
35,18.324378967285156
36,18.345848083496094
37,19.313255310058594
38,19.490802764892578
39,18.795900344848633
40,22.114078521728516
41,21.411771774291992
42,22.031387329101562
43,22.134363174438477
44,22.128978729248047
45,23.753684997558594
46,24.227949142456055
47,24.603206634521484
48,24.713531494140625
49,26.011228561401367
50,23.543367385864258
51,23.558576583862305
52,22.891185760498047
53,21.54941177368164
54,18.343585968017578
55,16.81516456604004
56,16.682008743286133
57,16.509063720703125
58,15.364383697509766
59,15.348321914672852
60,15.693318367004395
61,15.393317222595215
62,15.301682472229004
63,15.031095504760742
64,15.639211654663086
65,16.345447540283203
66,16.189170837402344
67,16.061264038085938
68,15.542131423950195
