,mslp
0,100794.8125
1,100678.125
2,100591.125
3,100615.25
4,100723.875
5,100624.1875
6,100499.0625
7,100487.1875
8,100555.0625
9,100446.0625
10,100273.3125
11,100327.9375
12,100319.8125
13,100225.0625
14,100066.6875
15,100118.875
16,100179.8125
17,99968.5
18,99794.6875
19,99794.8125
20,99824.4375
21,99714.375
22,99529.3125
23,99514.1875
24,99521.5625
25,99392.1875
26,99187.4375
27,99247.375
28,99297.5
29,99192.9375
30,98988.75
31,98949.0625
32,98910.4375
33,98857.125
34,98688.25
35,98732.25
36,98884.75
37,98794.9375
38,98652.0625
39,98606.875
40,98559.75
41,98371.9375
42,98211.1875
43,98243.5625
44,98344.3125
45,98342.25
46,98227.375
47,98208.5625
48,98282.4375
49,98197.8125
50,98013.3125
51,98086.8125
52,98205.8125
53,98169.75
54,98144.0
55,98309.9375
56,98385.25
57,98358.625
58,98182.8125
59,98210.6875
60,98324.4375
61,98336.5625
62,98196.125
63,98221.625
64,98215.5625
65,98032.125
66,97957.625
67,98331.5625
68,98407.625
69,98178.6875
70,98178.6875
71,98181.0
72,98595.3125
73,98745.3125
74,98845.6875
75,99061.125
76,99211.3125
77,99409.3125
78,99581.125
79,100005.5
80,100876.75
81,100903.75
82,100848.75
83,100929.4375
84,101043.8125
