,shear_1000_200,shear_1000_300,shear_1000_500,shear_1000_700,shear_1000_850,shear_850_200,shear_850_250,shear_850_300,shear_850_500,shear_925_200,shear_925_250
0,15.108386032966276,10.961692946043332,6.524828557042444,5.498772459942847,3.315989163836154,16.163149044057356,14.135110962809994,12.034797894897444,6.577978025823056,16.04238632148675,14.025694216273648
1,15.769281510170549,10.536505934041148,6.525527744650996,5.453785335078525,3.1505535693339577,16.275174795215328,13.403959206903043,11.254357286177886,6.444143905612873,16.46396897928789,13.58769003833489
2,17.78626920937871,11.815478688750106,7.068031317628144,6.017944179525754,3.289930655170853,18.23184691431622,14.106743058733022,12.232671764159265,6.679401768683844,18.165753068588675,14.19264003719436
3,17.81549025584633,12.153055176199025,7.179052760351139,5.717089764184008,3.2123788079770748,18.044699924842764,14.337561407638713,12.520242810800362,6.712568268350636,18.289778855380913,14.581695148496268
4,17.235060712958997,12.057730990605585,7.444805418730054,5.166704301225642,3.0850418548710876,17.46622244035825,14.350000982941129,12.487827886202528,6.893856009856488,17.87269564953943,14.558845881815069
5,16.902614127782485,11.865447016103039,7.703144163653875,4.768304671777878,3.2174392653493364,17.179565368654828,14.515094874581942,12.459494425232212,6.93810949684339,17.542800492917497,14.62450935114175
6,17.52982191170255,12.168138196486204,8.531001071441763,5.621572614177906,3.439826815664613,17.932088167903323,14.340278781832119,12.233213817266126,7.4768764983455185,18.00116915591061,14.413752345686468
7,17.453286584684005,11.830579501759106,8.293806585371689,5.575884043215774,3.6188004079352445,18.063968055943647,14.279367893530678,12.01934000441106,7.4014348996143475,18.108331624418497,14.351158357830718
8,17.53470128548021,11.102937221216658,8.26998040949305,5.457308085870076,3.6323728014540393,18.34260985131065,14.40168312381332,11.61103168107414,7.497341152400865,18.427922409151993,14.516009545450409
9,17.93271238268353,11.097398881618089,8.26618151301518,5.2426015011267735,3.7431323343286445,18.752066098339856,15.054918936422716,11.771649031963898,7.559541043592617,18.86224769266943,15.13753309689928
10,18.36077010569473,12.824862730747554,8.206016218980464,5.31314383475692,4.270530559768668,19.716092158605655,17.063899286153415,13.974470606601487,7.685756099957507,19.498269167914987,16.826119707152248
11,18.056968367782734,12.925483856006759,8.23225092072583,5.636519197696665,4.35846357109258,19.450753995155296,16.631456270220223,14.124022501618795,7.943592285842169,19.31353964159886,16.42882631882094
12,18.129033973052476,13.116451768491727,8.410029559613516,5.924303492028169,4.386581529059913,19.562133504574497,16.50988193428299,14.435181863656423,8.349425544888557,19.564791330260537,16.446037847944535
13,18.532848611916414,13.663034322605624,8.87071559940329,6.525964874426912,4.482617849233793,20.016753425107648,17.065723545562165,15.218831013286641,9.029282936364568,20.009669636158893,16.856382642892033
14,20.03182720656817,14.01545761479841,9.425656470735946,6.582546789179712,4.469959327000349,21.02019122924345,17.0244385101522,15.181963081657887,9.55268055908188,21.31320637766427,17.14458391194542
15,20.370417172422943,13.895732552294309,9.48000891993288,6.576687761597956,4.53525260235571,21.417730711749755,17.218433444589998,14.910786450929784,9.301450035485322,21.89459508388536,17.63038229777788
