,mslp
0,100691.1875
1,100412.8125
2,100341.6875
3,100498.375
4,100577.5625
5,100444.5625
6,100230.4375
7,100337.5
8,100397.875
9,100192.1875
10,100030.375
11,100097.875
12,100181.0625
13,99962.625
14,99827.9375
15,99914.6875
16,100043.1875
17,99892.5625
18,99723.4375
19,99790.125
20,99933.125
21,99825.3125
22,99674.8125
23,99710.125
24,99801.3125
25,99676.875
26,99535.9375
27,99694.375
28,99828.1875
29,99694.875
30,99559.5625
31,99628.375
32,99769.1875
33,99552.1875
34,99380.9375
35,99453.9375
36,99531.0625
37,99429.1875
38,99217.125
39,99234.125
40,99355.6875
41,99299.75
42,99133.5
43,99077.5
44,99149.3125
45,99162.5625
46,98893.3125
47,98831.75
48,99042.125
49,99067.375
50,98971.0625
51,98929.4375
52,99268.9375
53,99153.1875
54,98997.625
55,98839.4375
56,98753.625
57,98671.625
58,98464.4375
59,98374.125
60,98706.3125
61,98698.6875
62,98609.3125
63,98675.5
64,98890.1875
65,98836.5
66,98623.4375
67,98533.9375
68,98639.75
69,98654.625
70,98566.6875
71,98556.625
72,98787.9375
73,98753.0625
74,98577.875
75,98786.9375
76,99376.4375
77,99620.25
78,99525.25
79,99655.8125
80,99804.1875
81,99770.4375
82,99554.8125
83,99496.4375
84,99637.5
85,99541.375
86,99475.25
87,99537.1875
88,99675.5625
89,99531.375
90,99335.6875
91,99374.6875
92,99684.3125
93,99787.375
94,99664.6875
95,99625.1875
96,99913.0625
97,99950.1875
98,99784.6875
99,99831.875
100,100085.5
101,100116.1875
102,100064.6875
103,100076.25
104,100240.125
105,100328.0
106,100181.0625
107,100204.125
108,100310.3125
109,100311.0625
110,100102.625
111,100015.625
112,100064.3125
113,100022.0
114,99864.75
115,99868.0
116,99983.625
117,100099.0625
118,99998.625
119,99956.4375
120,100064.9375
121,100222.1875
122,100087.3125
123,100001.6875
124,100113.875
125,100311.0625
126,100228.5
127,99977.25
128,100029.9375
129,100066.0
130,99972.4375
131,100058.1875
132,100251.25
133,100503.5
134,100479.0
135,100487.5
136,100663.4375
137,100864.375
138,100735.0625
139,100727.3125
140,100874.0625
141,101064.5
142,101057.6875
