,mslp
0,100934.0625
1,100868.0625
2,100685.625
3,100683.6875
4,100856.1875
5,100906.5
6,100773.375
7,100748.375
8,100777.1875
9,100809.8125
10,100690.125
11,100602.375
12,100647.0625
13,100712.5
14,100572.0625
15,100536.5625
16,100612.125
17,100587.75
18,100434.9375
19,100319.625
20,100347.5
21,100391.625
22,100206.625
23,100081.125
24,100163.9375
25,100180.0625
26,100045.3125
27,99973.875
28,99889.25
29,99978.6875
30,99778.5625
31,99674.5
32,99668.375
33,99698.5625
34,99526.3125
35,99393.9375
36,99308.3125
37,99435.5625
38,99278.375
39,99157.3125
40,99119.0
41,99198.125
42,99092.9375
43,99014.625
44,99366.75
45,99684.1875
46,99628.5625
47,99566.1875
48,99789.8125
49,100044.3125
50,99964.5625
51,99753.375
52,99921.25
