,mslp
0,100067.1875
1,100182.8125
2,100236.75
3,100039.9375
4,99899.5625
5,100029.125
6,100029.5625
7,99814.9375
8,99746.5625
9,99892.625
10,99785.9375
11,99590.25
12,99492.3125
13,99600.75
14,99667.4375
15,99527.0625
16,99459.0625
17,99609.6875
18,99488.5
19,99301.25
20,99154.4375
21,99058.1875
22,98862.625
23,98618.1875
24,98436.0
25,98442.875
26,97604.0
27,97309.6875
28,97140.0625
29,97195.0
30,96631.75
31,96476.875
32,96348.5
33,96330.0625
34,95954.0625
35,95819.875
36,95654.0625
37,95806.6875
38,95872.1875
39,95577.375
40,95406.3125
41,95249.3125
42,95850.6875
43,95765.75
44,95620.3125
45,95563.3125
46,95747.6875
47,95893.8125
48,95997.25
49,96278.75
50,96739.25
51,96885.0
52,97012.625
53,97183.6875
54,97367.375
55,97363.3125
56,97283.3125
57,97348.0
58,97599.0
59,97608.9375
60,97591.0
61,97683.1875
62,97798.1875
63,97757.5
64,97778.625
65,97892.5
66,98219.8125
67,98134.0625
68,98066.4375
69,98090.875
70,98363.9375
71,98376.625
72,98402.0
73,98529.1875
74,98628.0625
75,98582.0
76,98418.0625
77,98221.8125
78,98020.75
79,97784.0
80,97735.875
81,97785.625
82,97706.8125
83,97771.3125
84,97769.625
85,97846.3125
86,97903.0
87,97941.625
88,98033.125
89,98188.875
90,98345.8125
91,98458.25
92,98530.0625
93,98711.125
94,98940.6875
95,98967.4375
96,99066.75
97,99200.5
98,99250.4375
99,99256.25
100,99251.8125
101,99300.25
102,99423.0
103,99350.125
104,99432.8125
105,99479.5
106,99504.875
107,99522.375
108,99577.4375
109,99651.8125
110,99717.875
111,99686.4375
112,99634.3125
113,99627.3125
114,99625.125
115,99576.5625
116,99515.4375
117,99525.125
118,99476.0
119,99376.0625
120,99337.375
121,99356.75
122,99431.4375
123,99358.5
124,99369.0625
125,99438.3125
126,99515.4375
127,99443.9375
128,99518.125
129,99614.875
130,99622.375
131,99635.1875
132,99640.0625
133,99670.875
134,99669.5625
135,99643.5
136,99723.125
137,99848.875
138,99910.1875
139,99970.375
140,100024.625
141,100187.625
142,100336.3125
143,100419.9375
144,100565.3125
145,100748.8125
146,100807.1875
