,mslp
0,99580.75
1,99584.0
2,99360.625
3,99330.4375
4,99479.4375
5,99365.6875
6,99302.1875
7,99297.6875
8,99398.6875
9,99353.3125
10,99190.75
11,98960.1875
12,99136.375
13,98939.5625
14,98872.625
15,98776.625
16,99009.875
17,99084.25
18,98967.875
19,98896.6875
20,99106.5
21,99166.75
22,99093.5
23,99005.1875
24,99080.1875
25,99195.875
26,99108.5625
27,99080.1875
28,99382.0625
29,99431.8125
30,99300.4375
31,99196.0
32,99205.0625
33,99348.5625
34,99224.125
35,99094.25
36,99459.0625
37,99556.0625
38,99432.0625
39,99287.9375
40,99357.4375
41,99450.9375
42,99321.375
43,99131.25
44,99116.875
45,99191.125
46,99180.8125
47,98993.1875
48,98955.3125
49,98981.25
50,98780.125
51,98666.8125
52,98704.0625
53,98712.0
54,98590.5625
55,98491.125
56,98920.6875
57,99176.875
58,98987.5
59,98908.75
60,99257.6875
61,99167.625
62,99079.9375
63,99026.5
64,99276.75
65,99305.375
66,99194.9375
67,99066.375
68,99172.9375
69,99119.0625
70,98948.875
71,98932.3125
72,98961.3125
73,99075.3125
74,99060.5
75,99155.8125
76,99431.4375
