,mslp
0,100493.5
1,100531.3125
2,100689.75
3,100558.3125
4,100359.0
5,100391.4375
6,100468.3125
7,100427.1875
8,100241.625
9,100305.375
10,100359.125
11,100224.3125
12,100022.8125
13,100045.75
14,100025.8125
15,99983.0
16,99822.125
17,99803.1875
18,99836.0625
19,99739.9375
20,99556.0
21,99574.875
22,99731.9375
23,99598.4375
24,99388.9375
25,99398.8125
26,99473.4375
27,99313.3125
28,99147.9375
29,99184.75
30,99184.0
31,99051.625
32,98888.4375
33,98922.375
34,98786.25
35,98616.875
36,98477.875
37,98521.5
38,98443.125
39,98355.0
40,98193.3125
41,98171.375
42,97994.625
43,97748.375
44,97557.0625
45,97621.4375
46,97876.3125
47,97783.375
48,97722.375
49,97684.625
50,97323.0
51,97192.125
52,97134.5625
53,97131.4375
54,96939.0
55,96366.9375
56,95974.625
57,95747.25
58,95566.125
59,95546.0625
60,95576.25
61,95765.5625
62,96052.4375
63,96200.625
64,96394.5625
65,96588.0625
66,96766.0
67,96743.625
68,96791.375
69,96953.6875
70,97095.5625
71,97214.4375
72,97324.8125
73,97527.0625
74,97690.4375
75,97812.3125
76,97986.625
77,98157.125
78,98087.4375
