,mslp
0,100134.375
1,99999.625
2,99845.25
3,99871.375
4,100028.8125
5,99906.0
6,99731.0625
7,99735.1875
8,99769.0
9,99664.9375
10,99468.1875
11,99509.8125
12,99634.5625
13,99633.9375
14,99447.5625
15,99453.1875
16,99612.3125
17,99467.125
18,99268.1875
19,99228.3125
20,99312.9375
21,99135.1875
22,98975.6875
23,98960.8125
24,98933.625
25,98779.5625
26,98535.75
27,98470.5
28,98636.1875
29,98505.6875
30,98366.375
31,98345.4375
32,98435.3125
33,98348.25
34,98174.6875
35,98048.8125
36,98208.25
37,98108.5625
38,97879.125
39,97838.4375
40,97533.3125
41,97424.1875
42,97177.9375
43,97012.6875
44,96897.5625
45,96875.75
46,96695.4375
47,96523.125
48,96359.9375
49,96266.4375
50,96182.875
51,96141.9375
52,96799.3125
53,97780.1875
54,98120.75
55,98432.375
56,98836.3125
57,99152.875
58,99096.0
59,99085.4375
60,99285.4375
61,99485.125
62,99432.5625
63,99453.125
64,99626.25
65,99694.0625
66,99549.5
67,99621.25
68,99883.5625
69,100108.375
70,100094.6875
71,100087.0625
72,100216.1875
73,100252.5
74,100069.25
