,mslp
0,100068.125
1,100146.3125
2,100128.1875
3,100040.1875
4,99904.125
5,99940.4375
6,100008.6875
7,99808.1875
8,99702.375
9,99706.6875
10,99490.375
11,99323.9375
12,99146.375
13,99138.875
14,98699.5625
15,98565.1875
16,98396.75
17,98409.375
18,98146.125
19,98104.4375
20,97936.0
21,97893.3125
22,98093.375
23,97914.3125
24,97708.3125
25,97607.75
26,97535.75
27,97392.5
28,97186.5625
29,97113.3125
30,97083.75
31,96857.875
32,96692.5
33,96607.875
34,96834.625
35,96601.125
36,96475.4375
37,96456.25
38,96525.0625
39,96396.375
40,96245.625
41,96128.875
42,96281.4375
43,96209.0625
44,96105.3125
45,96001.4375
46,96329.8125
47,96238.4375
48,96155.3125
49,96259.625
50,96341.625
51,96405.9375
52,96441.9375
53,96675.8125
54,96897.5
55,97006.0625
56,96982.9375
57,96925.375
58,97086.25
59,96987.6875
60,96886.25
61,96827.875
62,96921.9375
63,96873.625
64,96792.4375
65,96942.8125
66,97351.375
67,97471.375
68,97589.0
69,97804.0625
70,98186.0625
71,98401.25
72,98445.375
73,98546.25
74,98756.5625
75,98674.6875
76,98597.375
77,98541.0
78,98725.375
