,div100,div200,div250,div300,div400,div500,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt850,eqt925,sh850200,sh850250,sh925200,sh925250,ws,wstrss10m
0,2.837010470102541e-05,2.4153010599547997e-05,1.9501949282130226e-05,4.155408532824367e-06,-1.604121644049883e-05,-1.840812728914898e-05,330.47137451171875,348.2093811035156,347.0706787109375,346.45672607421875,343.7349853515625,339.96856689453125,337.7202453613281,336.26153564453125,330.67626953125,328.304443359375,6.605309009552002,7.6127471923828125,6.699566841125488,7.753561973571777,4.9073076248168945,0.7655400037765503
1,2.1216796085354872e-05,2.1640225895680487e-05,1.9646513464977033e-05,-1.337173443971551e-06,-1.652124774409458e-05,-1.1849781003547832e-05,330.9347839355469,348.58831787109375,347.4701843261719,346.8932189941406,343.6730651855469,339.58233642578125,337.6291809082031,336.357666015625,331.400390625,329.06427001953125,7.58000373840332,7.207327842712402,7.674654006958008,7.690924644470215,4.915204048156738,0.7667718529701233
2,6.3586853684682865e-06,1.3471691090671811e-05,1.1923800229851622e-05,-1.175835450339946e-06,-1.2604220501089003e-05,-5.331169745659281e-07,331.01776123046875,349.1217346191406,347.5279541015625,346.9014892578125,343.7401123046875,340.8382873535156,339.3830261230469,336.2435607910156,331.2003479003906,328.7370300292969,6.861248016357422,6.74785041809082,7.217294216156006,7.296322345733643,5.241061210632324,0.8176054954528809
3,1.7292692291448475e-06,1.5884639651631005e-05,1.4086342162045185e-05,-6.088947884563822e-06,-1.8706681657931767e-05,2.5703127448650775e-06,331.01116943359375,348.71441650390625,347.0025634765625,346.2838134765625,343.32330322265625,340.3668212890625,339.7660217285156,337.0860595703125,331.48065185546875,328.96417236328125,8.73498249053955,7.392426013946533,8.911747932434082,7.867005825042725,4.862022399902344,0.7584754824638367
4,1.0165636012970936e-06,1.2353308193269186e-05,1.0637422747095115e-05,-2.4767355171206873e-06,-1.0073144949274138e-05,6.593957095901715e-06,330.89190673828125,348.5489501953125,346.58111572265625,345.67633056640625,343.115234375,340.6119384765625,339.8326416015625,338.0899963378906,331.7188720703125,329.2076721191406,10.851285934448242,7.981302738189697,10.70478343963623,8.135133743286133,4.785620212554932,0.7465567588806152
5,8.202318895200733e-06,1.9268301912234165e-05,2.1259551431285217e-05,7.344042842305498e-06,-1.492416004111874e-06,3.4667086765693966e-06,330.70135498046875,348.99462890625,346.40618896484375,345.3061828613281,343.2926940917969,341.1687927246094,339.1736145019531,339.12115478515625,331.7114562988281,329.0661926269531,12.30916690826416,10.168133735656738,12.219467163085938,10.307073593139648,4.956947326660156,0.7732837200164795
6,2.6208785129711032e-05,2.6789506591740064e-05,3.002093217219226e-05,7.242734682222363e-06,-7.435131010424811e-06,-2.7108110316476086e-06,329.71368408203125,349.2006530761719,347.1880187988281,345.9963073730469,344.0003662109375,341.5987243652344,339.12664794921875,339.3373107910156,331.7223815917969,328.48333740234375,13.14486312866211,11.834568977355957,12.784749031066895,11.648737907409668,5.460831165313721,0.8518896698951721
7,4.811978215002455e-05,3.244754043407738e-05,2.9214897949714214e-05,1.3436454537441023e-05,-1.05699564301176e-05,-1.1259890925430227e-05,329.82769775390625,349.59686279296875,347.9374694824219,346.0527648925781,343.875732421875,342.00408935546875,338.82781982421875,339.0162658691406,331.7745361328125,328.23785400390625,13.91165542602539,12.770545959472656,13.523736953735352,12.567916870117188,6.129878997802734,0.9562610983848572
8,4.9484442570246756e-05,3.562118945410475e-05,3.001228833454661e-05,1.2989701644983143e-05,-7.111606919352198e-06,-1.071159840648761e-05,330.4761962890625,350.7047119140625,348.936279296875,346.7291259765625,344.18768310546875,342.95587158203125,338.43109130859375,338.7176818847656,331.92779541015625,328.6690673828125,12.479321479797363,11.982976913452148,12.554347038269043,12.233511924743652,6.827654838562012,1.0651140213012695
9,4.762365642818622e-05,3.981692861998454e-05,3.0604285711888224e-05,1.0414876669528894e-05,-7.613422894792166e-06,-1.110704670281848e-05,331.08782958984375,351.736083984375,350.24945068359375,347.52423095703125,344.3888244628906,343.6065368652344,338.12322998046875,338.4003601074219,332.43853759765625,329.35247802734375,11.109519958496094,9.389167785644531,11.468130111694336,9.840566635131836,7.024428367614746,1.095810890197754
