time,lat,lon
2016-08-12:00.00.00,16,137.6
2016-08-12:03.00.00,16.1275,137.785
2016-08-12:06.00.00,16.3,138
2016-08-12:09.00.00,16.5424,138.27
2016-08-12:12.00.00,16.66,138.52
2016-08-12:15.00.00,16.7776,138.84
2016-08-12:18.00.00,16.9429,139.143
2016-08-12:21.00.00,17.1623,139.368
2016-08-13:00.00.00,17.5111,139.667
2016-08-13:03.00.00,17.9849,140.049
2016-08-13:06.00.00,18.4909,140.491
2016-08-13:09.00.00,18.9409,140.978
2016-08-13:12.00.00,19.3538,141.454
2016-08-13:15.00.00,19.7097,141.812
2016-08-13:18.00.00,20.1067,142.167
2016-08-13:21.00.00,20.6278,142.642
2016-08-14:00.00.00,21.3,143.175
2016-08-14:03.00.00,22.0524,143.618
2016-08-14:06.00.00,22.85,143.975
2016-08-14:09.00.00,23.6423,144.249
2016-08-14:12.00.00,24.375,144.45
2016-08-14:15.00.00,24.9687,144.641
2016-08-14:18.00.00,25.525,144.775
2016-08-14:21.00.00,26.17,144.885
2016-08-15:00.00.00,26.8,144.875
2016-08-15:03.00.00,27.312,144.686
2016-08-15:06.00.00,27.85,144.4
2016-08-15:09.00.00,28.5747,144.164
2016-08-15:12.00.00,29.3,143.85
2016-08-15:15.00.00,29.8498,143.356
2016-08-15:18.00.00,30.35,142.85
2016-08-15:21.00.00,30.8689,142.527
2016-08-16:00.00.00,31.475,142.225
2016-08-16:03.00.00,32.2823,141.767
2016-08-16:06.00.00,33.1,141.35
2016-08-16:09.00.00,33.7072,141.108
2016-08-16:12.00.00,34.3,141.025
2016-08-16:15.00.00,35.0062,141.053
2016-08-16:18.00.00,35.825,141.2
2016-08-16:21.00.00,36.6988,141.377
2016-08-17:00.00.00,37.78,141.673
2016-08-17:03.00.00,39.1113,142.153
2016-08-17:06.00.00,40.7692,142.662
2016-08-17:09.00.00,42.4045,142.972
2016-08-17:12.00.00,44.2889,143.122
2016-08-17:15.00.00,46.064,143.782
2016-08-17:18.00.00,47.8,144.6
2016-08-17:21.00.00,49.6786,145.033
2016-08-18:00.00.00,51.5,145.4
2016-08-18:03.00.00,53.0765,145.99
2016-08-18:06.00.00,54.6,146.6
2016-08-18:09.00.00,56.3076,147.058
2016-08-18:12.00.00,57.95,147.55
2016-08-18:15.00.00,59.3528,148.243
2016-08-18:18.00.00,60.6,149.1
